N	4gram	Vinokur_Vv_1	Psycholo
1	заключается в том что	2	7
2	одной и той же	2	4
3	и в самом деле	3	4
4	же самое что и	1	2
5	то же самое что	2	2
6	в том что в	1	2
7	представление о том что	1	2
8	в том виде как	1	2
9	точно так же как	1	2
10	в то же время	5	2
11	нужно принять во внимание	1	1
12	уже и в том	1	1
13	одно и то же	1	1
14	не что иное как	4	1
15	заключается в том чтобы	1	1
16	для того чтобы сделать	1	1
17	бы то ни было	1	1
18	и т д мы	1	1
19	с этой точки зрения	1	1
20	приходит к выводу что	1	1
21	ответ на этот вопрос	1	1
22	в связи с этим	1	1
23	и тем не менее	3	1
24	в чем же заключаются	1	1
25	одного и того же	2	1
26	до тех пор пока	1	1
27	есть не самоцель а	1	1
28	с тем что в	1	1
29	в зависимости от того	1	1
30	и до наших дней	1	1
31	есть не что иное	2	1
