N	4gram	Bakhtin_Pr_4	Freidism
1	в то же время	5	4
2	но в то же	2	2
3	и не может быть	5	2
4	до сих пор не	2	1
5	которая позволила бы ему	1	1
6	не может обойтись без	1	1
7	мы имеем в виду	3	1
8	на самом же деле	1	1
9	в собственном смысле слова	1	1
10	как мы уже сказали	2	1
11	этом мы можем закончить	1	1
12	а может быть и	1	1
13	с точки зрения его	1	1
14	в заключение настоящей главы	1	1
15	на этом мы можем	1	1
16	но в отличие от	1	1
17	не может быть даже	1	1
18	нет и не может	2	1
19	как раз и не	1	1
