N	3gram	Tiupa_Teor_1	Istorich
1	не может быть	4	7
2	тем не менее	3	6
3	более или менее	2	5
4	с другой стороны	5	5
5	в большинстве случаев	1	4
6	с одной стороны	2	4
7	в том что	8	4
8	дело в том	1	3
9	по отношению к	4	3
10	то же самое	1	3
11	точно так же	1	3
12	в то время	1	3
13	в связи с	1	3
14	о том что	1	3
15	может быть назван	1	2
16	но в отличие	1	2
17	дает ключ к	1	2
18	в таких случаях	1	2
19	в этих случаях	1	2
20	бы то ни	1	2
21	могли бы быть	1	2
22	так же как	1	2
23	здесь мы имеем	1	2
24	то ни было	1	2
25	на первый взгляд	1	2
26	в отличие от	6	2
27	том что она	1	1
28	и глубже чем	1	1
29	мы имеем дело	2	1
30	на котором он	1	1
31	иметь в виду	1	1
32	ни к каким	1	1
33	это было бы	1	1
34	подобно тому как	1	1
35	в этом смысле	2	1
36	никак не может	1	1
37	в соответствии с	2	1
38	как это делает	1	1
39	не было и	1	1
40	что он должен	1	1
41	как один из	1	1
42	можно говорить о	1	1
43	имеем дело не	1	1
44	только то что	1	1
45	но он не	1	1
46	в противном случае	1	1
47	в том случае	1	1
48	в значительной степени	1	1
49	приводит к тому	2	1
50	между ним и	1	1
51	именно потому что	1	1
52	в иных случаях	1	1
53	это еще одна	1	1
54	но в то	1	1
55	таким образом и	1	1
56	не содержит в	1	1
57	и в пределах	1	1
58	при этом они	1	1
59	шире и глубже	1	1
60	в одном случае	1	1
61	ни к какой	1	1
62	не могут быть	2	1
63	тем или иным	1	1
64	может быть названо	2	1
65	есть не что	1	1
66	которая при этом	1	1
67	между собой и	1	1
68	в первом случае	1	1
69	того или иного	3	1
70	глубже чем это	1	1
71	что иное как	1	1
72	содержит в себе	1	1
73	в последней главе	1	1
74	именно такого рода	1	1
75	может быть признано	1	1
76	к тому что	2	1
77	не что иное	1	1
78	тех или иных	3	1
79	один из видов	1	1
80	в реальной действительности	1	1
81	дело не в	1	1
82	для того чтобы	1	1
83	до известной степени	2	1
