N	2gram	Vinokur_St_2	Hudozhes
1	и в	29	28
2	том что	27	19
3	в ее	2	18
4	и не	9	18
5	своего рода	5	16
6	в том	27	15
7	а не	5	14
8	в этом	21	13
9	не в	4	13
10	о том	17	12
11	не только	19	11
12	при этом	2	11
13	как и	2	11
14	в его	13	11
15	у нее	1	10
16	не случайно	1	10
17	в себе	2	9
18	но и	19	9
19	так и	9	8
20	между тем	5	8
21	что он	13	8
22	может быть	2	8
23	о чем	5	8
24	я не	7	7
25	по отношению	1	7
26	тогда как	2	7
27	казалось что	1	7
28	что она	1	7
29	об этом	6	7
30	к тому	10	7
31	в частности	4	7
32	как это	2	7
33	и все	1	7
34	жизни в	1	7
35	отношению к	1	7
36	в котором	7	6
37	то же	2	6
38	не было	3	6
39	и с	4	6
40	в своей	7	6
41	в то	2	6
42	тем что	3	6
43	если бы	2	6
44	можно сказать	1	6
45	а в	1	6
46	то что	11	6
47	жизни и	1	6
48	с его	2	5
49	в этой	2	5
50	как в	3	5
51	в самом	7	5
52	что это	3	5
53	в своем	9	5
54	не менее	3	5
55	у него	1	5
56	никогда не	3	5
57	ничего не	4	5
58	и его	6	5
59	она не	1	5
60	и сам	2	5
61	только на	1	5
62	одно из	1	5
63	для него	4	5
64	как бы	5	5
65	да и	1	5
66	что в	19	5
67	и другие	2	5
68	а между	1	4
69	и т	9	4
70	но не	3	4
71	он не	9	4
72	и уже	1	4
73	тем не	2	4
74	тому что	7	4
75	же время	1	4
76	как будто	1	4
77	в городе	1	4
78	и о	4	4
79	того чтобы	6	4
80	что они	2	4
81	только в	2	4
82	в качестве	5	4
83	что и	2	4
84	как раз	8	4
85	для того	7	4
86	говорит о	2	4
87	то и	1	4
88	не может	2	4
89	была бы	5	3
90	по преимуществу	1	3
91	едва ли	1	3
92	по его	3	3
93	на себя	3	3
94	и он	3	3
95	в ней	7	3
96	еще не	1	3
97	и на	6	3
98	столь же	1	3
99	в ответ	1	3
100	о смерти	1	3
101	перед глазами	1	3
102	со стороны	2	3
103	раз в	2	3
104	как он	2	3
105	в нем	4	3
106	можно было	1	3
107	что все	1	3
108	с другими	1	3
109	было бы	5	3
110	в это	2	3
111	в них	2	3
112	несмотря на	2	3
113	этого произведения	1	3
114	в этих	3	3
115	что было	2	3
116	этом и	1	3
117	на него	1	3
118	о них	1	3
119	ни о	1	3
120	и это	2	3
121	не могу	1	3
122	что у	4	3
123	и ему	1	3
124	внимание на	4	3
125	одной из	3	3
126	с ними	1	3
127	для нас	1	3
128	с нею	3	3
129	в одном	6	3
130	что на	3	3
131	с другой	4	3
132	все время	1	3
133	а с	3	3
134	прежде всего	5	3
135	у всех	2	3
136	так же	3	3
137	все это	11	3
138	ли в	1	3
139	или в	1	3
140	будто бы	1	3
141	все они	1	3
142	о себе	1	3
143	по поводу	8	3
144	самом деле	3	3
145	все что	1	3
146	же как	3	2
147	и то	1	2
148	думал о	2	2
149	в первом	1	2
150	той же	1	2
151	а как	4	2
152	который в	1	2
153	он думал	1	2
154	который был	1	2
155	говорить о	1	2
156	одного слова	1	2
157	он сам	1	2
158	не хотелось	1	2
159	ответ на	1	2
160	отношение к	1	2
161	более чем	1	2
162	сюжетного построения	1	2
163	все же	6	2
164	и к	4	2
165	но в	8	2
166	точкой зрения	1	2
167	из этих	1	2
168	разговор о	1	2
169	о ее	1	2
170	тому же	3	2
171	т д	6	2
172	но именно	1	2
173	в принципе	1	2
174	не как	1	2
175	на этом	1	2
176	прежде чем	1	2
177	оно не	3	2
178	не будет	1	2
179	а по	1	2
180	зрения на	1	2
181	не с	1	2
182	его в	2	2
183	это было	2	2
184	от которого	1	2
