N	2gram	Vinokur_St_3	Narrotol
1	не только	12	31
2	но и	9	27
3	и не	10	23
4	может быть	19	15
5	в качестве	4	14
6	в частности	1	14
7	как и	4	13
8	а не	5	13
9	а в	6	13
10	в этом	24	12
11	только в	6	12
12	и в	25	11
13	в данном	1	11
14	состоит в	4	10
15	своего рода	3	10
16	и его	3	10
17	такого рода	5	10
18	то есть	2	9
19	времени и	2	9
20	то что	12	9
21	то же	5	8
22	представляет собой	1	8
23	не может	7	8
24	в том	20	8
25	уже не	3	8
26	со стороны	3	8
27	в рассказе	3	8
28	но в	5	7
29	том что	15	7
30	если бы	4	7
31	на протяжении	4	7
32	у него	9	7
33	и он	1	6
34	в самом	2	6
35	не в	6	6
36	в этой	14	6
37	об этом	5	6
38	не мог	2	6
39	к тому	2	6
40	и т.д	1	6
41	одного из	2	6
42	во втором	2	6
43	в его	12	6
44	как бы	6	6
45	один из	2	6
46	как раз	3	6
47	или в	2	6
48	а также	4	6
49	жизни и	1	6
50	и на	6	5
51	той или	1	5
52	так и	5	5
53	точки зрения	7	5
54	в своей	4	5
55	потому что	5	5
56	можно сказать	4	5
57	точка зрения	4	5
58	действующих лиц	4	5
59	то в	4	4
60	в первом	1	4
61	на себя	1	4
62	еще не	2	4
63	истории в	1	4
64	с его	3	4
65	но не	2	4
66	как в	6	4
67	все же	4	4
68	из этих	6	4
69	в нем	1	4
70	из них	1	4
71	по себе	1	4
72	и тем	4	4
73	соответствии с	1	4
74	в одном	1	4
75	вплоть до	1	4
76	в то	7	4
77	одна из	2	4
78	того чтобы	1	4
79	никогда не	2	4
80	в ней	4	4
81	так в	1	4
82	что у	2	4
83	о том	8	4
84	внимание на	2	4
85	же время	3	4
86	к нему	4	4
87	в литературе	1	4
88	того что	5	4
89	для него	3	4
90	слова в	1	4
91	или иной	2	4
92	прежде всего	10	4
93	о чем	1	4
94	в речи	4	4
95	этом и	1	4
96	однако и	1	4
97	как известно	1	3
98	речь идет	2	3
99	также и	1	3
100	и то	1	3
101	самом деле	2	3
102	идет о	1	3
103	всего лишь	1	3
104	мы имеем	5	3
105	мы не	2	3
106	но как	2	3
107	в центре	4	3
108	в своем	1	3
109	и как	1	3
110	в целом	4	3
111	большей части	1	3
112	у карамзина	7	3
113	он не	5	3
114	для того	2	3
115	и с	4	3
116	это не	7	3
117	в жизни	4	3
118	себя внимание	1	3
119	и ее	2	3
120	тем не	2	3
121	не менее	2	3
122	но они	2	3
123	в русской	6	3
124	обращает на	1	3
125	этом отношении	4	3
126	у нас	4	3
127	начиная с	2	3
128	и о	1	3
129	обращается к	3	3
130	его жизни	1	3
131	лишь в	4	3
132	между тем	6	3
133	что он	19	3
134	могло бы	1	3
135	может служить	1	3
136	представляют собой	1	3
137	именно в	1	3
138	при всей	2	3
139	по большей	1	3
140	не было	4	3
141	тому как	1	3
142	быть не	2	3
143	в начале	4	3
144	но для	1	3
145	это уже	1	3
146	не является	3	3
147	и все	1	3
148	в поле	1	3
149	что в	19	3
150	а о	1	2
151	переход от	1	2
152	тем же	1	2
153	и для	4	2
154	в сущности	2	2
155	ему в	1	2
156	между собой	1	2
157	в чем	4	2
158	если в	2	2
159	в той	1	2
160	из уст	1	2
161	что касается	7	2
162	истории он	1	2
163	них как	1	2
164	в известном	1	2
165	раз в	1	2
166	на то	5	2
167	так сказать	2	2
168	и еще	1	2
169	а по	2	2
170	это было	8	2
171	также не	1	2
172	этого не	1	2
173	а за	1	2
174	он и	2	2
175	жизни но	2	2
176	для одного	1	2
177	и тогда	2	2
178	и того	1	2
179	в этих	11	2
180	сих пор	2	2
181	через посредство	1	2
182	того кто	1	2
183	не имеет	2	2
184	дело в	1	2
185	дело не	2	2
186	не могло	1	2
187	казалось бы	1	2
188	ничего не	4	2
189	по терминологии	1	2
190	этих двух	2	2
191	ему было	1	2
192	как она	1	2
193	связи с	3	2
194	в смене	1	2
195	к жизни	1	2
196	слово обращено	1	2
197	же самое	1	2
