N	3gram	Berdyaev_N_1	TeoriaLi
1	в отличие от	1	7
2	в том что	1	6
3	в этом смысле	2	3
4	с другой стороны	2	3
5	с одной стороны	2	2
6	в этой системе	1	2
7	как и в	1	2
8	и того же	1	2
9	одного и того	1	2
10	по своей природе	1	2
11	не может быть	4	2
12	со всех сторон	3	1
13	подобно тому как	3	1
14	это и есть	1	1
15	не было и	1	1
16	я думаю что	1	1
17	добро и зло	1	1
18	в том числе	1	1
19	в том случае	1	1
20	в большинстве случаев	1	1
21	и потому что	1	1
22	имея в виду	1	1
23	не менее чем	1	1
24	о том что	1	1
25	том случае если	1	1
26	а не с	1	1
27	в то время	1	1
28	в том и	2	1
29	в значительной степени	1	1
30	та или иная	1	1
31	к вопросу о	1	1
32	нового времени в	1	1
33	не могут быть	1	1
34	в известном смысле	1	1
35	весь мир все	1	1
36	так же как	2	1
37	том числе и	1	1
38	к одному из	1	1
