N	3gram	Medvedev_F_3	Poddanst
1	в то же	7	7
2	то же время	7	7
3	в отношении к	1	5
4	не только в	1	4
5	в том что	3	4
6	с точки зрения	14	3
7	сами по себе	2	3
8	с одной стороны	1	3
9	в том числе	1	2
10	и в то	2	2
11	и потому в	1	2
12	сводится к следующему	1	1
13	в ней и	1	1
14	что в этом	1	1
15	к следующему в	1	1
16	и пр при	1	1
17	да и не	2	1
18	в которых совершается	1	1
19	в настоящее время	1	1
20	в этом смысле	2	1
21	и не может	4	1
22	тот или иной	1	1
23	хотя бы и	1	1
24	можно говорить о	1	1
25	в отличие от	2	1
26	в собственном смысле	1	1
27	в россии и	1	1
28	вместе с тем	3	1
29	и пр в	1	1
30	так же как	1	1
31	с тем же	3	1
32	настоящее время в	1	1
33	не в том	1	1
34	бы оно ни	1	1
35	во всяком случае	6	1
36	с другой стороны	5	1
37	не может быть	14	1
38	именно потому что	2	1
39	в частности в	1	1
40	в большинстве случаев	4	1
41	не входят в	1	1
42	друг с другом	1	1
43	для того чтобы	4	1
44	она может и	1	1
45	том числе и	1	1
46	и т д	6	1
47	в отдельности и	1	1
