N	2gram	Ircho_Kome_3	Sotsiolo
1	все это	5	7
2	в том	12	5
3	в этом	8	5
4	и только	1	3
5	более чем	5	3
6	для нас	1	3
7	не только	5	3
8	и в	22	3
9	не в	4	3
10	в его	8	3
11	за пределы	2	2
12	их между	1	2
13	как только	1	2
14	но и	4	2
15	конце концов	2	2
16	и мы	3	2
17	было бы	3	2
18	в смысле	1	2
19	только в	1	2
20	дело не	2	2
21	далеко не	3	2
22	в результате	2	2
23	тем более	4	2
24	ввести в	1	2
25	том что	13	2
26	в частности	3	2
27	то что	4	2
28	и что	6	2
29	еще не	6	2
30	только как	2	2
31	таким образом	12	2
32	отношению к	3	2
33	в конце	7	2
34	что в	5	2
35	может быть	6	2
36	как бы	3	2
37	по отношению	5	2
38	очевидно что	1	2
39	по существу	2	2
40	то же	7	2
41	не из	1	1
42	друг от	1	1
43	крайней мере	1	1
44	что все	1	1
45	я и	1	1
46	право на	1	1
47	же не	1	1
48	быть не	1	1
49	нашей работы	1	1
50	а вот	1	1
51	в мире	2	1
52	сказать и	1	1
53	в этой	3	1
54	тому что	2	1
55	отнюдь не	4	1
56	выходит за	1	1
57	даже не	3	1
58	какие же	1	1
59	от окружающих	1	1
60	с другой	4	1
61	ни одно	1	1
62	его в	8	1
63	только для	2	1
64	с ним	5	1
65	это не	2	1
66	на этот	3	1
67	в чем	1	1
68	же по	1	1
69	все же	4	1
70	же теперь	2	1
71	один из	3	1
72	перед нами	1	1
73	в то	6	1
74	тем же	3	1
75	и наконец	1	1
76	а с	1	1
77	том как	3	1
78	тем что	5	1
79	и как	1	1
80	настаивает на	2	1
81	что он	8	1
82	прежде всего	5	1
83	бы он	3	1
84	в них	3	1
85	так и	4	1
86	не было	2	1
87	одной стороны	3	1
88	те же	1	1
89	и не	21	1
90	из себя	3	1
91	не желая	1	1
92	никогда не	3	1
93	на основании	2	1
94	мы не	2	1
95	это как	1	1
96	со своими	1	1
97	же время	5	1
98	ничего не	3	1
99	мы еще	1	1
100	не мешает	2	1
101	и о	2	1
102	все эти	1	1
103	это же	1	1
104	чуть ли	1	1
105	как и	3	1
106	между собой	4	1
107	бы в	4	1
108	с помощью	4	1
109	для этого	1	1
110	этом не	1	1
111	в настоящее	1	1
112	она должна	1	1
113	из современных	1	1
114	первый план	1	1
115	остается в	2	1
116	в сущности	2	1
117	конечно не	3	1
118	в связи	4	1
119	на первый	1	1
120	и его	6	1
121	в этих	1	1
122	место в	1	1
123	связи с	5	1
124	от друга	1	1
125	в лучшем	1	1
126	хотя бы	4	1
127	в целом	3	1
128	теперь он	1	1
129	стало быть	1	1
130	не может	3	1
131	в своей	5	1
132	не от	1	1
133	а в	7	1
134	работы в	1	1
135	что она	4	1
136	о том	8	1
137	не дает	4	1
138	в области	2	1
139	и потому	1	1
140	не успела	1	1
141	настоящее время	1	1
142	больше того	2	1
143	в котором	2	1
144	никак не	1	1
145	между ними	2	1
146	точке зрения	1	1
147	на что	1	1
148	представляется нам	1	1
149	все то	1	1
150	литературы на	1	1
151	может не	1	1
152	столь же	3	1
153	всяком случае	3	1
154	в силу	2	1
155	слишком много	1	1
156	мы понимаем	1	1
157	он говорит	2	1
158	должно было	3	1
159	в конечном	2	1
160	не без	1	1
161	вовсе не	4	1
162	ли не	2	1
163	же самое	3	1
164	с одной	3	1
165	может служить	1	1
166	но не	1	1
167	у него	4	1
168	правда он	2	1
169	между тем	2	1
170	но как	1	1
171	и по	1	1
172	что на	1	1
173	конечном счете	2	1
174	по крайней	1	1
175	перейдет в	1	1
176	можно принять	1	1
177	поэта и	1	1
178	том и	1	1
179	в цельном	1	1
180	во всяком	3	1
181	в каждом	1	1
182	они не	1	1
