N	3gram	Trubetskoy_1	Psycholo
1	совершенно ясно что	1	14
2	в том что	3	9
3	на то что	2	8
4	не может быть	1	8
5	о том что	4	7
6	в самом деле	1	7
7	во всяком случае	6	6
8	с одной стороны	7	5
9	с другой стороны	1	5
10	для того чтобы	5	5
11	этой точки зрения	2	5
12	в то время	1	5
13	не в том	1	5
14	так же как	3	4
15	психологической точки зрения	1	4
16	только тогда когда	1	4
17	с этой точки	2	4
18	точно так же	3	3
19	в конце концов	3	3
20	до сих пор	5	3
21	не только не	1	3
22	с психологической точки	1	3
23	в отличие от	1	3
24	сказать что в	1	3
25	указывает на то	1	3
26	что в этом	1	3
27	в таком случае	1	2
28	так и в	1	2
29	а в том	1	2
30	в одном из	1	2
31	ясно что и	1	2
32	что в области	1	2
33	всяком случае в	1	2
34	при этом не	1	2
35	мы видели что	1	2
36	что и в	1	2
37	тем или иным	1	2
38	то же самое	2	2
39	состоит в том	1	2
40	мы видим что	1	2
41	в настоящее время	1	2
42	более или менее	5	2
43	из этих слов	1	2
44	то или иное	2	2
45	в этом отношении	2	2
46	смысле этого слова	1	2
47	вместе с тем	8	2
48	с точки зрения	6	2
49	тем не менее	3	2
50	и таким образом	3	2
51	и в сущности	1	1
52	и тот же	1	1
53	с тем чтобы	4	1
54	и в результате	1	1
55	не потому что	1	1
56	что даже в	1	1
57	в этой области	1	1
58	в одну из	1	1
59	в том числе	5	1
60	из этих частей	1	1
61	как на совокупность	1	1
62	по сравнению с	2	1
63	что мы можем	1	1
64	это и есть	1	1
65	том или ином	1	1
66	а в области	1	1
67	а следовательно и	1	1
68	представляет собой совершенно	1	1
69	и в этом	2	1
70	именно потому что	1	1
71	можно сказать что	2	1
72	с первого взгляда	1	1
73	ни было в	1	1
74	потому что в	1	1
75	в каком он	1	1
76	к тому же	4	1
77	может показаться что	1	1
78	отодвинут на задний	1	1
79	совершенно так же	1	1
80	с самого начала	2	1
81	друг к другу	1	1
82	камня на камне	1	1
83	одном и том	1	1
84	и того же	1	1
85	с этим и	1	1
86	в первом случае	1	1
87	как бы в	1	1
88	в прямом смысле	1	1
89	в значительной мере	2	1
90	но вместе с	2	1
91	несмотря на все	1	1
92	и для того	2	1
93	только в силу	1	1
94	речь идет о	1	1
95	в широком смысле	1	1
96	одного и того	1	1
97	все что мы	1	1
98	один и тот	1	1
99	только то что	1	1
100	и том же	1	1
101	в связи с	3	1
102	по тому же	1	1
103	на задний план	1	1
104	мы знаем о	1	1
105	у него в	1	1
106	в том или	1	1
107	на этот раз	1	1
108	сами по себе	1	1
109	и вместе с	4	1
110	что в этой	1	1
111	к этому что	1	1
112	в чем именно	1	1
113	заключает в себе	2	1
114	к тем же	1	1
115	том числе и	4	1
116	не может не	1	1
117	виде в каком	1	1
118	а вместе с	1	1
119	в которых этот	1	1
120	то что он	2	1
121	есть как бы	2	1
122	то ясно что	2	1
123	утверждать что в	1	1
124	может быть в	1	1
125	чем именно заключается	1	1
126	в свою очередь	1	1
127	что в таком	1	1
