1	и тем не менее	2	3
2	ни в коем случае	3	3
3	есть не что иное	3	2
4	или по крайней мере	1	2
5	в каком смысле не	1	2
6	уж во всяком случае	1	2
7	ни в каком смысле	3	2
8	не что иное как	6	2
9	в то время как	4	2
10	а это значит что	1	2
11	не чем иным как	1	2
12	если иметь в виду	2	1
13	не содержит в себе	1	1
14	д и т д	5	1
15	то это значит что	3	1
16	т д и т	5	1
17	с этой точки зрения	2	1
18	и в то же	1	1
19	в том смысле что	1	1
20	необходимо категорически утверждать что	1	1
21	это не значит что	1	1
22	так же как и	1	1
23	и уж тем более	1	1
24	не говоря уже о	2	1
25	и т д и	6	1
26	т е есть ничто	1	1
27	мы вовсе не имеем	1	1
28	не тем что оно	1	1
29	это значит что мы	3	1
30	мы имеем в виду	1	1
31	при помощи того или	1	1
32	помощи того или иного	1	1
33	ничего не говорит о	2	1
34	это значит что его	1	1
35	несмотря ни на какую	1	1
36	тем не менее в	1	1
37	по крайней мере в	3	1
38	даже и не просто	1	1
39	в коем случае не	3	1
40	бы то ни было	1	1
41	и у меня в	1	1
42	только на то что	2	1
