N	3gram	Nazirov_Tv_2	Hudozhes
1	о том что	2	9
2	по отношению к	3	8
3	в то же	7	8
4	то же время	7	8
5	и т п	2	8
6	в том что	2	6
7	л н толстого	1	4
8	можно было бы	1	4
9	в этой связи	1	4
10	в самом деле	2	4
11	в связи с	1	3
12	как и в	1	3
13	но в то	1	3
14	и т д	11	3
15	в русской литературе	1	3
16	и с тургенева	1	3
17	м м бахтин	4	2
18	на наш взгляд	2	2
19	том что в	1	2
20	о том как	1	2
21	в первую очередь	1	2
22	того или иного	1	2
23	это прежде всего	2	2
24	в конечном счете	1	2
25	что у него	1	2
26	только потому что	1	2
27	и это не	1	2
28	на то чтобы	1	2
29	до сих пор	3	2
30	не может быть	3	2
31	не только для	1	1
32	н а лейкин	1	1
33	сознания не только	1	1
34	с самого начала	1	1
35	х годов xix	1	1
36	по мнению а	1	1
37	так и в	2	1
38	он живет в	1	1
39	не только потому	1	1
40	в одной из	2	1
41	и потому что	1	1
42	в письме к	1	1
43	и у чехова	1	1
44	в этой главе	1	1
45	это еще не	1	1
46	мы уже говорили	1	1
47	хотя быть может	1	1
48	и в то	2	1
49	и в этом	1	1
50	с с аверинцев	1	1
51	этом источник трагизма	1	1
52	уже говорили о	1	1
53	ничего не делает	1	1
54	это своего рода	1	1
55	в литературе в	1	1
56	в таком случае	2	1
57	во всяком случае	2	1
58	по мнению с	1	1
59	по нашему мнению	4	1
60	не означает что	1	1
61	ничего общего с	1	1
62	еще ничего не	1	1
63	т п эта	1	1
64	быть может и	1	1
65	приходит в голову	1	1
66	как бы лишены	1	1
67	же как и	1	1
68	мы узнаем что	1	1
69	сих пор еще	1	1
70	и а гончарова	1	1
71	именно в этом	2	1
72	превращается в этическую	1	1
73	в отличие от	2	1
74	в античной трагедии	2	1
75	в чем не	1	1
76	как будто бы	1	1
77	если же это	1	1
78	в частности с	1	1
79	русского романа и	1	1
80	в первый раз	1	1
81	думать о том	1	1
82	даже не в	1	1
83	по сути дела	3	1
84	в этом источник	1	1
85	содержит в себе	1	1
86	сами по себе	1	1
87	в стороне от	1	1
88	но при этом	1	1
89	относится и к	1	1
90	все же не	2	1
91	в высшей степени	1	1
92	ни в чем	1	1
93	все это делает	1	1
94	не сводится к	1	1
95	как уже говорилось	1	1
96	того времени как	1	1
97	знать об этом	1	1
98	и что в	1	1
99	в свою очередь	1	1
100	о жизни как	1	1
101	на наших глазах	1	1
102	прежде всего его	1	1
103	в том смысле	1	1
104	я никогда не	1	1
105	годов xix века	1	1
