N	3gram	Propp_Russ_2	TeoriaLi
1	в отличие от	3	7
2	в том что	18	6
3	в данном случае	6	5
4	состоит в том	13	4
5	более или менее	1	4
6	с другой стороны	1	3
7	тем не менее	2	3
8	можно сказать что	1	3
9	в свою очередь	1	3
10	с одной стороны	2	2
11	не может быть	3	2
12	как и в	1	2
13	том что в	1	1
14	на нее как	1	1
15	а между тем	1	1
16	на себя внимание	1	1
17	дело в том	1	1
18	подобно тому как	3	1
19	в настоящее время	1	1
20	как это имеет	1	1
21	в этом случае	6	1
22	может быть назван	1	1
23	не входит в	1	1
24	из того что	1	1
25	состоит не в	1	1
26	также что в	1	1
27	между собой и	1	1
28	может быть и	1	1
29	есть рассказ о	1	1
30	здесь мы имеем	1	1
31	мы имеем не	2	1
32	принадлежат к числу	1	1
33	это имеет место	1	1
34	и совершенно иной	1	1
35	в первую очередь	1	1
36	так же как	4	1
37	в то время	2	1
38	но не с	1	1
39	имея в виду	1	1
40	это и есть	1	1
41	не принадлежат к	2	1
42	о том что	4	1
43	между тем это	2	1
44	в этих случаях	3	1
45	дело не в	1	1
46	для того чтобы	6	1
47	по своему происхождению	1	1
