N	3gram	Voloshinov_1	RusskieA
1	в том что	4	18
2	в данном случае	2	6
3	так же как	1	4
4	о том что	1	4
5	не может быть	7	3
6	подобно тому как	1	3
7	тем не менее	3	2
8	же как и	1	2
9	между тем это	1	2
10	на самом же	1	2
11	может быть только	1	2
12	самом же деле	1	2
13	в то время	1	2
14	с одной стороны	2	2
15	том что в	1	1
16	для него не	1	1
17	а между тем	1	1
18	как например в	1	1
19	более или менее	1	1
20	в настоящее время	2	1
21	в том же	1	1
22	но все это	1	1
23	таким образом к	1	1
24	но и в	1	1
25	между тем как	1	1
26	в этом отношении	1	1
27	по аналогии с	1	1
28	такой же степени	1	1
29	только там где	1	1
30	можно было бы	1	1
31	может быть и	3	1
32	можно найти в	1	1
33	во всяком случае	1	1
34	и в этом	1	1
35	в какой степени	2	1
36	то время как	1	1
37	в такой же	2	1
38	дело в том	4	1
39	с другой стороны	2	1
40	на этом основании	1	1
41	при более широком	1	1
42	в свою очередь	1	1
43	она как бы	1	1
44	так как в	1	1
45	можно сказать что	5	1
46	они как бы	1	1
47	как мы уже	1	1
48	и таким образом	1	1
49	для нас не	1	1
50	как и в	1	1
51	мы указывали что	1	1
52	в двух направлениях	1	1
