N	3gram	Bakhtin_KF_1	Myslijsy
1	по отношению к	22	13
2	в том что	2	13
3	не может быть	11	9
4	только в том	1	6
5	тем не менее	2	6
6	и в этом	3	6
7	потому что в	1	4
8	не в том	1	4
9	в свою очередь	1	4
10	само по себе	1	4
11	в этом смысле	3	4
12	в том смысле	1	4
13	только тогда когда	1	4
14	с точки зрения	9	3
15	в противном случае	1	3
16	то есть что	1	3
17	том смысле в	1	3
18	то же время	2	3
19	и как бы	1	3
20	что и в	1	3
21	в то же	2	3
22	мысль может быть	1	2
23	и может быть	2	2
24	может казаться что	1	2
25	зависит от того	1	2
26	дело в том	1	2
27	мы не имеем	1	2
28	бы то ни	2	2
29	притом не только	1	2
30	к тому что	1	2
31	для того чтобы	1	2
32	и того же	1	2
33	как бы ни	1	2
34	одного и того	1	2
35	если бы не	1	2
36	быть не может	1	2
37	на том что	1	1
38	а следовательно и	1	1
39	не в себе	1	1
40	в одном только	1	1
41	того что в	1	1
42	а не в	2	1
43	на самом деле	3	1
44	предмет хотя бы	1	1
45	и это приводит	1	1
46	признавая в ней	1	1
47	мы не можем	1	1
48	не потому что	1	1
49	в этом единстве	1	1
50	а не из	2	1
51	не совпадает с	1	1
52	не было бы	3	1
53	но все они	1	1
54	но это не	1	1
55	до того что	1	1
56	она может быть	1	1
57	может быть только	7	1
58	как если бы	1	1
59	нисколько не противоречит	1	1
60	отношению к последнему	1	1
61	имеет место и	1	1
62	то ни было	2	1
63	там где есть	1	1
64	не в нем	1	1
65	на задний план	1	1
66	смысле этого слова	1	1
67	связанная с ним	1	1
68	не зависит от	1	1
69	себя потому что	1	1
70	то все же	1	1
71	и совершенно не	1	1
72	должно быть определено	1	1
73	только в нем	1	1
74	отношению к другим	1	1
75	во всяком случае	1	1
76	как одно из	1	1
77	заключать в себе	1	1
78	потому только что	1	1
79	не в одном	1	1
80	между тем как	3	1
81	и все же	1	1
82	по себе а	1	1
83	и тем самым	1	1
84	место и в	1	1
85	не есть еще	1	1
86	вопрос о том	2	1
87	не может стать	1	1
88	не менее в	1	1
89	в один момент	1	1
90	на то что	1	1
91	это не будет	1	1
92	человек чувствует себя	1	1
93	но не в	1	1
94	времени и пространства	1	1
95	мог бы быть	1	1
96	со стороны его	1	1
97	в первом случае	1	1
98	противном случае мы	1	1
99	это нисколько не	1	1
100	можно и должно	1	1
101	могло бы быть	1	1
102	и вопрос о	1	1
103	входит в его	1	1
