N	3gram	Kanaev_Sov_1	Formalny
1	не может быть	4	10
2	в связи с	1	10
3	с точки зрения	5	7
4	в самом деле	1	5
5	и в этом	1	5
6	то же время	1	5
7	в первый период	1	5
8	в то же	1	5
9	во всяком случае	2	5
10	не могут быть	1	4
11	и пр но	1	3
12	на самом деле	1	3
13	быть и речи	1	3
14	и не может	1	3
15	и в то	1	3
16	в зависимости от	4	3
17	может быть и	2	3
18	не в том	1	3
19	ни о каком	1	3
20	в этом смысле	1	2
21	сами по себе	1	2
22	в отличие от	2	2
23	в том случае	1	2
24	в ином направлении	1	2
25	дело идет о	1	2
26	с самого начала	3	2
27	но все же	1	2
28	мы говорим о	1	2
29	и прежде всего	1	2
30	в том что	1	2
31	при определенных условиях	1	2
32	и все те	1	1
33	мы знаем что	1	1
34	теперь мы должны	1	1
35	что иное как	1	1
36	равно как и	1	1
37	первый период развития	1	1
38	и до сих	1	1
39	в настоящее время	2	1
40	влечет за собой	1	1
41	в этом случае	1	1
42	остается подвести итоги	1	1
43	по самому своему	1	1
44	с одной стороны	1	1
45	до сих пор	1	1
46	без определенного метода	1	1
47	но они не	1	1
48	на этот вопрос	1	1
49	что же делает	1	1
50	по крайней мере	1	1
51	мы не можем	6	1
52	в этой области	1	1
53	в данном случае	1	1
54	на котором держится	1	1
55	не может ведь	1	1
56	и тот же	1	1
57	зависимости от различных	1	1
58	в том как	1	1
59	же это не	1	1
60	прежде всего необходимо	1	1
61	самому своему существу	1	1
62	и еще более	1	1
63	в такой же	1	1
64	все более и	1	1
65	бы то ни	1	1
66	могут быть поняты	1	1
67	именно в том	1	1
68	один и тот	1	1
69	что же это	3	1
70	не было бы	1	1
71	он уже не	1	1
72	каждого из них	2	1
73	есть не что	1	1
74	раз и навсегда	1	1
75	но тем не	1	1
76	в свою очередь	2	1
77	но все эти	1	1
78	более и более	1	1
79	с помощью которых	2	1
80	же это за	2	1
81	ровно ничего не	1	1
82	по аналогии с	1	1
83	в этом периоде	1	1
84	говорить только о	1	1
85	не что иное	1	1
86	тем не менее	2	1
87	поэтому мы не	2	1
88	в корне неверной	1	1
89	и мы получим	1	1
90	она не может	1	1
