N	3gram	Tiupa_Anal_1	Problema
1	о том что	3	9
2	с точки зрения	4	8
3	в том что	9	8
4	в связи с	1	7
5	с другой стороны	2	5
6	по крайней мере	1	4
7	что иное как	5	3
8	в этом смысле	1	3
9	вместе с тем	1	3
10	и в частности	1	3
11	далеко не всегда	2	3
12	с одной стороны	3	3
13	как будто бы	1	3
14	а с другой	1	3
15	все же не	1	3
16	не что иное	4	3
17	только тогда когда	1	3
18	по отношению к	5	2
19	равно как и	1	2
20	также и в	1	2
21	в том числе	3	2
22	том что он	2	2
23	до сих пор	1	2
24	в таком случае	3	2
25	бы то ни	3	2
26	но и в	2	2
27	и не в	4	2
28	в данном случае	2	2
29	не может быть	16	2
30	все того же	1	2
31	во всяком случае	1	2
32	тех или иных	2	2
33	для того чтобы	3	2
34	все еще не	1	1
35	такой же мере	1	1
36	но и самого	1	1
37	не говоря уже	1	1
38	как и его	1	1
39	в самом деле	2	1
40	точки зрения в	1	1
41	о том как	1	1
42	как раз и	1	1
43	не было и	1	1
44	сам по себе	1	1
45	как мы увидим	1	1
46	виду не только	1	1
47	между тем как	1	1
48	в этом отношении	2	1
49	по аналогии с	1	1
50	том числе и	1	1
51	отнюдь не к	1	1
52	говоря уже о	1	1
53	с этой точки	1	1
54	вновь и вновь	1	1
55	том что люди	1	1
56	в новом свете	1	1
57	не в его	1	1
58	но в то	2	1
59	не только в	1	1
60	то ни было	3	1
61	вслед за ним	1	1
62	на первый взгляд	1	1
63	мы встречаемся с	1	1
64	состоит в том	3	1
65	в виду не	1	1
66	и как бы	1	1
67	в такой же	1	1
68	а вовсе не	1	1
69	жизни в частности	1	1
70	мере в какой	2	1
71	с ним в	1	1
72	этой точки зрения	1	1
73	и таким образом	1	1
74	то же время	6	1
75	и вместе с	1	1
76	то или иное	1	1
77	времени и пространстве	4	1
78	той или иной	6	1
79	при изучении истории	1	1
80	говорится и о	1	1
81	в то же	8	1
82	во времени и	3	1
83	и все же	2	1
84	и как будто	1	1
85	к тому же	4	1
