N	3gram	Bakhtin_sl_1	NovoeSre
1	не может быть	1	4
2	со всех сторон	1	3
3	во всех сферах	3	3
4	равно как и	1	2
5	с одной стороны	4	2
6	это не значит	1	2
7	с другой стороны	4	2
8	все эти формы	1	2
9	в том и	2	2
10	а не к	1	1
11	то время как	2	1
12	лежал в основе	1	1
13	до сих пор	2	1
14	и во всех	2	1
15	и не может	2	1
16	в зависимости от	3	1
17	в отличие от	1	1
18	в основе их	2	1
19	но и в	1	1
20	можно было бы	2	1
21	должен вступить в	1	1
22	быть отнесены к	1	1
23	что все категории	2	1
24	всех сферах жизни	1	1
25	и в истории	1	1
26	может быть только	2	1
27	и не в	1	1
28	эпох и периодов	1	1
29	не только в	2	1
30	и не могут	1	1
31	в известном смысле	2	1
32	не могут быть	2	1
33	к одному из	1	1
34	могут быть отнесены	1	1
35	во всяком случае	5	1
36	не должно быть	1	1
37	о том что	1	1
38	в то время	2	1
39	в значительной степени	1	1
40	выходит за пределы	3	1
41	в большинстве случаев	6	1
42	в том что	1	1
43	как и в	1	1
44	прежде всего как	1	1
