N	2gram	Bakhtin_sl_1	ViktorSh
1	в том	3	2
2	и в	41	2
3	том что	2	2
4	дело в	1	1
5	речи и	1	1
6	поэтического творчества	1	1
7	только в	6	1
8	и не	16	1
9	в другом	2	1
10	то же	14	1
11	и почти	3	1
12	по крайней	1	1
13	так как	3	1
14	а только	1	1
15	все время	3	1
16	стилистики в	1	1
17	и его	14	1
18	в которых	1	1
19	к этому	2	1
20	так в	2	1
21	да и	1	1
22	прозы в	1	1
23	для них	2	1
24	в этом	12	1
25	крайней мере	1	1
26	столь же	2	1
27	с большой	1	1
28	все дело	1	1
29	сводится к	1	1
30	том же	4	1
31	в их	4	1
32	именно в	3	1
33	и своеобразно	1	1
34	и только	1	1
35	его языка	2	1
36	и то	2	1
37	в частности	2	1
38	потому что	2	1
39	далеко не	5	1
40	чего не	1	1
41	впрочем не	1	1
42	хотя бы	3	1
43	в значительной	1	1
44	в самом	5	1
45	время в	1	1
46	вопросы стилистики	1	1
47	все то	1	1
48	оно с	1	1
49	на одном	1	1
50	от других	2	1
51	по существу	3	1
52	все это	5	1
53	без учета	1	1
54	но это	1	1
55	в устах	1	1
56	одно и	2	1
57	от общего	1	1
58	значительной степени	1	1
59	по своим	6	1
60	тем более	1	1
