N	2gram	Propp_Isto_7	VeschiIm
1	т е	16	42
2	не может	14	33
3	не только	21	31
4	может быть	14	29
5	и не	4	28
6	и в	24	26
7	то что	7	24
8	и есть	1	23
9	значит что	1	22
10	это значит	2	22
11	и т	17	21
12	т д	16	20
13	а не	8	20
14	не просто	2	18
15	что я	1	16
16	что она	5	14
17	только в	6	14
18	по себе	1	13
19	и что	10	13
20	того что	6	13
21	и то	1	12
22	есть не	1	12
23	все же	9	12
24	что это	6	12
25	было бы	2	12
26	и ее	2	12
27	но и	11	12
28	сказать что	2	12
29	таким образом	7	11
30	что же	1	11
31	и больше	1	10
32	то же	8	10
33	в ней	1	10
34	как бы	4	10
35	что такое	2	10
36	потому что	9	10
37	уже не	2	10
38	что мы	3	10
39	бы то	1	9
40	в самом	2	9
41	то ни	1	9
42	и с	1	9
43	в том	7	9
44	что не	2	9
45	прежде всего	2	9
46	есть явление	1	9
47	ни было	1	9
48	что иное	1	8
49	на то	3	8
50	и это	2	8
51	ничего не	5	8
52	но это	3	8
53	в этом	12	7
54	не будет	2	7
55	его в	3	7
56	том что	10	7
57	в то	2	7
58	со своим	4	7
59	ли это	1	7
60	указывает на	1	7
61	в свете	3	7
62	д и	1	7
63	и их	1	7
64	так как	8	7
65	и пр	1	7
66	смысла и	1	7
67	от всего	1	7
68	е в	2	7
69	есть и	4	7
70	со стороны	2	6
71	что они	3	6
72	и как	1	6
73	но в	5	6
74	есть ли	1	6
75	точки зрения	4	6
76	но если	1	6
77	с ним	5	6
78	она не	2	6
79	оно есть	1	6
80	отличается от	2	6
81	можно было	1	6
82	ясно что	1	6
83	должно быть	1	6
84	и только	1	6
85	а если	2	6
86	так что	3	6
87	ни с	2	6
88	но что	1	6
89	то не	4	6
90	жизни и	1	6
91	что в	13	6
92	того же	2	5
93	на себя	2	5
94	в чем	5	5
95	но не	6	5
96	должна быть	1	5
97	вообще не	2	5
98	это не	10	5
99	с тем	1	5
100	не в	9	5
101	тем не	4	5
102	не менее	5	5
103	одна из	7	5
104	для себя	1	5
105	в ее	2	5
106	должны быть	3	5
107	если бы	1	5
108	для этого	1	5
109	другими словами	2	5
110	еще не	8	5
111	или не	1	5
112	с этой	6	5
113	а в	10	5
114	мы не	4	4
115	я не	1	4
116	как я	1	4
117	то это	5	4
118	в их	4	4
119	во всех	7	4
120	независимо от	1	4
121	его на	2	4
122	с этим	2	4
123	в своем	1	4
124	же не	1	4
125	как и	6	4
126	с точки	1	4
127	и более	1	4
128	можно ли	1	4
129	должен быть	1	4
130	и о	2	4
131	о том	9	4
132	с другой	9	4
133	что и	8	4
134	этот вопрос	2	4
135	то и	4	4
136	из них	2	4
137	явлением и	1	4
138	тем что	6	4
139	и даже	3	4
140	знания и	1	4
141	и потому	1	4
142	в данном	4	4
143	в отдельности	2	4
144	как только	2	4
145	вы говорите	1	4
146	и все	6	4
147	от того	1	4
148	явление и	1	4
149	требует чтобы	1	4
150	оно не	1	4
151	самом деле	1	3
152	в чисто	1	3
153	к другому	1	3
154	отношения к	1	3
155	или ее	1	3
156	если я	1	3
157	мы имеем	12	3
158	бы что	1	3
159	вопрос о	3	3
160	более или	1	3
161	ее как	2	3
162	в нем	6	3
163	явление то	1	3
164	могла бы	1	3
165	в жизни	1	3
166	или менее	1	3
167	можно только	1	3
168	в своей	1	3
169	не понимает	1	3
170	все это	8	3
171	есть еще	2	3
172	между прочим	3	3
173	знание и	1	3
174	как можно	1	3
175	и другое	2	3
176	тогда когда	3	3
177	ее с	1	3
178	в основе	2	3
179	к ней	2	3
180	ему не	1	3
181	к себе	3	3
182	к тому	1	3
183	можно и	1	3
184	без всякого	2	3
185	не содержит	2	3
186	и сам	1	3
187	так и	5	3
188	о ней	1	3
189	можно сказать	1	3
190	если это	2	3
