N	3gram	Ircho_Kome_1	VLabPisa
1	и т д	4	15
2	в этом отношении	3	13
3	и т п	5	9
4	с другой стороны	5	8
5	по отношению к	3	7
6	более или менее	1	6
7	в зависимости от	1	5
8	то же время	4	5
9	в то же	4	5
10	в том что	9	4
11	в силу этого	1	3
12	вместе с тем	1	3
13	в этой области	1	3
14	большей или меньшей	1	3
15	о том что	3	3
16	в одном из	4	3
17	к тому что	1	3
18	в чем же	1	2
19	чуть ли не	1	2
20	подобно тому как	1	2
21	в том числе	1	2
22	до сих пор	2	2
23	таким образом в	2	2
24	можно было бы	1	2
25	с одной стороны	3	2
26	в конце концов	4	2
27	из них не	1	2
28	нет никаких оснований	1	2
29	во всяком случае	2	2
30	этой точки зрения	1	2
31	для того чтобы	1	2
32	и популярных в	1	1
33	бросается в глаза	1	1
34	хотя и не	1	1
35	следует отметить что	1	1
36	другой стороны в	1	1
37	к этому же	1	1
38	то время как	4	1
39	как один из	1	1
40	по меньшей мере	2	1
41	как составная часть	1	1
42	в соответствии с	1	1
43	в том же	1	1
44	же как и	1	1
45	с этой точки	1	1
46	совершенно очевидно что	1	1
47	но ни в	1	1
48	говоря уже о	2	1
49	из многочисленных свидетельств	1	1
50	что он не	1	1
51	но и в	2	1
52	по аналогии с	1	1
53	это вовсе не	1	1
54	со всех сторон	1	1
55	так или иначе	1	1
56	в применении к	1	1
57	могут быть отнесены	1	1
58	в данном случае	1	1
59	может быть даже	2	1
60	не только в	1	1
61	на себе все	1	1
62	как видно из	1	1
63	то же самое	2	1
64	так же как	1	1
65	как будто бы	1	1
66	одна из них	1	1
67	содержания и формы	1	1
68	каждый из них	2	1
69	и в их	1	1
70	говорит ли это	1	1
71	нашли отражение в	1	1
72	а между тем	1	1
73	не заметить что	1	1
74	дошедших до нас	3	1
75	этом отношении представляет	1	1
76	не один раз	1	1
77	в то время	5	1
78	именно к этому	1	1
79	не говоря уже	2	1
80	т е из	1	1
81	из этих элементов	1	1
82	в новое время	2	1
83	составная часть в	1	1
84	после того как	3	1
85	с этим и	1	1
86	его т е	1	1
87	может быть в	1	1
88	из действующих лиц	2	1
89	к тому же	5	1
90	т е в	2	1
