N	2gram	Bakhtin_fo_1	Literetu
1	а не	3	20
2	и в	50	19
3	может быть	11	17
4	своего рода	1	13
5	то же	11	12
6	и не	14	11
7	как и	8	10
8	в том	9	10
9	и т.п	4	10
10	но и	8	10
11	в этом	25	9
12	в то	9	9
13	в мире	1	9
14	же время	9	9
15	не может	6	9
16	пути в	1	8
17	не только	9	8
18	и даже	2	8
19	с другой	2	8
20	слова и	2	7
21	том что	4	7
22	так и	12	7
23	и т.д	1	7
24	с одной	3	7
25	то что	6	7
26	и на	8	6
27	в себе	3	6
28	при этом	3	6
29	себя в	1	6
30	одной стороны	2	6
31	я не	1	5
32	но не	5	5
33	он не	5	5
34	одна из	2	5
35	так в	1	5
36	в качестве	3	5
37	для всех	2	5
38	у нас	1	5
39	на фоне	3	5
40	то есть	33	5
41	того что	2	5
42	вместе с	3	5
43	я и	1	4
44	мы не	3	4
45	того же	8	4
46	по отношению	3	4
47	так что	1	4
48	отнюдь не	5	4
49	человека в	17	4
50	для него	2	4
51	точки зрения	5	4
52	не в	5	4
53	в ней	4	4
54	тех кто	1	4
55	в его	13	4
56	один из	3	4
57	и других	3	4
58	тем что	2	4
59	прежде всего	15	4
60	в частности	6	4
61	в искусстве	1	4
62	жизни в	8	4
63	жизни и	8	4
64	что в	5	4
65	одним из	1	3
66	и то	4	3
67	идет о	1	3
68	тем же	1	3
69	в сущности	3	3
70	как я	1	3
71	и он	1	3
72	во всех	6	3
73	в этой	1	3
74	то и	1	3
75	в нем	24	3
76	в их	6	3
77	с точки	2	3
78	вплоть до	1	3
79	не столько	1	3
80	никогда не	2	3
81	ничего не	9	3
82	и его	16	3
83	данном случае	1	3
84	в себя	1	3
85	и с	4	3
86	в другом	1	3
87	в пути	1	3
88	а в	3	3
89	так как	6	3
90	себе и	3	3
91	этом отношении	3	3
92	и др	9	3
93	в данном	2	3
94	по существу	12	3
95	в начале	3	3
96	и для	4	3
97	и как	10	3
98	что он	1	3
99	отношению к	5	3
100	ту же	2	2
101	и т	8	2
102	же как	2	2
103	и до	5	2
104	и за	1	2
105	той же	2	2
106	в первый	1	2
107	на себя	2	2
108	с ее	6	2
109	жизни как	1	2
110	из того	1	2
111	к своему	2	2
112	но как	1	2
113	есть по	1	2
114	в истории	2	2
115	все же	6	2
116	и наконец	1	2
117	и к	2	2
118	но в	10	2
119	со своей	3	2
120	в целом	2	2
121	в нашем	2	2
122	как он	2	2
123	о которой	1	2
124	и сам	1	2
125	не бывает	1	2
126	одно и	3	2
127	в каждом	1	2
128	в жизни	6	2
129	но уже	1	2
130	в них	4	2
131	нет в	2	2
132	соответствии с	2	2
133	с тем	3	2
134	и еще	2	2
135	как бы	2	2
136	с идеей	1	2
137	не к	2	2
138	по преимуществу	3	2
139	свое существование	1	2
140	что было	3	2
141	дорога в	1	2
142	из ведущих	1	2
143	в основе	5	2
144	в поздних	1	2
145	жизни на	2	2
146	не вполне	1	2
147	могут быть	5	2
148	для того	5	2
149	для себя	7	2
150	в виду	3	2
151	в ее	6	2
152	еще не	5	2
153	о том	1	2
154	для нас	2	2
155	а также	2	2
