N	2gram	Voloshinov_1	Retstnzi
1	не может	13	4
2	и в	15	3
3	в центре	3	2
4	социального общения	1	2
5	один из	4	2
6	и больше	1	1
7	то же	7	1
8	с другими	5	1
9	анализа и	1	1
10	в ней	5	1
11	и истории	2	1
12	может быть	13	1
13	и заставляет	1	1
14	из этих	4	1
15	и не	16	1
16	в его	9	1
17	тех же	1	1
18	во второй	5	1
19	подхода к	2	1
20	он в	1	1
21	связи с	1	1
22	конечно и	3	1
23	понимания этого	1	1
24	на месте	1	1
25	позицию занимает	1	1
26	этого общения	1	1
27	истории но	1	1
28	первая часть	1	1
29	не только	5	1
30	с точки	10	1
31	не менее	3	1
32	с самых	1	1
33	для него	5	1
34	ни один	2	1
35	если бы	3	1
36	тому что	3	1
37	при анализе	3	1
38	и социальной	2	1
39	борьбе современных	1	1
40	лучше всего	1	1
41	нет и	1	1
42	к тому	4	1
43	в особенности	1	1
44	смысл и	1	1
45	и все	4	1
46	именно с	1	1
47	исходя из	1	1
48	в то	6	1
49	бы в	2	1
50	русской литературы	1	1
51	так называемая	1	1
52	но и	4	1
53	точки зрения	13	1
54	влияния на	1	1
55	и на	3	1
56	мы видим	1	1
57	на примере	1	1
58	же время	5	1
59	а не	2	1
