N	2gram	Vinokur_St_2	KFilosof
1	может быть	2	43
2	в его	13	39
3	в нем	4	31
4	не может	2	27
5	и не	9	26
6	по отношению	1	25
7	и в	29	22
8	в себе	2	21
9	отношению к	1	21
10	в котором	7	21
11	в ее	2	17
12	и его	6	17
13	а не	5	17
14	только в	2	16
15	точки зрения	5	13
16	в этом	21	13
17	для него	4	12
18	ни в	3	12
19	и это	2	12
20	но не	3	12
21	все эти	2	11
22	не в	4	11
23	в своей	7	11
24	с точки	2	10
25	в своем	9	10
26	все это	11	10
27	и все	1	9
28	и для	1	9
29	но и	19	9
30	в их	3	9
31	как бы	5	9
32	жизни и	1	8
33	не было	3	8
34	со стороны	2	8
35	если бы	2	8
36	было бы	5	8
37	я должен	1	7
38	вовсе не	6	7
39	и здесь	3	7
40	то что	11	7
41	что и	2	7
42	конечно не	1	7
43	и действительно	1	6
44	и их	1	6
45	и я	2	6
46	отношение к	1	6
47	совершенно не	2	6
48	в том	27	6
49	он не	9	6
50	я не	7	6
51	но это	3	6
52	все же	6	5
53	жизни в	1	5
54	как и	2	5
55	его как	2	5
56	хотя бы	3	5
57	там где	2	5
58	что я	2	5
59	но все	7	5
60	никогда не	3	5
61	в моем	1	5
62	не имеет	2	5
63	я могу	1	5
64	но как	1	5
65	в контексте	1	5
66	в основе	1	5
67	именно в	4	5
68	то же	2	5
69	но в	8	5
70	его в	2	5
71	не только	19	5
72	от его	2	5
73	места в	1	4
74	все попытки	1	4
75	место в	1	4
76	при этом	2	4
77	в каком	2	4
78	не по	2	4
79	нисколько не	1	4
80	где я	2	4
81	как его	1	4
82	в одном	6	4
83	а в	1	4
84	для нас	1	4
85	что в	19	4
86	между тем	5	4
87	в чем	1	4
88	времени и	4	4
89	могло бы	1	4
90	не как	1	4
91	ни было	2	4
92	в своих	1	4
93	чем не	1	4
94	том что	27	4
95	с ними	1	4
96	и совершенно	1	3
97	еще не	1	3
98	в другом	4	3
99	этом смысле	1	3
100	и тем	1	3
101	для которого	1	3
102	нет в	1	3
103	на своем	1	3
104	здесь не	1	3
105	не менее	3	3
106	из его	2	3
107	и жизни	1	3
108	где он	2	3
109	что это	3	3
110	в каждом	1	3
111	независимо от	1	3
112	мы не	1	3
113	от него	1	3
114	не дает	2	3
115	меня в	2	3
116	и пр	8	3
117	нигде не	2	3
118	того что	5	3
119	здесь нет	1	3
120	на самом	3	3
121	нет и	2	3
122	в момент	1	3
123	что этот	2	3
124	в то	2	3
125	только с	2	3
126	для того	7	3
127	а все	1	3
128	тем что	3	3
129	ничего не	4	3
130	по своему	2	3
131	в виду	7	3
132	не должен	2	3
133	о том	17	3
134	и на	6	3
135	до конца	3	3
136	самом деле	3	3
137	в ней	7	3
138	котором он	1	3
139	всем его	1	3
140	себе и	1	3
141	не могу	1	3
142	в свою	1	3
143	и тот	1	2
144	действительно ли	1	2
145	отношении к	3	2
146	же время	1	2
147	вопрос о	6	2
148	говорить о	1	2
149	отказаться от	1	2
150	бы то	2	2
151	принципиально не	1	2
152	прежде всего	5	2
153	не будет	1	2
154	а это	1	2
155	котором мы	1	2
156	так и	9	2
157	вокруг него	1	2
158	только по	2	2
159	быть не	1	2
160	что эта	3	2
161	того чтобы	6	2
162	по себе	3	2
163	вследствие этого	1	2
164	ничего общего	1	2
165	то ни	2	2
166	бы он	1	2
167	с тем	7	2
168	в это	2	2
169	что только	1	2
170	в принципе	1	2
171	были бы	1	2
172	совсем не	1	2
173	и принципиально	1	2
174	оно не	3	2
175	и именно	3	2
176	потому что	9	2
177	конечно в	2	2
178	кажется что	3	2
179	что есть	1	2
180	дело не	2	2
181	а как	4	2
182	как в	3	2
183	но этот	1	2
184	тот же	1	2
185	другое дело	3	2
186	действительности в	1	2
187	дело в	4	2
188	даны в	2	2
189	еще более	4	2
190	это и	1	2
191	и потому	2	2
192	на первом	2	2
193	можно ли	1	2
194	тем не	2	2
195	едва ли	1	2
196	что значит	1	2
197	того именно	1	2
198	не о	1	2
199	которой все	1	2
