1	и не	16	31
2	и в	31	29
3	может быть	22	24
4	в его	6	24
5	в этом	12	22
6	а не	13	22
7	т е	3	21
8	как бы	5	19
9	в нем	2	19
10	точки зрения	15	19
11	для него	1	18
12	то что	32	15
13	не только	13	15
14	и его	7	14
15	то же	5	14
16	но и	2	14
17	с точки	2	13
18	уже не	2	13
19	в пределах	1	13
20	как и	16	12
21	точка зрения	4	12
22	не может	17	12
23	о себе	1	12
24	таким образом	20	12
25	в одном	2	10
26	только в	14	10
27	в самом	11	10
28	этом смысле	2	10
29	там где	4	10
30	в то	5	10
31	с его	1	9
32	но не	3	9
33	все же	5	9
34	о нем	1	9
35	если бы	6	9
36	это не	1	9
37	как не	1	8
38	что в	23	8
39	что он	7	8
40	в своей	3	8
41	по себе	9	8
42	потому что	10	8
43	до конца	6	8
44	в том	30	8
45	в каждом	3	8
46	в своем	3	8
47	а как	1	7
48	том что	16	7
49	но в	3	7
50	она не	5	7
51	вовсе не	6	7
52	за пределы	1	7
53	и на	1	7
54	а в	6	7
55	в себе	4	7
56	не в	11	7
57	прежде всего	4	7
58	и как	2	7
59	зрения на	2	7
60	так и	3	7
61	несмотря на	5	6
62	выражение в	1	6
63	в одной	3	6
64	не могут	3	6
65	могут быть	11	6
66	что она	6	6
67	все это	8	6
68	и потому	2	6
69	в конце	3	6
70	как в	9	6
71	изображения и	1	6
72	его в	2	6
73	к нему	2	6
74	как раз	2	6
75	так же	12	6
76	в мире	1	6
77	самом деле	9	6
78	был бы	5	6
79	в целом	5	6
80	точку зрения	3	6
81	так как	18	6
82	зависимости от	6	5
83	было бы	6	5
84	в сущности	10	5
85	мысли и	2	5
86	перед нами	1	5
87	с ним	2	5
88	во всяком	8	5
89	конце концов	3	5
90	и о	4	5
91	он не	3	5
92	одной плоскости	1	5
93	и др	1	5
94	автора и	1	5
95	или как	2	5
96	дело идет	1	5
97	в зависимости	5	5
98	ничего не	2	5
99	и это	3	5
100	должна быть	3	5
101	именно в	1	5
102	той же	3	5
103	еще не	1	5
104	но все	1	5
105	на самом	2	5
106	у него	4	5
107	между тем	4	5
108	с их	1	5
109	в творчестве	1	5
110	это и	3	5
111	в свете	1	4
112	в этой	3	4
113	тем как	1	4
114	от того	3	4
115	идет о	2	4
116	но у	1	4
117	и для	5	4
118	и наконец	1	4
119	в литературе	1	4
120	как предмет	1	4
121	их в	2	4
122	его как	1	4
123	должно быть	1	4
124	даже в	2	4
125	человека в	1	4
126	как мы	2	4
127	бы и	2	4
128	в основе	2	4
129	и с	2	4
130	что и	13	4
131	все то	3	4
132	и следовательно	2	4
133	и т	26	4
134	что же	2	4
135	не было	3	4
136	в произведении	3	4
137	но это	3	4
138	в процессе	5	4
139	он есть	1	4
140	в результате	4	4
141	должна была	2	4
142	если же	2	3
143	само по	5	3
144	в своих	4	3
145	например в	3	3
146	как будто	5	3
147	все что	3	3
148	мире в	1	3
149	но как	2	3
150	и здесь	2	3
151	приводит к	2	3
152	я не	1	3
153	но с	1	3
154	сами по	1	3
155	сказать что	7	3
156	оно не	1	3
157	и у	4	3
158	в духе	1	3
159	мы должны	1	3
160	одна из	4	3
161	ни в	9	3
162	никогда не	8	3
163	как к	2	3
164	бы в	2	3
165	целом ряде	2	3
166	как на	3	3
167	с другой	5	3
168	только у	1	3
169	о своем	1	3
170	по существу	4	3
171	не дает	2	3
172	художественного творчества	6	3
173	всяком случае	6	3
174	и внутренне	1	3
175	все в	1	3
176	точке зрения	1	3
177	отличается от	2	3
178	в их	1	3
179	в художественном	3	3
180	только то	2	3
181	в них	2	3
182	в себя	2	3
183	уже в	3	3
184	на почве	2	3
185	тому как	7	3
186	и построения	1	3
187	этом отношении	2	3
188	в другой	2	3
189	т п	16	3
190	здесь с	1	3
191	была бы	1	3
192	в особом	1	3
193	для его	1	3
194	на котором	1	3
195	на материале	1	3
196	другой стороны	5	3
197	далеко не	2	3
198	за ним	1	3
199	тому что	4	3
200	подобно тому	5	3
201	точек зрения	3	3
202	плоскости с	1	3
203	и пр	1	3
204	наконец в	2	2
205	идет не	1	2
206	оно может	1	2
207	что оно	3	2
208	произведения и	1	2
209	конечно не	1	2
210	однако в	1	2
211	на его	1	2
212	могли бы	1	2
213	не есть	3	2
214	всей его	1	2
215	мы его	1	2
216	является не	1	2
217	одно из	2	2
218	в которой	4	2
219	как таковой	1	2
220	так что	5	2
221	одного человека	1	2
222	при этом	19	2
223	каждая мысль	1	2
224	из которых	3	2
225	заметить что	1	2
226	тем или	2	2
227	то и	2	2
228	в жизни	2	2
229	и есть	5	2
230	никак не	4	2
231	вследствие этого	1	2
232	которые были	1	2
233	один из	4	2
234	к идее	2	2
235	как можно	1	2
236	во всей	1	2
237	только как	1	2
238	сводить к	1	2
239	мы видим	5	2
240	его творчество	1	2
241	его к	1	2
242	все время	4	2
243	во все	1	2
244	жизни и	3	2
245	точками зрения	1	2
246	и во	2	2
247	п все	2	2
248	социальной жизни	1	2
249	что может	1	2
250	отношение к	2	2
251	или к	1	2
252	в сознании	2	2
253	совпадает с	4	2
254	и могут	1	2
255	вопрос о	3	2
256	и ее	1	2
257	себя и	2	2
258	не потому	1	2
259	для понимания	1	2
260	самого начала	1	2
261	те же	4	2
262	и что	8	2
263	с этим	3	2
264	зрения и	1	2
265	к более	1	2
266	и уже	1	2
267	между ними	1	2
268	форму оно	1	2
269	что позволяет	1	2
270	же в	1	2
271	бы то	1	2
272	чем в	1	2
273	материал его	2	2
274	в ней	1	2
275	в котором	4	2
276	уже и	2	2
277	то они	1	2
278	его и	3	2
279	от ее	1	2
280	все остальное	1	2
281	мы ее	1	2
282	по преимуществу	1	2
283	тот же	2	2
284	нему и	1	2
285	бы как	1	2
286	из его	3	2
287	до сих	3	2
288	художником и	1	2
289	то он	1	2
290	хотя бы	1	2
291	в той	1	2
