N	3gram	Savitsky_P_1	Myshleni
1	в том что	4	31
2	заключается в том	2	14
3	с точки зрения	3	11
4	с одной стороны	3	9
5	в этом смысле	1	8
6	с другой стороны	1	8
7	в собственном смысле	1	7
8	друг с другом	1	7
9	так же как	1	5
10	для того чтобы	1	5
11	и то что	1	4
12	и тем самым	1	4
13	вместе с тем	1	3
14	по сравнению с	1	3
15	во всяком случае	1	3
16	в том виде	1	2
17	в настоящее время	1	2
18	в том числе	2	2
19	одной стороны и	2	2
20	и не только	2	2
21	в отличие от	1	2
22	но и в	2	2
23	мы видим в	1	2
24	том числе и	1	2
25	том что в	1	1
26	что в этом	1	1
27	чуть ли не	1	1
28	далеко не все	1	1
29	есть прежде всего	1	1
30	в наших глазах	1	1
31	что с точки	1	1
32	в момент когда	1	1
33	совершенно ясно что	1	1
34	заключает в себе	2	1
35	и в частности	1	1
36	что в момент	1	1
37	все это в	1	1
38	во всей полноте	1	1
39	если бы мы	1	1
40	не только в	4	1
41	в противоречии с	1	1
42	не может быть	1	1
43	в себе зерно	1	1
44	условия в которых	1	1
45	в своем значении	2	1
46	само по себе	1	1
47	тем и другим	1	1
48	тот же исторический	1	1
49	мы знаем что	1	1
50	наших глазах не	1	1
51	что уже в	1	1
