N	3gram	Vinokur_Ku_1	DiskursI
1	в том что	15	13
2	по отношению к	8	9
3	с одной стороны	1	9
4	тогда как в	1	5
5	о том что	5	5
6	в отличие от	1	4
7	то же время	2	4
8	а с другой	3	3
9	не в том	4	3
10	далеко еще не	1	3
11	той или иной	1	3
12	не может быть	3	3
13	в свою очередь	3	3
14	с другой стороны	6	3
15	в то же	2	3
16	что же касается	4	2
17	и того же	2	2
18	не говоря уже	1	2
19	и в особенности	1	2
20	в соответствии с	3	2
21	а в том	2	2
22	тот или иной	1	2
23	сами по себе	1	2
24	в наше время	1	2
25	обратить внимание на	2	2
26	по крайней мере	5	2
27	на мой взгляд	2	2
28	в том чтобы	8	2
29	не только в	1	2
30	состоит в том	3	2
31	едва ли не	1	2
32	более или менее	3	2
33	только в том	3	2
34	одного и того	2	2
35	и может быть	1	1
36	в этом случае	2	1
37	на том что	1	1
38	в одном ряду	1	1
39	при всем желании	1	1
40	языка это лишь	1	1
41	на самом деле	2	1
42	в этом смысле	3	1
43	сюда же относятся	1	1
44	внимание на то	2	1
45	к которому он	1	1
46	свидетельствует о том	1	1
47	как раз и	1	1
48	о том как	3	1
49	именно в том	2	1
50	в словаре английского	1	1
51	с точки зрения	9	1
52	и должны быть	1	1
53	до сих пор	4	1
54	том случае если	1	1
55	и в то	1	1
56	хотя бы и	2	1
57	в строгом смысле	1	1
58	в первую очередь	2	1
59	тех случаях когда	2	1
60	базируется не на	1	1
61	следует обратить внимание	1	1
62	что в них	2	1
63	целое в свою	1	1
64	том что не	1	1
65	в научной литературе	1	1
66	в тех или	1	1
67	в противном случае	1	1
68	в любой из	1	1
69	вместе с тем	3	1
70	всяком случае ясно	1	1
71	одно и то	1	1
72	только потому что	6	1
73	в целом и	2	1
74	именно в той	1	1
75	далеко не всегда	1	1
76	дело не с	1	1
77	что с ними	1	1
78	в одно и	1	1
79	и потому что	2	1
80	во всех этих	1	1
81	в том случае	1	1
82	для своего времени	1	1
83	в связи с	3	1
84	том что он	4	1
85	во всяком случае	5	1
86	хотя бы на	1	1
87	к мысли что	1	1
88	вопросом о том	1	1
89	в свое время	2	1
90	до наших дней	1	1
91	в тех случаях	2	1
92	того или иного	3	1
93	в этом отношении	5	1
94	не в качестве	1	1
95	так и в	2	1
96	не только потому	1	1
97	когда указывает на	1	1
98	заключается в том	2	1
99	речь идет о	2	1
100	на то что	2	1
101	по аналогии с	1	1
102	в данном отношении	2	1
103	состояло в том	1	1
104	и то же	1	1
105	в том и	2	1
106	тех или иных	1	1
107	том что на	1	1
108	тем не менее	4	1
109	но все же	2	1
110	то что они	1	1
111	дело не в	1	1
112	лицом к лицу	1	1
113	в большинстве случаев	1	1
114	сошлюсь хотя бы	1	1
