N	3gram	Bakhtin_Pr_5	Morfolog
1	в этом случае	1	9
2	не может быть	3	8
3	подобно тому как	2	5
4	по отношению к	6	4
5	с точки зрения	2	4
6	тем не менее	1	4
7	с другой стороны	3	4
8	как и в	1	3
9	на самом деле	9	3
10	но все же	2	3
11	в большинстве случаев	2	2
12	друг на друга	2	2
13	может быть и	1	2
14	для того чтобы	1	2
15	в том что	2	2
16	и в других	1	2
17	в то время	1	2
18	то время как	1	2
19	действующих лиц в	1	2
20	герой не может	1	1
21	с самого начала	8	1
22	в то же	10	1
23	о том как	1	1
24	так же не	1	1
25	бы то ни	3	1
26	друг с другом	4	1
27	из которых каждый	1	1
28	можно сказать что	1	1
29	бы они ни	1	1
30	все же очень	1	1
31	с ними и	1	1
32	то что они	1	1
33	он как бы	1	1
34	потому что они	1	1
35	а вовсе не	1	1
36	как в начале	1	1
37	они ни были	1	1
38	но кроме того	1	1
39	что же касается	1	1
40	к тому что	1	1
41	самого начала в	1	1
42	на друга что	1	1
43	во всей своей	1	1
44	того или другого	1	1
45	о том что	1	1
46	и выдает себя	1	1
47	то что он	1	1
48	и то же	3	1
49	том что он	1	1
50	можно было бы	2	1
51	так же и	1	1
52	но в этом	1	1
53	он не может	3	1
54	и заставляет его	1	1
55	той или иной	4	1
56	диалог ивана с	2	1
57	выдает себя за	1	1
58	то же время	10	1
59	героя и для	1	1
60	друг к другу	3	1
61	в том или	1	1
62	или во всяком	1	1
63	не входит в	1	1
64	в форме диалога	1	1
65	все более и	1	1
66	одно и то	3	1
67	во всяком случае	4	1
68	что и в	1	1
69	в данном случае	1	1
70	как бы в	1	1
71	более и более	1	1
72	до сих пор	1	1
73	и как будто	1	1
