1	в то же время	3	5
2	состоит в том что	4	4
3	с этой точки зрения	1	3
4	в формах художественного письма	1	3
5	дело не только в	1	2
6	но служит в банке	1	1
7	образованию филолог но служит	1	1
8	то же время у	1	1
9	к себе самому и	1	1
10	одного и того же	1	1
11	не несет в себе	1	1
12	стать и пребывать самим	1	1
13	креативного и рецептивного сознаний	1	1
14	филолог но служит в	1	1
15	по образованию филолог но	1	1
16	одним и тем же	1	1
17	человеческого я в мире	1	1
18	его знакомых и друзей	1	1
19	присутствия я в мире	1	1
20	без другого в этом	1	1
