N	3gram	Propp_Russ_2	slovoVRo
1	не может не	1	5
2	во всяком случае	1	5
3	и т д	5	5
4	с одной стороны	2	4
5	с другой стороны	1	4
6	в данном случае	6	3
7	более или менее	1	3
8	таким образом в	1	3
9	а между тем	1	2
10	и связанных с	1	2
11	в этом случае	6	2
12	одновременно и в	1	2
13	может быть только	2	2
14	то время как	1	2
15	о том же	3	2
16	в то время	2	2
17	и в этом	1	2
18	в свою очередь	1	2
19	или во всяком	1	2
20	они как бы	1	2
21	не только на	1	2
22	как мы уже	1	2
23	можно было бы	1	2
24	и в том	1	2
25	не могла быть	1	1
26	с таким же	1	1
27	нас в данном	1	1
28	прежде всего как	1	1
29	дело в том	1	1
30	с одним из	1	1
31	но это не	1	1
32	в одних случаях	1	1
33	в своей книге	2	1
34	не входит в	1	1
35	в отличие от	3	1
36	но и в	1	1
37	на самом же	2	1
38	в этом отношении	1	1
39	по аналогии с	1	1
40	а иногда и	1	1
41	может быть и	1	1
42	ни с одним	1	1
43	может быть не	1	1
44	каждый из этих	1	1
45	своей книге о	1	1
46	во всех этих	1	1
47	в какой степени	1	1
48	них как в	1	1
49	не может быть	3	1
50	тем не менее	2	1
51	между тем это	2	1
52	о том что	4	1
53	еще далеко не	1	1
54	тем и другим	1	1
55	и все это	1	1
56	можно сказать что	1	1
57	за тридевять земель	1	1
58	самом же деле	2	1
59	для того чтобы	6	1
60	в том что	18	1
61	как и в	1	1
62	как мы видели	1	1
