N	2gram	Berdyaev_M_2	Analitik
1	не только	18	22
2	и в	46	18
3	как и	13	14
4	так и	4	14
5	в этом	20	14
6	и его	5	13
7	но и	15	13
8	том что	4	12
9	и не	18	12
10	а в	2	10
11	как бы	8	10
12	что в	4	9
13	может быть	21	9
14	а не	13	9
15	в том	3	9
16	со своей	1	8
17	с его	4	8
18	всего лишь	1	8
19	своего рода	1	8
20	не случайно	2	8
21	по отношению	2	7
22	в русской	6	7
23	в его	5	7
24	с другой	1	7
25	во второй	1	7
26	отношению к	2	7
27	и самого	3	6
28	в этой	7	6
29	он не	10	6
30	не в	9	6
31	к тому	5	6
32	для него	18	6
33	о том	3	6
34	того же	1	5
35	той же	3	5
36	в самом	5	5
37	лишь в	2	5
38	в мире	7	5
39	или иной	2	5
40	в сущности	2	5
41	что и	4	5
42	между тем	2	5
43	уже не	4	5
44	в конце	5	5
45	никогда не	18	5
46	в свою	4	5
47	прежде всего	12	5
48	такого рода	2	5
49	принадлежит к	2	4
50	и на	3	4
51	что он	7	4
52	в своем	8	4
53	и как	1	4
54	и к	7	4
55	приводит к	1	4
56	по себе	2	4
57	в пределах	1	4
58	и сам	1	4
59	себя в	4	4
60	не есть	13	4
61	во втором	1	4
62	о чем	1	4
63	я и	2	3
64	его не	2	3
65	мы не	1	3
66	говорить о	1	3
67	в целом	1	3
68	уже в	2	3
69	если в	1	3
70	что они	3	3
71	как в	7	3
72	с этим	1	3
73	роль в	1	3
74	у пушкина	1	3
75	подобно тому	2	3
76	то же	5	3
77	в каждом	3	3
78	не будет	3	3
79	его в	3	3
80	точки зрения	2	3
81	и без	1	3
82	все это	1	3
83	до известной	1	3
84	ничего не	2	3
85	личности в	2	3
86	той или	1	3
87	в ее	1	3
88	жизнь и	4	3
89	мысль о	2	3
90	путь к	1	3
91	было бы	1	3
92	во всем	5	3
93	этом отношении	1	3
94	были бы	2	3
95	в финале	1	3
96	что не	2	3
97	не было	11	3
98	не всегда	2	3
99	по поводу	1	3
100	к этому	1	3
101	отношения к	2	2
102	самом деле	1	2
103	мере в	1	2
104	от своей	2	2
105	по преимуществу	5	2
106	с изображением	1	2
107	к собственной	1	2
108	есть не	5	2
109	а для	2	2
110	на себя	1	2
111	и он	11	2
112	в ней	11	2
113	не от	2	2
114	во всех	2	2
