N	3gram	Berdyaev_O_1	Dialekti
1	в том что	1	7
2	сам по себе	1	6
3	само по себе	1	5
4	ни с какой	1	4
5	на то что	1	4
6	да и то	1	3
7	в нем нет	3	3
8	и в этом	2	3
9	не может быть	2	3
10	свое учение о	1	2
11	в этом отношении	1	2
12	по сравнению с	1	2
13	друг к другу	1	2
14	во всяком случае	1	2
15	о том что	1	2
16	в каждом из	1	2
17	как например в	1	1
18	и вот оказывается	1	1
19	хотя и не	1	1
20	но от этого	1	1
21	это было бы	2	1
22	в самом деле	1	1
23	вот оказывается что	1	1
24	со всей ее	1	1
25	каждом из них	1	1
26	и не в	1	1
27	что это за	1	1
28	бы и не	1	1
29	только и состоит	1	1
30	эта не может	1	1
31	есть лишь движение	1	1
32	и ни с	1	1
33	не в том	1	1
34	я имею в	1	1
35	после этого только	1	1
36	это не есть	1	1
37	и не самое	1	1
38	никто не может	1	1
39	что же это	2	1
40	больше всего в	1	1
41	хотя бы даже	1	1
42	должно быть ясно	1	1
43	имею в виду	1	1
44	а не только	1	1
45	ко всему этому	1	1
46	же это за	2	1
47	веры а не	1	1
48	друг с другом	1	1
49	плоти и крови	1	1
50	для того чтобы	3	1
51	ничто не может	1	1
52	не есть просто	1	1
