N	2gram	Nazirov_Tr_1	Tvorches
1	у достоевского	5	28
2	и в	18	21
3	как бы	7	17
4	романах достоевского	2	15
5	в то	5	15
6	то же	5	13
7	из подполья	1	13
8	времени в	2	13
9	в его	3	13
10	в романах	1	13
11	достоевского в	3	12
12	то есть	3	12
13	как и	5	12
14	же время	6	12
15	что в	4	12
16	с его	2	11
17	том что	4	11
18	м м	1	11
19	все это	4	10
20	в романе	10	10
21	как в	3	8
22	он не	2	8
23	то что	4	8
24	в году	9	7
25	и на	7	7
26	но в	6	7
27	что достоевский	4	7
28	не только	8	7
29	при этом	3	7
30	тем самым	3	7
31	во многом	1	7
32	у него	6	7
33	и не	7	7
34	в том	2	7
35	в этом	9	6
36	достоевского не	1	6
37	в преступлении	2	6
38	в котором	1	6
39	не менее	1	6
40	и его	6	6
41	по природе	1	6
42	он сам	7	6
43	о том	2	6
44	и все	4	6
45	что он	6	6
46	для него	3	6
47	xix века	1	6
48	жизни в	1	6
49	молодого достоевского	1	5
50	отнюдь не	3	5
51	все же	5	5
52	в этой	4	5
53	таким образом	1	5
54	потому что	2	5
55	как будто	3	5
56	по нашему	1	5
57	только в	1	5
58	может быть	7	5
59	нашему мнению	1	5
60	а не	1	5
61	но это	4	5
62	это уже	2	5
63	хотя бы	1	5
64	человека и	1	4
65	в петербурге	1	4
66	романе идиот	3	4
67	в своем	3	4
68	и как	3	4
69	в целом	4	4
70	в человеке	1	4
71	в записках	2	4
72	это не	5	4
73	в своей	1	4
74	своего рода	3	4
75	в эпилоге	1	4
76	достоевский не	4	4
77	творчества достоевского	1	4
78	достоевским в	2	4
79	не случайно	2	4
80	в мире	3	4
81	для достоевского	2	4
82	преступлении и	2	4
83	униженных и	16	4
84	в финале	1	4
85	прежде всего	4	4
86	в момент	1	4
87	не может	5	4
88	и от	1	4
89	в основном	3	4
90	один из	3	4
91	и оскорбленных	17	4
92	одним из	1	4
93	и наказании	2	4
94	я и	1	3
95	ту же	1	3
96	и т	1	3
97	это и	1	3
98	той же	1	3
99	я не	4	3
100	не был	2	3
101	что я	4	3
102	больших романах	1	3
103	достоевского к	1	3
104	в самом	2	3
105	сливается с	1	3
106	представляет собой	1	3
107	в нем	4	3
108	в россии	1	3
109	на земле	1	3
110	и по	1	3
111	что все	2	3
112	и с	7	3
113	достоевский и	1	3
114	достоевского и	1	3
115	представление о	1	3
116	романа достоевского	2	3
117	самого начала	1	3
118	никогда не	2	3
119	достоевский в	7	3
120	вот почему	1	3
121	с ее	3	3
122	с самого	1	3
123	в бесах	9	3
124	в дальнейшем	5	3
125	с ним	3	3
126	мире достоевского	1	3
127	добра и	1	3
128	белых ночей	2	3
129	того что	1	3
130	князь мышкин	2	3
131	который в	2	3
132	по мнению	2	3
133	человеческой личности	2	3
134	уже не	2	3
135	уже в	3	3
136	неточка незванова	2	3
137	записках из	3	3
138	в виде	2	3
139	говорит о	2	3
140	не так	2	3
141	в которой	1	3
142	петр александрович	1	3
143	и даже	4	3
144	но и	4	3
145	в рассказе	2	3
146	но не	1	3
147	в книге	1	3
148	это как	1	3
149	но если	1	3
150	это в	1	3
151	так же	4	3
152	вряд ли	2	2
153	самом деле	1	2
154	на деле	1	2
155	в первом	2	2
156	из неточки	1	2
157	а как	2	2
158	за два	1	2
159	и он	3	2
160	героя и	1	2
161	в ней	1	2
162	в отличие	2	2
163	и высокое	1	2
164	людей в	1	2
165	в чем	1	2
166	отличие от	2	2
167	и достоевский	1	2
168	в настоящем	1	2
169	говорит что	2	2
170	и наконец	1	2
171	то в	1	2
172	но без	1	2
173	в себе	4	2
174	что она	2	2
175	тем не	1	2
176	так сказать	1	2
177	страдания и	1	2
178	здесь мы	1	2
179	прекрасное и	1	2
180	а затем	1	2
181	а по	1	2
182	известно что	1	2
183	этом романе	1	2
184	петра александровича	1	2
185	когда я	1	2
186	в данном	2	2
187	ведет к	1	2
188	свободы воли	1	2
189	этой связи	1	2
190	не столько	1	2
191	в черновиках	1	2
192	не в	2	2
193	но он	1	2
194	т п	1	2
195	на свете	1	2
196	сам достоевский	3	2
197	одна из	2	2
198	и притом	1	2
199	но только	1	2
200	иными словами	1	2
201	к ней	1	2
202	свидетельствует о	1	2
203	иван карамазов	1	2
204	в духе	1	2
205	могут быть	1	2
206	к тому	2	2
207	романтический эстетизм	3	2
208	а что	2	2
209	где он	1	2
210	князь валковский	9	2
211	году в	2	2
212	в виду	1	2
213	данном случае	2	2
214	с каким	1	2
215	мысль о	1	2
216	протест против	1	2
217	так и	5	2
218	за то	1	2
219	об этом	4	2
220	еще в	2	2
221	быть может	1	2
222	стремление к	1	2
223	лицо его	2	2
224	и ненормальной	1	2
225	натуральной школы	1	2
226	и оскорбленные	9	2
227	что и	2	2
228	в литературе	1	2
229	в двух	1	2
230	настасьи филипповны	1	2
231	униженные и	9	2
232	петербургские сновидения	1	2
233	человека с	1	2
234	так что	2	2
235	второй части	1	2
236	только на	1	2
237	именно в	1	2
238	что не	1	2
239	в образах	1	2
240	до конца	2	2
241	и далее	1	2
242	с которым	1	2
243	его как	1	2
244	было в	2	2
245	в частности	2	2
246	бессмысленной и	1	2
247	вместе с	1	2
248	русской литературы	2	2
249	до этого	1	2
250	моральный эстетизм	2	2
251	намек на	1	2
252	да я	1	2
253	к жизни	5	2
254	эти слова	1	2
255	в неточке	2	2
256	него есть	1	2
257	мертвого дома	2	2
258	сновидения в	1	2
