N	2gram	Medvedev_I_1	Freidism
1	и не	2	23
2	к отцу	1	16
3	в этом	2	15
4	все эти	1	11
5	так и	1	10
6	и в	1	9
7	по отношению	1	9
8	отношению к	1	8
9	он не	2	8
10	все это	1	8
11	и с	3	6
12	для него	1	6
13	того что	1	6
14	никогда не	1	6
15	что в	2	5
16	а в	1	5
17	для того	1	5
18	его ученики	1	5
19	говорить о	1	4
20	того чтобы	1	4
21	не дает	1	4
22	и о	1	4
23	в основе	1	4
24	и др	1	4
25	я не	1	4
26	и тот	1	3
27	нисколько не	1	3
28	жизни и	1	3
29	по поводу	1	3
30	в них	1	3
31	со всеми	1	3
32	себя в	1	3
33	если бы	1	3
34	самого себя	2	2
35	тех же	1	2
36	того же	1	2
37	от этого	1	2
38	них не	1	2
39	факты и	1	2
40	в эту	1	2
41	не остается	1	2
42	а с	1	2
43	нам в	1	2
44	это было	1	2
45	только для	1	2
46	с другой	1	2
47	бы в	1	1
48	о ней	1	1
49	стороны он	1	1
50	же это	1	1
51	комплекс в	1	1
52	утверждает что	1	1
53	и со	1	1
54	с любым	1	1
55	оказывается для	1	1
56	и без	1	1
57	художественного творчества	1	1
58	но когда	1	1
59	не так	1	1
60	следовательно в	1	1
61	перед отцом	1	1
62	сомневаюсь что	1	1
63	то и	1	1
64	в целом	1	1
65	у всех	1	1
66	ничего не	2	1
67	тем что	1	1
68	как отец	1	1
69	и та	1	1
70	точно и	1	1
71	и сам	1	1
72	для других	1	1
73	а также	1	1
74	ненависть к	1	1
75	то она	1	1
76	странное и	1	1
77	не сомневаюсь	1	1
78	это был	1	1
79	во многом	1	1
