N	2gram	Savitsky_P_1	Problemy
1	и в	14	43
2	и не	12	29
3	т е	3	26
4	может быть	5	23
5	как бы	4	22
6	не может	4	18
7	в пределах	8	16
8	как и	1	14
9	но и	6	14
10	и т	3	13
11	в этом	10	13
12	точки зрения	3	13
13	в нем	3	12
14	не только	17	11
15	в каждом	1	11
16	не в	5	11
17	по себе	4	11
18	и на	1	10
19	но в	9	10
20	в его	2	10
21	прежде всего	3	10
22	еще не	1	9
23	никогда не	1	9
24	в большинстве	1	9
25	то же	9	8
26	с точки	3	8
27	большинстве случаев	1	8
28	в самом	1	7
29	в то	7	7
30	а не	2	7
31	то что	4	7
32	не как	1	6
33	в этих	1	6
34	в том	9	6
35	в котором	4	6
36	но не	3	5
37	хотя и	3	5
38	в себе	3	5
39	на то	1	5
40	да и	2	5
41	и с	2	5
42	было бы	6	5
43	никак не	2	5
44	и что	1	5
45	же время	7	5
46	все это	2	5
47	а в	4	5
48	на фоне	1	5
49	мы не	3	4
50	с его	1	4
51	во всех	2	4
52	отличие от	1	4
53	там где	1	4
54	вот как	1	4
55	в своем	4	4
56	т д	1	4
57	в них	2	4
58	далеко не	1	4
59	должно быть	2	4
60	в отличие	1	4
61	с другом	1	4
62	и это	2	4
63	с собой	1	4
64	только в	7	4
65	как раз	2	4
66	точек зрения	2	4
67	с другой	5	4
68	друг с	1	4
69	в результате	1	4
70	что в	4	4
71	также и	1	3
72	должна быть	1	3
73	что если	1	3
74	он был	1	3
75	стороны и	2	3
76	и к	4	3
77	более или	1	3
78	только на	1	3
79	это не	3	3
80	в жизни	2	3
81	или менее	1	3
82	в одно	1	3
83	в отношении	10	3
84	она не	1	3
85	могут быть	3	3
86	не менее	2	3
87	и этим	1	3
88	в себя	1	3
89	если бы	4	3
90	и здесь	1	3
91	в различных	1	3
92	между тем	3	3
93	что и	1	3
94	и только	1	3
95	в формах	1	3
96	его в	1	3
97	тот же	3	3
98	и ее	1	3
99	теперь в	2	3
100	себя в	1	3
101	есть в	2	3
102	в виде	2	3
103	творчестве достоевского	1	3
104	или иной	1	3
105	ни на	1	3
106	но для	1	3
107	все же	1	3
108	в эту	2	3
109	другой стороны	1	3
110	есть и	1	3
111	я и	3	2
112	отношения к	2	2
113	тем же	1	2
114	и о	5	2
115	вопрос о	1	2
116	на себя	1	2
117	бы ни	2	2
118	слова о	1	2
119	мы и	1	2
120	не нужно	2	2
121	не входят	1	2
122	с этим	2	2
123	и слова	1	2
124	и как	3	2
125	бы и	1	2
126	что это	1	2
127	из этих	1	2
128	но на	1	2
129	к миру	1	2
130	и еще	1	2
131	одно и	1	2
132	а затем	1	2
133	из них	2	2
134	том что	4	2
135	и при	1	2
136	в которых	5	2
137	мысли и	1	2
138	что было	1	2
139	и то	1	2
140	и очень	1	2
141	иной раз	1	2
142	одна из	2	2
143	и всегда	1	2
144	и без	3	2
145	есть у	1	2
146	но к	2	2
147	настоящее время	1	2
148	особенно в	1	2
149	в которые	1	2
150	для этого	1	2
151	переходит в	1	2
152	того что	2	2
153	этом смысле	1	2
154	уже в	1	2
155	если мы	1	2
156	мы можем	1	2
157	каждый из	1	2
158	именно как	2	2
159	а с	1	2
160	что не	1	2
161	и пр	5	2
162	в творчестве	1	2
163	так же	1	2
164	и особенно	1	2
165	например в	2	2
166	слова но	2	2
167	и среди	1	2
168	в настоящее	1	2
169	для нас	2	2
170	еще более	2	2
171	хотя бы	8	2
172	отношении к	5	2
173	не есть	1	2
174	с ними	3	2
175	который не	1	2
176	во всяком	1	2
177	и через	1	1
178	и есть	2	1
179	в законченные	1	1
180	собственном смысле	1	1
181	есть не	2	1
182	к народу	1	1
183	и само	1	1
184	же как	1	1
185	этом не	1	1
186	есть нечто	2	1
187	ослабевает и	1	1
188	и тем	2	1
189	в некотором	1	1
190	конечно и	1	1
191	литературы и	1	1
192	это черта	1	1
193	это имеет	1	1
194	вполне и	1	1
195	и главное	1	1
196	различия между	1	1
197	ценности в	2	1
198	с одной	3	1
199	но как	1	1
200	если в	2	1
201	в общем	2	1
202	и необходимы	1	1
203	из важнейших	2	1
204	к сожалению	1	1
205	в собственном	1	1
206	дело идет	1	1
207	в рамках	1	1
208	под его	1	1
209	необходимы и	1	1
210	к чему	2	1
211	решают вопроса	1	1
212	у каждого	1	1
213	в этой	1	1
214	и резко	2	1
215	не могла	1	1
216	и если	4	1
217	из этой	1	1
218	не к	2	1
219	свои собственные	1	1
220	ни были	1	1
221	его другим	1	1
222	этом мире	1	1
223	и по	1	1
224	от нее	1	1
225	глубоко в	1	1
226	что все	1	1
227	они составляют	1	1
228	в мире	2	1
229	друг другу	2	1
230	как к	1	1
231	по природе	1	1
232	и иных	1	1
233	и мы	2	1
234	та совокупность	1	1
235	в ином	1	1
236	из нее	1	1
237	в ее	2	1
238	и уже	1	1
239	в г	1	1
240	которую мы	2	1
241	это ощущение	1	1
242	с возможной	1	1
243	на каждого	1	1
244	теми же	1	1
245	и эти	1	1
246	словах в	1	1
247	с величайшим	1	1
248	что есть	1	1
249	к пределу	1	1
250	в идеологическом	1	1
251	или что	1	1
252	что с	1	1
253	есть прежде	1	1
254	друг друга	1	1
255	тогда когда	1	1
256	само по	1	1
257	того чтобы	1	1
258	нем в	1	1
259	не имеет	1	1
260	воспринимает не	1	1
261	находятся в	1	1
262	этих двух	1	1
263	могут стать	1	1
264	русский народ	2	1
265	выборе и	1	1
266	каждого слова	1	1
267	быть различной	1	1
268	числе и	1	1
269	где он	1	1
270	с ее	1	1
271	оказаться в	1	1
272	идет речь	1	1
273	в рамки	1	1
274	стремиться к	1	1
275	на нее	1	1
276	те же	1	1
277	не с	1	1
278	живет в	1	1
279	еще в	1	1
280	является в	2	1
281	стремление к	1	1
282	в смысле	6	1
283	эти явления	1	1
284	вопроса и	1	1
285	может не	1	1
286	в значительной	2	1
287	смысле не	1	1
288	е если	1	1
289	и мир	1	1
290	она может	1	1
291	мы видим	1	1
292	в какой	1	1
293	и весьма	2	1
294	всяком случае	1	1
295	именно на	1	1
296	в эти	1	1
297	в качестве	9	1
298	человека с	1	1
299	к у	1	1
300	и знать	1	1
301	народ русский	1	1
302	мы знаем	1	1
303	мир в	1	1
304	иначе как	1	1
305	сами по	3	1
306	не о	2	1
307	в выборе	2	1
308	вообще можно	1	1
309	во всей	2	1
310	в других	1	1
311	не было	2	1
312	были бы	1	1
313	из двух	1	1
314	одной стороны	3	1
315	он живет	1	1
316	и тех	1	1
317	только один	1	1
318	но о	2	1
319	не исключает	1	1
320	идеи в	1	1
321	и внутренне	1	1
322	как ни	1	1
323	что из	2	1
324	но есть	1	1
325	рамках этого	1	1
326	на этой	1	1
327	бы оно	1	1
328	речь но	1	1
329	следовательно к	1	1
330	вместе с	1	1
331	и потому	4	1
332	в европе	2	1
333	над ним	1	1
334	не решают	1	1
335	в мир	1	1
336	в это	1	1
337	ли не	1	1
338	в основном	1	1
339	в начале	2	1
340	нисколько не	1	1
341	к другим	1	1
342	миру в	1	1
343	тем более	2	1
344	о котором	1	1
345	с двух	1	1
346	же в	4	1
347	и критика	1	1
348	всеми его	1	1
349	все еще	1	1
350	различных формах	1	1
351	отношением к	1	1
352	они как	1	1
353	по одному	1	1
354	мысли но	1	1
355	ли они	1	1
356	а я	5	1
