N	4gram	Bakhtin_Pr_1	Hudozhes
1	в то же время	3	6
2	в коем случае не	2	2
3	и в то же	2	2
4	ни в коем случае	2	2
5	мы имеем дело с	1	1
6	эстетической деятельности созерцания направленной	1	1
7	чего бы то ни	1	1
8	содержание эстетической деятельности созерцания	1	1
9	по отношению к которому	1	1
10	по отношению к нему	1	1
11	не что иное как	1	1
12	иметь в виду что	1	1
13	бы то ни было	2	1
14	созерцания направленной на произведение	1	1
15	позицию по отношению к	3	1
16	автор-творец конститутивный момент художественной	1	1
17	осуществляет себя только в	1	1
18	деятельности созерцания направленной на	1	1
19	вполне осуществляет себя только	1	1
20	конститутивный момент художественной формы	2	1
21	себя только в искусстве	1	1
22	бы они ни были	1	1
23	эстетическое вполне осуществляет себя	1	1
24	ни к чему не	1	1
25	есть не что иное	1	1
