N	2gram	Voloshinov_1	Vvedenie
1	и т	1	42
2	т д	1	36
3	и в	15	32
4	в том	4	31
5	в этом	13	30
6	может быть	13	26
7	том что	5	26
8	не только	5	22
9	для того	1	21
10	того чтобы	2	20
11	таким образом	21	19
12	также и	1	18
13	то что	10	16
14	потому что	4	15
15	так как	9	15
16	не может	13	14
17	в нем	4	13
18	в самом	6	13
19	со стороны	2	13
20	о том	1	13
21	как на	3	12
22	того что	2	12
23	и не	16	12
24	только в	6	12
25	в его	9	12
26	в общем	1	12
27	в ее	4	11
28	как мы	10	11
29	ясно что	1	11
30	что такое	3	11
31	в данном	3	11
32	что в	6	10
33	по себе	2	9
34	между тем	2	9
35	в истории	3	9
36	то же	7	9
37	но в	9	9
38	этого рода	1	9
39	и как	1	9
40	не менее	3	8
41	науки о	1	8
42	не в	4	8
43	а только	1	8
44	тем не	2	8
45	именно в	3	8
46	с другой	1	8
47	это не	2	8
48	но не	5	7
49	все же	5	7
50	вопрос о	1	7
51	прежде всего	11	7
52	точки зрения	13	7
53	только как	1	7
54	самом деле	7	7
55	было бы	6	7
56	уже и	1	7
57	же время	5	6
58	вовсе не	2	6
59	сих пор	3	6
60	до сих	3	6
61	его в	8	6
62	но и	4	6
63	и даже	2	6
64	как и	6	6
65	и его	15	6
66	в качестве	2	6
67	в то	6	6
68	смысле слова	2	6
69	хотя бы	7	6
70	как он	1	6
71	один из	4	6
72	тем что	1	6
73	не могут	3	6
74	все это	5	6
75	и это	1	6
76	из этих	4	6
77	этот вопрос	1	6
78	одним из	3	5
79	данном случае	3	5
80	и тем	1	5
81	на этот	1	5
82	в какой	1	5
83	а не	2	5
84	об этом	4	5
85	но если	2	5
86	а как	1	5
87	в целом	2	5
88	на почве	2	5
89	сказать что	6	5
90	вместе с	4	5
91	в течение	2	5
92	с их	3	5
93	по своему	1	5
94	могут быть	6	5
95	есть и	2	5
96	в г	3	5
97	уже в	1	5
98	как бы	11	5
99	в себе	4	4
100	сравнению с	1	4
101	еще не	7	4
102	во всяком	4	4
103	связи между	1	4
104	от этого	1	4
105	в разных	1	4
106	и для	2	4
107	отношению к	9	4
108	и ее	3	4
109	крайней мере	1	4
110	по крайней	1	4
111	как раз	2	4
112	науки в	1	4
113	независимо от	1	4
114	как это	1	4
115	по сравнению	1	4
116	в своей	9	4
117	а в	6	4
118	одно из	3	4
119	этот процесс	4	4
120	что он	8	4
121	это только	2	4
122	этом случае	1	4
123	по отношению	11	4
124	на вопрос	1	4
125	связана с	1	4
126	в первом	2	4
127	всяком случае	3	4
128	уже не	5	4
129	к делу	1	4
130	мы имеем	1	4
131	особого рода	1	4
132	в особенности	1	4
133	одной стороны	1	4
134	в котором	1	4
135	с одной	1	4
136	этом отношении	2	4
137	и что	3	4
138	той же	2	4
139	истории и	1	4
140	относящихся к	1	4
141	и то	2	4
142	должен был	1	4
143	об искусстве	1	4
144	все эти	9	3
145	материал для	2	3
146	и вот	6	3
147	в свое	1	3
148	в собственном	2	3
149	можно сказать	4	3
150	говорит о	1	3
151	так же	1	3
152	при этом	7	3
153	связи с	1	3
154	относящиеся к	1	3
155	гораздо более	1	3
156	к нему	7	3
157	свое время	1	3
158	и вообще	1	3
159	если бы	3	3
160	что это	3	3
161	и есть	2	3
162	в одном	3	3
163	а потому	2	3
164	в изучении	1	3
165	ответ на	2	3
166	совсем не	5	3
167	но все	2	3
168	в начале	1	3
169	что же	4	3
170	одной из	1	3
171	в области	3	3
172	что может	3	3
173	отношение к	7	3
174	на этой	2	3
175	собственном смысле	1	3
176	к тому	4	3
177	мы видели	5	3
178	хотя и	1	3
179	во второй	5	3
180	и к	7	3
181	тогда когда	1	3
182	в центре	3	3
183	за собой	1	3
184	в чем	4	3
185	дело в	2	3
186	этой науки	2	3
187	так называемых	1	3
188	на основании	2	3
189	этой области	3	3
190	в конечном	1	3
191	в этой	5	3
192	бы и	2	3
193	в этих	2	3
194	что и	2	3
195	и на	3	3
196	однако не	1	3
197	до конца	5	3
198	на этом	5	3
199	не как	1	3
200	в различных	2	3
201	при помощи	1	3
202	наука о	2	3
203	должен быть	2	3
204	однако в	1	3
205	в работе	1	3
206	а также	1	3
207	в каком	3	3
208	то это	1	3
209	чем в	1	3
210	или как	3	3
211	в ней	5	3
212	из наиболее	3	3
213	к этому	7	3
214	что она	2	3
215	и уже	1	3
216	заключается в	1	3
217	что с	1	3
