N	3gram	Losev_Vlad_1	Poddanst
1	в то же	4	7
2	то же время	4	7
3	не только в	2	4
4	в том что	7	4
5	в сравнении с	1	3
6	с одной стороны	1	3
7	и в то	2	2
8	в значительной мере	1	2
9	в тот же	1	2
10	заключается в том	1	2
11	том что в	3	1
12	в том виде	1	1
13	более или менее	3	1
14	в настоящее время	1	1
15	в этом смысле	4	1
16	что мы и	1	1
17	из этой области	1	1
18	очень и очень	1	1
19	и в этом	1	1
20	и не может	1	1
21	мы не будем	1	1
22	в россии и	1	1
23	за то что	1	1
24	тех пор пока	1	1
25	и в годы	1	1
26	бы она ни	1	1
27	вместе с тем	1	1
28	и то что	4	1
29	и в частности	2	1
30	на пути в	1	1
31	для тех кто	1	1
32	в этом не	1	1
33	если бы мы	1	1
34	с и и	1	1
35	но в общем	1	1
36	во всяком случае	2	1
37	с другой стороны	3	1
38	не может быть	3	1
39	до тех пор	1	1
40	и теперь в	1	1
41	и тем самым	1	1
42	в последние годы	1	1
43	но в то	1	1
44	то что его	1	1
45	мы знаем что	2	1
46	вопрос об отношении	1	1
47	тем более что	2	1
48	можно судить по	2	1
49	что уже в	1	1
50	для того чтобы	2	1
51	тех кто не	1	1
52	и т д	2	1
