N	4gram	Losev_Prob_1	Psycholo
1	сводится к тому что	1	2
2	в то время как	1	2
3	заключается в том что	1	2
4	то же самое и	1	2
5	и в самом деле	1	2
6	т д все это	1	1
7	дело в том что	3	1
8	то что мы выше	1	1
9	все дело в том	1	1
10	и с точки зрения	1	1
11	для того чтобы мы	1	1
12	ничего общего с тем	2	1
13	свой смысл и свое	1	1
14	что мы выше назвали	1	1
15	взятые сами по себе	2	1
16	не что иное как	2	1
17	и т д все	1	1
18	точно так же и	2	1
19	между тем и другим	1	1
20	но все дело в	1	1
21	взятый сам по себе	1	1
22	о том что это	1	1
23	же самое и в	1	1
24	мы указали только на	1	1
25	мы никогда не можем	1	1
26	вовсе не для того	1	1
27	от одной точки к	1	1
28	так же как и	1	1
29	и даже больше того	1	1
30	и что в нем	2	1
31	и уже одно это	1	1
32	ни в каком случае	3	1
33	одной точки к другой	1	1
