N	2gram	Ircho_Kome_1	Retstnzi
1	не может	2	4
2	и в	22	3
3	один из	5	2
4	если в	1	2
5	и можно	2	1
6	в особенности	1	1
7	себе все	1	1
8	лучше всего	1	1
9	и не	8	1
10	тому что	1	1
11	не только	10	1
12	и тому	1	1
13	бы на	1	1
14	точки зрения	4	1
15	во второй	3	1
16	так называемая	1	1
17	но и	11	1
18	и заставляет	1	1
19	не менее	3	1
20	тех же	2	1
21	именно с	1	1
22	по своим	1	1
23	в ней	1	1
24	может и	1	1
25	в то	10	1
26	и на	3	1
27	первая часть	1	1
28	при сравнении	1	1
29	и больше	1	1
30	к тому	6	1
31	его от	1	1
32	вторая половина	1	1
33	может быть	9	1
34	вполне понятно	1	1
35	несмотря на	4	1
36	в его	5	1
37	он в	1	1
38	же время	4	1
39	то же	6	1
40	и все	3	1
41	из этих	1	1
42	в каждом	1	1
43	бы в	1	1
