N	2gram	Vinokur_St_2	Vvedenie
1	и т	9	42
2	т д	6	36
3	т е	10	35
4	и в	29	32
5	в том	27	31
6	в этом	21	30
7	том что	27	26
8	может быть	2	26
9	не только	19	22
10	для того	7	21
11	того чтобы	6	20
12	таким образом	10	19
13	также и	2	18
14	то что	11	16
15	потому что	9	15
16	так как	2	15
17	не может	2	14
18	но также	4	14
19	в самом	7	13
20	в нем	4	13
21	о том	17	13
22	со стороны	2	13
23	в их	3	12
24	в общем	3	12
25	представляет собой	1	12
26	в его	13	12
27	того что	5	12
28	только в	2	12
29	xix в	1	12
30	и не	9	12
31	как на	9	12
32	как мы	1	11
33	в ее	2	11
34	и именно	3	11
35	в данном	2	11
36	что такое	2	11
37	что в	19	10
38	то же	2	9
39	в истории	2	9
40	и как	2	9
41	но в	8	9
42	по себе	3	9
43	между тем	5	9
44	в той	5	9
45	этом смысле	1	9
46	этого рода	1	9
47	не в	4	8
48	тем не	2	8
49	не менее	3	8
50	с другой	4	8
51	именно в	4	8
52	самом деле	3	7
53	вопрос о	6	7
54	но не	3	7
55	все же	6	7
56	к выводу	1	7
57	было бы	5	7
58	точки зрения	5	7
59	можно было	1	7
60	выводу что	1	7
61	прежде всего	5	7
62	смысле слова	1	6
63	и это	2	6
64	что история	1	6
65	из этих	1	6
66	как он	2	6
67	том чтобы	1	6
68	его в	2	6
69	с тем	7	6
70	как и	2	6
71	к истории	2	6
72	вовсе не	6	6
73	в то	2	6
74	в качестве	5	6
75	же время	1	6
76	тем что	3	6
77	не могут	1	6
78	не трудно	1	6
79	один из	1	6
80	этот вопрос	2	6
81	и его	6	6
82	в руки	1	6
83	и даже	3	6
84	до сих	6	6
85	но и	19	6
86	сих пор	5	6
87	все это	11	6
88	работы над	4	6
89	хотя бы	3	6
90	одним из	6	5
91	мере в	2	5
92	а как	4	5
93	с их	1	5
94	так например	7	5
95	об этом	6	5
96	на почве	2	5
97	и тем	1	5
98	данном случае	1	5
99	в них	2	5
100	но если	1	5
101	по языку	1	5
102	сказать что	2	5
103	как например	2	5
104	так что	3	5
105	видеть что	1	5
106	уже в	1	5
107	т п	3	5
108	представляют собой	1	5
109	на этот	2	5
110	а не	5	5
111	по своему	2	5
112	в течение	6	5
113	как бы	5	5
114	той мере	2	5
115	в г	7	5
116	другой стороны	3	5
117	в какой	2	5
118	вместе с	7	5
119	и то	1	4
120	как это	2	4
121	в чисто	2	4
122	в первом	1	4
123	той же	1	4
124	в и	13	4
125	смотреть на	1	4
126	по отношению	1	4
127	не просто	1	4
128	независимо от	1	4
129	от истории	1	4
130	так или	1	4
131	в себе	2	4
132	истории и	2	4
133	должен был	4	4
134	в своей	7	4
135	в котором	7	4
136	по сравнению	1	4
137	не имеет	2	4
138	нельзя не	3	4
139	только с	2	4
140	в каждом	1	4
141	здесь нет	1	4
142	на вопрос	3	4
143	времени и	4	4
144	внимание на	4	4
145	и что	6	4
146	как она	1	4
147	еще не	1	4
148	что он	13	4
149	речь в	1	4
150	одно из	1	4
151	всяком случае	3	4
152	как раз	8	4
153	этом отношении	9	4
154	в особенности	2	4
155	или иначе	1	4
156	еще и	3	4
157	е в	1	4
158	о чем	5	4
159	сравнению с	1	4
160	с этой	2	4
161	этом случае	1	4
162	и для	1	4
163	только что	2	4
164	а в	1	4
165	отношению к	1	4
166	во всяком	3	4
167	не признать	1	3
