N	3gram	Savitsky_E_1	Dialekti
1	и т д	1	15
2	с точки зрения	16	9
3	в том что	6	9
4	это значит что	1	7
5	не может быть	2	6
6	то же время	14	6
7	в то же	15	6
8	есть то что	1	5
9	для того чтобы	5	5
10	в этом смысле	3	4
11	само по себе	4	4
12	и тем более	1	4
13	только тогда когда	1	4
14	не говоря уже	2	3
15	говоря уже о	1	3
16	то или иное	1	3
17	и в этом	4	3
18	на то что	2	3
19	т е не	1	2
20	но если так	1	2
21	если так то	1	2
22	и в то	8	2
23	хотя бы и	3	2
24	с этой точки	5	2
25	то и другое	1	2
26	ту или иную	3	2
27	но в то	2	2
28	этой точки зрения	5	2
29	по сравнению с	2	2
30	вовсе не в	1	2
31	в свою очередь	2	2
32	та или иная	1	2
33	и в частности	2	2
34	что оно не	1	2
35	в каком же	1	1
36	в себе поэтому	1	1
37	не может не	1	1
38	что в этом	1	1
39	в силу этого	1	1
40	другой стороны в	1	1
41	сказать что в	2	1
42	прежде всего в	2	1
43	дело в том	1	1
44	в себе не	1	1
45	не является ли	3	1
46	же как и	3	1
47	и не только	1	1
48	в лучшем случае	1	1
49	и то и	1	1
50	рассматривать с точки	1	1
51	в отличие от	1	1
52	так как мы	1	1
53	и та же	1	1
54	можно сказать что	3	1
55	и чем больше	1	1
56	е прежде всего	1	1
57	с тем что	1	1
58	ее в себе	1	1
59	рано или поздно	2	1
60	и не в	1	1
61	в том случае	1	1
62	из всего этого	1	1
63	говорить не о	1	1
64	может быть установлена	1	1
65	принимая во внимание	1	1
66	не нужно думать	1	1
67	нужно думать что	1	1
68	во внимание что	1	1
69	отношении к мировому	2	1
70	в данном случае	2	1
71	не только в	4	1
72	качестве одного из	1	1
73	в качестве одного	1	1
74	в связи с	1	1
75	мы отнюдь не	1	1
76	по общему правилу	2	1
77	как одно из	1	1
78	не входя в	1	1
79	по себе не	2	1
80	указать на то	1	1
81	это должно быть	1	1
82	т е прежде	1	1
83	не имеет значения	1	1
84	связи с этим	1	1
85	одна и та	1	1
86	мы можем сказать	2	1
87	не имеет никаких	1	1
88	хотя бы в	2	1
89	как бы ни	3	1
90	и прежде всего	3	1
91	здесь говорить о	1	1
92	речь идет о	1	1
93	не более как	1	1
94	с другой стороны	2	1
95	друг от друга	2	1
96	совершенно очевидно что	1	1
97	в каком смысле	1	1
98	и не имеет	2	1
99	тех или иных	1	1
100	в отношении к	12	1
101	но также и	1	1
102	а именно в	1	1
103	из того что	2	1
104	можем сказать что	1	1
105	поскольку речь идет	1	1
106	том случае если	1	1
107	той или иной	4	1
