N	2gram	Medvedev_U_1	VrazhdaK
1	не только	10	9
2	в этом	7	8
3	и в	14	8
4	и что	1	8
5	достоевского и	1	7
6	но и	4	7
7	и все	1	7
8	то что	7	7
9	что в	1	7
10	все же	3	6
11	но в	3	6
12	в нем	1	6
13	как и	3	6
14	в котором	1	6
15	и с	2	6
16	о нем	1	6
17	и даже	1	6
18	то же	5	5
19	об этом	1	5
20	в то	3	5
21	же время	3	5
22	между тем	2	5
23	у него	1	5
24	не было	1	5
25	в россии	4	5
26	и не	8	5
27	в ней	1	4
28	что он	2	4
29	это не	3	4
30	все это	5	4
31	в виду	1	4
32	о том	1	4
33	может быть	6	4
34	одним из	2	3
35	он был	1	3
36	с его	2	3
37	в своем	1	3
38	в этот	1	3
39	на то	1	3
40	он не	1	3
41	далеко не	1	3
42	том что	2	3
43	но он	1	3
44	по нашему	3	3
45	в его	2	3
46	в том	2	3
47	и у	2	3
48	в конце	2	3
49	тем что	2	3
50	к этому	1	3
51	же как	1	2
52	и то	3	2
53	отнюдь не	1	2
54	в известном	1	2
55	в той	1	2
56	его на	1	2
57	в этой	4	2
58	в себе	2	2
59	о которой	1	2
60	их в	1	2
61	таким образом	2	2
62	на первый	2	2
63	в своей	3	2
64	никогда не	1	2
65	и это	1	2
66	же не	2	2
67	тем более	1	2
68	по мнению	1	2
69	уже не	1	2
70	его и	2	2
71	для него	3	2
72	как раз	2	2
73	о чем	2	2
74	не может	7	2
75	но это	2	2
76	же в	1	2
77	в период	1	2
78	это в	1	2
79	а между	2	1
80	вряд ли	3	1
81	человека и	1	1
82	свое место	1	1
83	в их	4	1
84	по его	1	1
85	той же	1	1
86	развитие в	1	1
87	именно к	1	1
88	равно как	1	1
89	один пример	1	1
90	первый план	1	1
91	содержания в	1	1
92	но не	2	1
93	в сторону	2	1
94	не все	2	1
95	и т.д	3	1
96	ничуть не	1	1
97	к сожалению	3	1
98	первый взгляд	1	1
99	независимо от	1	1
100	для всех	2	1
101	как нам	1	1
102	в самом	2	1
103	мы получаем	2	1
104	что же	1	1
105	еще один	1	1
106	как литературные	1	1
107	всех этих	2	1
108	этот процесс	1	1
109	их и	2	1
110	говорить не	1	1
111	это было	2	1
112	было бы	3	1
113	в итоге	2	1
114	из первых	1	1
115	этого не	1	1
116	он и	1	1
117	доказывает что	1	1
118	по крайней	2	1
119	что этот	1	1
120	так он	1	1
121	в процессе	1	1
122	ничего не	2	1
123	того как	1	1
124	это то	1	1
125	вне его	1	1
126	этом отношении	2	1
127	могут быть	2	1
128	этого и	1	1
129	не есть	2	1
130	правда не	1	1
131	только при	1	1
132	идет не	1	1
133	художником и	1	1
134	так и	1	1
135	именно этот	1	1
136	на большую	1	1
137	до сих	2	1
138	единства и	1	1
139	нас в	2	1
140	крайней мере	2	1
141	все в	1	1
142	этом смысле	2	1
143	что только	1	1
144	известном письме	1	1
145	он уже	1	1
146	это же	1	1
147	в качестве	1	1
148	и явно	1	1
149	а это	1	1
150	что для	1	1
151	гораздо больше	1	1
152	с другой	4	1
153	возвращается в	1	1
154	прежде всего	8	1
155	нашему мнению	3	1
156	до конца	1	1
157	для начала	1	1
158	себя на	1	1
159	в частности	3	1
160	материал и	1	1
161	или по	1	1
162	из которых	1	1
163	без труда	1	1
164	того что	1	1
165	он ставит	1	1
166	в свое	1	1
167	еще раз	1	1
168	сих пор	2	1
169	но для	1	1
170	такое понимание	1	1
171	о котором	1	1
172	бы в	1	1
173	конце концов	2	1
174	а о	2	1
175	только как	1	1
176	другой стороны	3	1
177	как на	1	1
178	в таком	1	1
179	все что	1	1
