N	4gram	Medvedev_F_1	TeoriaLi
1	в то же время	8	6
2	того или иного жанра	1	2
3	в их отношении к	1	1
4	бы то ни было	1	1
5	с этой точки зрения	1	1
6	но в то же	2	1
7	в этом смысле можно	1	1
8	соединении с художественной идеологемой	1	1
9	химическом соединении с художественной	2	1
10	этом смысле можно говорить	1	1
11	в том числе и	1	1
12	теоретической и исторической поэтики	1	1
13	и в то же	1	1
14	произведения искусства в его	1	1
15	и глубже чем это	1	1
16	в химическом соединении с	2	1
17	смысле можно говорить о	1	1
