N	2gram	Losev_Vlad_3	Narrotol
1	не только	25	32
2	может быть	8	25
3	но и	18	23
4	в качестве	3	21
5	и не	25	20
6	то есть	24	19
7	и в	40	19
8	в том	18	18
9	в этом	16	17
10	не в	3	14
11	в частности	1	14
12	том что	18	14
13	а не	8	12
14	то что	28	11
15	а в	7	11
16	точки зрения	13	10
17	не может	14	10
18	при этом	3	9
19	в мире	2	9
20	так и	6	9
21	в его	14	9
22	со стороны	2	9
23	в себе	9	8
24	с другой	5	8
25	не является	2	8
26	еще не	4	7
27	как в	1	7
28	все же	4	7
29	как и	7	7
30	к тому	7	7
31	а также	8	7
32	с одной	3	7
33	одной стороны	3	7
34	такого рода	4	7
35	с его	2	6
36	но не	4	6
37	точка зрения	1	6
38	то в	6	6
39	тем самым	2	6
40	в себя	1	6
41	о том	11	6
42	что он	5	6
43	именно в	3	6
44	как это	4	6
45	том числе	1	6
46	но в	4	6
47	не все	3	5
48	отличие от	3	5
49	отнюдь не	5	5
50	и как	7	5
51	уже не	9	5
52	в этой	8	5
53	тому же	5	5
54	далеко не	3	5
55	в отличие	3	5
56	по себе	6	5
57	в основе	1	5
58	и его	10	5
59	к нему	3	5
60	нуждается в	1	5
61	или иной	1	5
62	в данном	5	5
63	можно сказать	1	5
64	речь идет	1	4
65	данном случае	2	4
66	все те	1	4
67	то же	4	4
68	из которых	1	4
69	здесь не	3	4
70	перед нами	3	4
71	в нем	3	4
72	в силу	2	4
73	но все	3	4
74	же не	2	4
75	и с	9	4
76	было бы	4	4
77	и тем	3	4
78	не мог	6	4
79	точку зрения	1	4
80	пока еще	1	4
81	связи с	2	4
82	той или	2	4
83	не столько	3	4
84	те же	1	4
85	одного из	1	4
86	основе своей	1	4
87	же время	2	4
88	вслед за	1	4
89	только в	13	4
90	хотя бы	6	4
91	при всей	1	4
92	у него	24	4
93	прежде всего	10	4
94	если не	6	4
95	в церкви	2	4
96	как бы	3	4
97	да и	6	4
98	отличается от	3	4
99	же в	3	4
100	одной из	2	4
101	сказать что	12	4
102	другой стороны	2	4
103	это и	1	3
104	же как	3	3
105	в сущности	2	3
106	и он	1	3
107	в ней	5	3
108	и на	6	3
109	может не	1	3
110	бы то	3	3
111	в ее	1	3
112	значении этого	1	3
113	если в	1	3
114	что они	1	3
115	как говорит	2	3
116	хотя и	7	3
117	когда он	1	3
118	что это	9	3
119	уже в	3	3
120	из этих	3	3
121	не есть	10	3
122	он не	8	3
123	то ни	3	3
124	не будет	6	3
125	особенно в	1	3
126	ни в	10	3
127	обратимся к	1	3
128	себя внимание	2	3
129	тем не	10	3
130	не менее	9	3
131	в то	7	3
132	тем что	5	3
133	одна из	1	3
134	на него	2	3
135	никогда не	11	3
136	на себя	2	3
137	по своей	2	3
138	обращает на	2	3
139	этом отношении	2	3
140	как мы	8	3
141	с ее	1	3
142	сводится к	3	3
143	и самого	1	3
144	не с	4	3
145	мог бы	4	3
146	о ней	1	3
147	а именно	12	3
148	один из	1	3
149	но о	3	3
150	из них	2	3
151	не о	2	3
152	за границу	2	3
153	и даже	6	3
154	даже не	3	3
155	или иначе	2	3
156	в свою	1	3
157	а с	4	3
158	истории в	2	3
159	как будто	1	3
160	не существует	2	3
161	что в	17	3
162	будто бы	1	3
163	ни было	1	3
164	а во	1	3
165	жизни и	1	3
166	как известно	1	2
167	отношения к	5	2
168	например в	1	2
169	таком случае	2	2
170	и потому	10	2
171	самом деле	1	2
172	здесь и	2	2
173	должна быть	2	2
174	который в	2	2
175	мы имеем	3	2
176	в будущем	1	2
177	он сам	2	2
178	иное как	1	2
179	в юности	2	2
180	но как	2	2
181	не то	1	2
182	нет и	1	2
183	независимо от	3	2
184	в своем	8	2
185	что касается	2	2
186	что по	1	2
187	не являются	1	2
188	более или	5	2
189	он идет	1	2
190	так или	2	2
191	все эти	5	2
192	бы не	1	2
193	всей своей	2	2
194	в известном	1	2
195	роль в	2	2
196	та же	1	2
197	себя и	1	2
198	не как	2	2
199	за рамки	1	2
200	постольку поскольку	1	2
201	подход к	1	2
202	различие между	1	2
203	все их	1	2
204	его в	2	2
205	это не	3	2
206	истории и	1	2
207	несмотря на	7	2
208	жизни но	1	2
209	на первый	2	2
210	или менее	5	2
211	и сейчас	2	2
212	с точки	6	2
213	даже в	4	2
214	она не	2	2
215	некоторого рода	5	2
216	что иное	1	2
217	не могло	1	2
218	не имеет	4	2
219	ничего не	5	2
220	при всем	2	2
221	как раз	10	2
222	и после	1	2
223	что на	2	2
224	личности в	1	2
225	когда мы	1	2
226	то они	1	2
227	оно не	3	2
228	утверждать что	1	2
229	можно было	5	2
230	другом и	1	2
231	было в	1	2
232	во второй	1	2
233	о своей	1	2
234	все та	1	2
235	во всей	1	2
236	и только	3	2
237	в литературе	1	2
238	известном смысле	1	2
239	он уже	2	2
240	для него	8	2
241	и никакой	1	2
242	представляют собой	1	2
243	в последние	1	2
244	к которому	1	2
245	и др	1	2
246	говорит о	4	2
247	не было	5	2
248	не на	2	2
249	его по	1	2
250	о чем	1	2
251	из многочисленных	1	2
252	не всегда	1	2
253	на чем	1	2
254	а если	2	2
255	наряду с	2	2
256	даже вовсе	1	2
257	по существу	4	2
258	исходя из	1	2
259	только о	3	2
260	что мы	2	2
261	и для	3	2
262	в связи	3	2
263	в результате	4	2
264	мира и	1	2
265	которая в	2	2
266	и все	4	2
267	тогда в	1	2
268	все то	3	2
269	к самому	1	2
270	нами не	1	2
271	это все	1	2
272	между ними	1	2
273	которая здесь	1	2
274	совершенно не	2	2
275	жизни а	2	2
276	не что	1	2
277	этого слова	1	2
278	себе не	1	2
279	в какой	2	2
280	включает в	1	2
281	так же	8	2
282	в таком	3	2
283	точно так	4	2
284	этой точки	1	2
285	они не	1	2
286	с природой	1	1
287	также и	17	1
288	такой общей	1	1
289	того же	2	1
290	на самом	3	1
291	думал о	1	1
292	и есть	1	1
293	не признает	1	1
294	она все	1	1
295	и больше	1	1
296	едва ли	11	1
297	с таким	2	1
298	в году	10	1
299	по его	2	1
300	есть не	2	1
301	бытия является	1	1
302	говоря и	1	1
303	он как	1	1
304	есть нечто	1	1
305	но она	1	1
306	больше всего	1	1
307	которое не	1	1
308	мы и	2	1
309	в целом	2	1
310	не сразу	1	1
311	которое в	3	1
312	как не	2	1
313	без опоры	1	1
314	сам по	2	1
315	к своему	2	1
316	себе а	1	1
317	а еще	1	1
318	нам представляется	2	1
319	в чем	3	1
320	во всех	1	1
321	там и	1	1
322	не довлеет	1	1
323	по своему	1	1
324	без которого	1	1
325	и главное	1	1
326	иметь в	2	1
327	это бывает	1	1
328	совсем не	5	1
329	могло быть	2	1
330	мы будем	2	1
331	легко может	2	1
332	только потому	1	1
333	свою жизнь	1	1
334	с совершенно	1	1
335	при решении	1	1
336	зрения это	1	1
337	может считаться	1	1
338	в настоящем	2	1
339	определяется не	1	1
340	один и	1	1
341	это одно	1	1
342	с чисто	1	1
343	и где	1	1
344	кто не	1	1
345	сознания в	1	1
346	и наконец	2	1
347	это вообще	1	1
348	и к	2	1
349	в действительности	1	1
350	это определение	1	1
351	как таковое	1	1
352	от этого	2	1
353	не такое	1	1
354	в самом	4	1
355	проблем в	1	1
356	тоже не	5	1
357	мира но	1	1
358	из его	1	1
359	но на	2	1
360	так сказать	1	1
361	наш взгляд	1	1
362	он ни	2	1
363	человек не	1	1
364	всем своем	1	1
365	в первую	1	1
366	есть переход	1	1
367	или скорее	1	1
368	первые три	1	1
369	содержит в	5	1
370	на земле	1	1
371	в плане	1	1
372	какой бы	1	1
373	его от	1	1
374	что ни	1	1
375	на наш	1	1
376	может существовать	1	1
377	и по	2	1
378	от других	1	1
379	таким образом	11	1
380	и за	2	1
381	забвение в	1	1
382	этом последнем	1	1
383	для характеристики	1	1
384	в другом	2	1
385	с позиций	1	1
386	об этом	6	1
387	мы уже	5	1
388	была в	1	1
389	входя в	1	1
390	первую очередь	1	1
391	ко второму	2	1
392	этом смысле	3	1
393	с начала	1	1
394	должен был	2	1
395	оно стремится	1	1
396	однако здесь	3	1
397	но уже	2	1
398	в них	1	1
399	существа или	1	1
400	все равно	1	1
401	восприятие и	1	1
402	как об	1	1
403	и определяет	1	1
404	мы видели	3	1
405	оно имеет	1	1
406	с такой	2	1
407	мы не	2	1
408	в один	1	1
409	в западной	1	1
410	что если	4	1
411	она сама	1	1
412	и третий	1	1
413	в котором	4	1
414	в их	2	1
415	к одному	1	1
416	место в	1	1
417	все и	2	1
418	на свою	1	1
419	в которых	1	1
420	признать что	1	1
421	для изучения	1	1
422	есть его	1	1
423	не понимает	2	1
424	образом и	1	1
425	но он	1	1
426	в россии	3	1
427	и более	2	1
428	их в	1	1
429	в конце	12	1
430	том же	1	1
431	что этот	3	1
432	времени а	1	1
433	и то	9	1
434	не простая	1	1
435	любви и	1	1
436	есть тоже	1	1
437	непосредственное восприятие	1	1
438	возможны но	1	1
439	отметить что	1	1
440	и такого	2	1
441	но еще	2	1
442	есть прежде	2	1
443	дело в	5	1
444	но ясно	1	1
445	как таковых	1	1
446	в процессе	1	1
447	бытия и	2	1
448	он еще	1	1
449	как то	1	1
450	это еще	1	1
451	для всего	1	1
452	это то	1	1
453	оно есть	6	1
454	лишь в	1	1
455	и является	1	1
456	потому что	11	1
457	к этим	1	1
458	свидетельствуют о	1	1
459	в книге	2	1
460	отталкивается от	1	1
461	ли это	1	1
462	ему не	1	1
463	может показаться	2	1
464	от того	4	1
465	у нас	5	1
466	настоящего времени	1	1
467	бытия как	1	1
468	и оно	1	1
469	очень часто	1	1
470	в специальном	1	1
471	начиная с	1	1
472	не могут	2	1
473	однако для	1	1
474	же самое	3	1
475	но также	1	1
476	силу которого	1	1
477	несомненно есть	1	1
478	для себя	5	1
479	году в	3	1
480	опоры на	1	1
481	что все	7	1
482	в виду	3	1
483	к категории	1	1
484	здесь также	1	1
485	и от	6	1
486	распадается на	1	1
487	только то	2	1
488	важен для	1	1
489	личный опыт	1	1
490	слова а	1	1
491	например о	1	1
492	и сам	1	1
493	к его	2	1
494	когда в	1	1
495	является в	2	1
496	строго говоря	1	1
497	если бы	3	1
498	и вообще	3	1
499	существует сам	1	1
500	никогда и	2	1
501	и здесь	6	1
502	тех кто	3	1
503	возможна только	2	1
504	в самой	1	1
505	внимание на	1	1
506	что каждый	2	1
507	на что	1	1
508	там же	7	1
509	и во	1	1
510	если например	1	1
511	и всю	2	1
512	что и	7	1
513	в глазах	1	1
514	тотчас же	1	1
515	но собственно	1	1
516	резко отличается	1	1
517	еще только	1	1
518	если это	1	1
519	может иметь	1	1
520	другого для	2	1
521	вполне адекватно	1	1
522	того что	7	1
523	довлеет себе	1	1
524	ни слова	1	1
525	он прошел	2	1
526	с появлением	1	1
527	всю свою	1	1
528	известного рода	1	1
529	а тут	1	1
530	не происходит	1	1
531	это же	2	1
532	мира который	1	1
533	и у	3	1
