N	2gram	Propp_Isto_4	Retstnzi
1	не может	6	4
2	и в	26	3
3	в центре	1	2
4	один из	1	2
5	если в	1	2
6	в особенности	2	1
7	и не	9	1
8	можно и	1	1
9	тому что	1	1
10	не только	15	1
11	связи с	3	1
12	бы на	1	1
13	точки зрения	1	1
14	во второй	1	1
15	но и	12	1
16	и заставляет	1	1
17	не менее	2	1
18	тех же	2	1
19	не из	1	1
20	именно с	1	1
21	по своим	1	1
22	в ней	1	1
23	в то	1	1
24	и на	2	1
25	и социальной	1	1
26	мы видим	6	1
27	в языке	2	1
28	на нее	1	1
29	к тому	1	1
30	речь и	1	1
31	а не	6	1
32	его от	2	1
33	может быть	14	1
34	при анализе	1	1
35	в его	5	1
36	он в	4	1
37	то же	8	1
38	и все	2	1
39	из этих	3	1
40	если бы	2	1
41	исходя из	1	1
42	бы в	1	1
