N	2gram	Potebnia_M_3	Vladivir
1	и в	30	31
2	не только	21	24
3	а к	3	22
4	но и	19	19
5	то что	18	18
6	и не	15	17
7	и даже	2	15
8	у него	2	15
9	в этом	10	14
10	том что	18	14
11	и с	2	14
12	он был	1	14
13	что в	17	14
14	там же	6	13
15	но в	1	12
16	в его	4	12
17	что он	6	12
18	по поводу	4	12
19	с его	1	11
20	же с	6	11
21	о том	2	11
22	в том	32	11
23	между прочим	1	11
24	потому что	46	11
25	и то	8	10
26	он не	4	10
27	так что	7	10
28	как мы	7	9
29	только в	21	9
30	а в	12	9
31	и по	4	8
32	в то	10	8
33	в л	1	8
34	так как	13	8
35	тут же	2	7
36	мы уже	2	7
37	и его	4	7
38	для него	9	7
39	об этом	2	7
40	уже в	5	7
41	еще и	1	7
42	сказать что	5	7
43	того же	1	6
44	то же	23	6
45	не без	1	6
46	то он	2	6
47	свое время	1	6
48	это было	3	6
49	в котором	4	6
50	так и	11	6
51	и что	10	6
52	его жизни	2	6
53	можно сказать	3	6
54	может быть	28	6
55	на этот	1	6
56	и потому	4	6
57	не может	6	6
58	к этому	3	6
59	но как	2	5
60	когда он	1	5
61	это был	1	5
62	на то	2	5
63	и если	2	5
64	которой он	1	5
65	не в	15	5
66	что и	13	5
67	вовсе не	7	5
68	но он	1	5
69	не было	4	5
70	а с	2	5
71	что же	2	5
72	все это	4	5
73	видно что	1	5
74	и от	4	5
75	с ним	6	5
76	в свое	2	5
77	жизни и	2	5
78	из его	1	4
79	он уже	1	4
80	совсем не	1	4
81	в этой	2	4
82	в истории	1	4
83	в своем	5	4
84	хотя и	1	4
85	и как	5	4
86	в которой	3	4
87	в себе	16	4
88	как он	1	4
89	в нем	9	4
90	главным образом	1	4
91	что у	1	4
92	как и	10	4
93	несмотря на	2	4
94	ни с	1	4
95	в своей	2	4
96	мысли и	2	4
97	и вообще	3	4
98	в нас	2	4
99	же время	5	4
100	к ней	5	4
101	во всем	1	4
102	да и	1	4
103	никак не	3	4
104	к нему	3	4
105	один из	4	4
106	себя в	1	4
107	и теперь	6	4
108	для меня	4	4
109	что для	4	4
110	и все	3	4
111	для нас	20	4
112	увидим ниже	1	3
113	с в	2	3
114	он как	2	3
115	но она	1	3
116	и он	1	3
117	и на	3	3
118	но не	7	3
119	отношение к	2	3
120	за пределы	2	3
121	что они	2	3
122	как в	10	3
123	все же	2	3
124	более или	3	3
125	со своей	2	3
126	в целом	3	3
127	все эти	1	3
128	что к	1	3
129	но на	1	3
130	едва ли	1	3
131	и вот	1	3
132	на его	2	3
133	здесь мы	1	3
134	то есть	34	3
135	из своего	1	3
136	или менее	3	3
137	во время	2	3
138	что касается	1	3
139	на свою	2	3
140	но это	6	3
141	что этот	1	3
142	раз и	1	3
143	и притом	2	3
144	на него	3	3
145	но только	2	3
146	ничего не	1	3
147	таким образом	14	3
148	к тому	7	3
149	в жизни	1	3
150	здесь не	1	3
151	жизнь и	1	3
152	и здесь	1	3
153	тот же	1	3
154	уже не	6	3
155	только на	3	3
156	в виде	2	3
157	но что	2	3
158	с другой	7	3
159	по своим	1	3
160	под влиянием	1	3
161	если не	4	3
162	вместе с	12	3
163	к своему	2	3
164	по своему	2	3
165	в начале	3	3
166	это можно	3	3
167	собственно говоря	2	3
168	другой стороны	4	3
169	но этот	2	3
170	и т	5	2
171	одним из	1	2
172	тех же	1	2
173	этого последнего	2	2
174	к своей	1	2
175	это и	2	2
176	и до	2	2
177	по его	1	2
178	той же	2	2
179	нет возможности	1	2
180	на первом	1	2
181	который был	1	2
182	ему в	2	2
183	еще не	5	2
184	мы читаем	1	2
185	он сам	1	2
186	знаем что	1	2
187	в чем	3	2
188	ответ на	3	2
189	нужно прибавить	2	2
190	нет и	1	2
191	один и	1	2
192	и я	1	2
193	его на	1	2
