N	3gram	Savitsky_E_1	VerxiiNi
1	с одной стороны	8	7
2	с точки зрения	16	6
3	во всяком случае	3	6
4	более или менее	1	5
5	в том числе	1	5
6	друг с другом	3	5
7	для того чтобы	5	5
8	том числе и	1	4
9	к тому же	1	4
10	с течением времени	2	3
11	так же как	5	3
12	в связи с	1	3
13	в том что	6	3
14	в этом отношении	3	2
15	и для того	1	2
16	заключает в себе	3	2
17	в значительной мере	1	2
18	с этой точки	5	2
19	то или иное	1	2
20	может быть и	1	2
21	как бы то	1	2
22	то ни было	4	2
23	по сравнению с	2	2
24	бы то ни	4	2
25	то же время	14	2
26	этой точки зрения	5	2
27	но и для	1	2
28	той или иной	4	2
29	можно сказать что	3	2
30	на то что	2	2
31	в то же	15	2
32	и в этом	4	2
33	процессе исторической эволюции	1	1
34	и того же	1	1
35	которые по своему	1	1
36	не может не	1	1
37	являются не только	1	1
38	что в этом	1	1
39	русской жизни и	1	1
40	в силу этого	1	1
41	сказать что в	2	1
42	чуть ли не	1	1
43	но если в	1	1
44	одного и того	1	1
45	в соответствии с	1	1
46	в эту эпоху	1	1
47	и в то	8	1
48	и далее в	1	1
49	поскольку они являются	1	1
50	в смысле завершения	1	1
51	с тем что	1	1
52	что мы знаем	1	1
53	несмотря на его	1	1
54	в этот период	1	1
55	что в области	1	1
56	что в течение	1	1
57	весьма вероятно что	1	1
58	между тем с	1	1
59	по своему характеру	2	1
60	в данном случае	2	1
61	тем с точки	1	1
62	но в то	2	1
63	на этот раз	1	1
64	нельзя сказать чтобы	1	1
65	смысле этого слова	1	1
66	в отличие от	1	1
67	что начиная с	1	1
68	что в таком	1	1
69	хотя бы с	1	1
70	в процессе исторической	1	1
71	друг к другу	1	1
72	до настоящего времени	1	1
73	с другой стороны	2	1
74	речь идет о	1	1
75	мы видели что	1	1
76	есть ли это	1	1
77	один и тот	1	1
78	не может быть	2	1
79	в то время	1	1
80	на одну доску	1	1
81	так и в	2	1
82	более низкую чем	1	1
83	в свою очередь	2	1
84	в одном из	2	1
85	в отношении их	1	1
86	народов земного шара	2	1
87	и связанного с	1	1
88	не более как	1	1
89	поворот к востоку	1	1
90	в себе не	1	1
91	только тогда когда	1	1
92	и только в	2	1
93	в этом процессе	1	1
94	именно потому что	1	1
95	и тот же	1	1
