N	2gram	Tiupa_Narr_2	BTomashe
1	у нас	2	3
2	и не	14	2
3	все это	1	2
4	в ней	2	2
5	видеть в	1	2
6	можно было	2	2
7	более что	1	1
8	за пределы	1	1
9	тем более	2	1
10	говорить о	2	1
11	будто бы	1	1
12	об этом	4	1
13	и в	13	1
14	не вполне	2	1
15	и о	1	1
16	в речи	1	1
17	к ней	3	1
18	следовало бы	1	1
19	что все	1	1
20	с другой	5	1
21	в своей	4	1
22	на самом	2	1
23	как будто	1	1
24	не следует	3	1
25	и нет	1	1
26	было бы	2	1
27	все же	6	1
28	всяком случае	1	1
29	свести к	1	1
30	никак не	3	1
31	такое определение	1	1
32	между ними	1	1
33	словесного творчества	1	1
34	еще не	2	1
35	одной из	1	1
36	должна быть	2	1
37	прежде всего	6	1
38	для которой	1	1
39	учителя словесности	1	1
40	в данном	10	1
41	и во	1	1
42	так и	9	1
43	о них	2	1
44	его не	1	1
45	как часть	1	1
46	о художественном	1	1
47	далеко не	5	1
48	не о	1	1
49	не со	1	1
50	а не	17	1
51	что в	4	1
52	в области	2	1
53	не все	2	1
54	отнюдь не	4	1
55	таким образом	5	1
56	вопрос о	1	1
57	и более	2	1
58	и потому	1	1
59	не только	26	1
60	иначе не	1	1
61	во всяком	1	1
