N	2gram	Losev_Vesc_1	Psycholo
1	в том	8	37
2	и в	21	32
3	и что	15	22
4	том что	8	21
5	потому что	16	21
6	таким образом	8	21
7	то что	27	21
8	что в	9	20
9	может быть	16	18
10	так же	1	18
11	точки зрения	5	17
12	что и	3	17
13	не может	17	17
14	самом деле	4	16
15	что она	15	16
16	того чтобы	3	14
17	то же	6	13
18	в этом	4	13
19	при этом	1	13
20	для того	2	13
21	что он	1	13
22	в самом	9	12
23	заключается в	1	12
24	не только	36	12
25	по себе	13	12
26	с и	1	12
27	если мы	8	12
28	так как	7	12
29	на то	4	11
30	было бы	14	11
31	с тем	5	11
32	в основе	3	11
33	и т	19	10
34	когда он	1	10
35	с точки	3	10
36	при помощи	2	10
37	но и	18	10
38	же точно	2	10
39	как и	8	10
40	и не	29	10
41	никогда не	2	9
42	искусства и	1	9
43	тем что	2	9
44	что все	2	9
45	в своих	1	9
46	с таким	1	8
47	той же	2	8
48	что это	13	8
49	не в	5	8
50	не менее	3	8
51	того что	8	8
52	в сущности	4	7
53	совершенно ясно	2	7
54	что они	6	7
55	и как	8	7
56	говорит что	1	7
57	все эти	3	7
58	ясно что	8	7
59	и его	2	7
60	как будто	1	7
61	к тому	3	7
62	можно было	2	7
63	только в	14	7
64	мы знаем	1	7
65	а не	19	7
66	сказать что	17	7
67	что если	1	6
68	в этой	3	6
69	если бы	5	6
70	формы и	1	6
71	о том	6	6
72	все время	1	6
73	и мы	1	6
74	тот же	3	6
75	как бы	12	6
76	же самое	1	6
77	на самом	1	5
78	только на	3	5
79	что у	5	5
80	далеко не	1	5
81	все это	5	5
82	в то	3	5
83	есть только	7	5
84	в ней	12	5
85	и даже	6	5
86	до сих	1	5
87	отнюдь не	5	5
88	сих пор	1	5
89	как раз	9	5
90	этом отношении	1	5
91	ту же	2	4
92	же как	1	4
93	сам по	3	4
94	едва ли	1	4
95	есть не	14	4
96	мы имеем	7	4
97	в чем	6	4
98	из которого	1	4
99	с этим	3	4
100	все же	4	4
101	в действительности	7	4
102	в нем	2	4
103	к одному	3	4
