N	3gram	Tiupa_Anal_3	Problemy
1	к себе самому	1	13
2	то же время	3	10
3	в то же	3	10
4	на самом деле	1	9
5	с самим собою	1	7
6	по отношению к	7	6
7	о себе самом	1	5
8	в той или	1	4
9	во всяком случае	2	4
10	и прежде всего	2	4
11	той или иной	3	4
12	а между тем	1	3
13	в этом смысле	1	3
14	в эту минуту	1	3
15	с другой стороны	5	3
16	не может быть	1	3
17	к тому же	3	3
18	в слове о	2	2
19	с точки зрения	2	2
20	сам по себе	1	2
21	в отличие от	2	2
22	даже в пределах	1	2
23	оно стремится к	1	2
24	все это было	1	2
25	в его внутреннюю	1	2
26	так и в	1	2
27	и в слове	1	2
28	подобно тому как	2	2
29	в большинстве случаев	1	2
30	в сущности не	1	2
31	в том что	7	2
32	именно потому что	1	2
33	если бы он	1	1
34	самим собою в	1	1
35	к миру но	1	1
36	в одном слове	1	1
37	то есть не	1	1
38	дело в том	2	1
39	вмещает в себя	1	1
40	в самом деле	1	1
41	и в особенности	1	1
42	том что он	2	1
43	может и не	1	1
44	так и не	5	1
45	в этом случае	1	1
46	до сих пор	1	1
47	о своей любви	1	1
48	что он ничего	1	1
49	что он не	1	1
50	своей любви к	1	1
51	мы оставляем в	1	1
52	но вы как	1	1
53	с ними в	1	1
54	со всех сторон	1	1
55	по крайней мере	4	1
56	как если бы	1	1
57	из уст в	1	1
58	в значительной степени	2	1
59	для него самого	1	1
60	в данном случае	3	1
61	возвращает нас к	1	1
62	но и внутренне	1	1
63	всех без исключения	3	1
64	и как бы	1	1
65	всяком случае не	1	1
66	но как бы	1	1
67	и ведет себя	1	1
68	на жизнь и	1	1
69	уст в уста	1	1
70	никогда не является	1	1
71	в свое время	2	1
72	не могла не	1	1
73	по ту сторону	1	1
74	как бы не	1	1
75	в слове рассказчика	1	1
76	как и в	4	1
77	в свою очередь	4	1
78	и того же	3	1
79	о том что	5	1
80	не только не	3	1
81	как нам кажется	2	1
82	можно сказать что	2	1
83	как бы ни	1	1
84	одного и того	3	1
85	друг от друга	1	1
86	вопрос о том	1	1
87	тем не менее	2	1
88	оставляем в стороне	1	1
89	как бы в	1	1
90	в его глазах	1	1
91	сама по себе	2	1
92	то что они	1	1
93	для того чтобы	1	1
94	лицом к лицу	1	1
95	он не видит	1	1
96	что и в	1	1
97	в глубине души	1	1
98	в этом отношении	3	1
