N	2gram	Medvedev_F_1	Myslijsy
1	потому что	1	46
2	в слове	1	32
3	в том	6	32
4	и в	24	30
5	может быть	14	28
6	то же	10	23
7	не только	7	21
8	только в	2	21
9	для нас	1	20
10	но и	7	19
11	внутренней формы	1	19
12	того что	5	18
13	том что	1	18
14	то что	8	18
15	не есть	2	17
16	что в	4	17
17	в себе	3	16
18	по себе	5	16
19	внутренняя форма	1	15
20	и не	20	15
21	не в	8	15
22	в сознании	1	15
23	а не	10	15
24	таким образом	13	14
25	что и	2	13
26	так как	1	13
27	если бы	4	12
28	вместе с	2	12
29	а в	6	12
30	так и	18	11
31	что оно	1	11
32	этого слова	3	11
33	как в	8	10
34	в этом	15	10
35	в душе	2	10
36	как и	11	10
37	в то	9	10
38	и что	2	10
39	мы не	3	9
40	из этих	1	9
41	в нем	14	9
42	было бы	6	9
43	между тем	2	9
44	для него	3	9
45	в ней	10	8
46	в самом	5	8
47	от того	2	8
48	что не	1	8
49	только что	1	8
50	с одной	4	7
51	но не	3	7
52	с тем	2	7
53	и без	1	7
54	тем самым	3	7
55	как мы	5	7
56	так что	1	7
57	слова в	1	7
58	в языке	1	7
59	вовсе не	10	7
60	с другой	5	7
61	смысле этого	3	7
62	к тому	3	7
63	например в	1	6
64	же что	1	6
65	с этим	2	6
66	художественное произведение	6	6
67	с ним	2	6
68	не имеет	1	6
69	что он	3	6
70	уже не	2	6
71	из них	1	6
72	зависит от	1	6
73	не может	16	6
74	образ и	1	6
75	имеет значение	1	6
76	но это	3	6
77	художественного произведения	23	5
78	и т	12	5
79	еще не	6	5
80	по отношению	4	5
81	независимо от	4	5
82	в своем	11	5
83	и как	3	5
84	думать что	3	5
85	не следует	1	5
86	к одному	1	5
87	с другими	4	5
88	и тем	1	5
89	в них	3	5
90	что содержание	2	5
91	же время	8	5
92	к ней	2	5
93	как на	4	5
94	не могут	1	5
95	не менее	11	5
96	есть только	1	5
97	отношению к	4	5
98	должно быть	11	5
99	сказать что	1	5
100	только как	2	5
101	в действительности	2	5
102	или же	3	4
103	в каждой	1	4
104	не было	3	4
105	он не	3	4
106	перестает быть	3	4
107	но вместе	1	4
108	и по	1	4
109	мы видели	2	4
110	себе не	1	4
111	в котором	1	4
112	и его	10	4
113	по поводу	1	4
114	оно не	4	4
115	и это	2	4
