N	3gram	Voloshinov_1	VeschiIm
1	не может быть	3	18
2	бы то ни	1	9
3	то ни было	1	9
4	не что иное	1	8
5	что иное как	1	8
6	в том что	1	6
7	по крайней мере	3	6
8	может быть только	1	6
9	с точки зрения	6	4
10	подобно тому как	1	3
11	можно было бы	1	3
12	в самом деле	2	3
13	вместе с тем	1	3
14	можно сказать что	3	2
15	уже не может	1	2
16	что это именно	1	2
17	нечто третье что	1	2
18	этой точки зрения	1	2
19	в нем нет	2	2
20	дело в том	1	2
21	но даже и	1	2
22	в данном случае	1	2
23	и таким образом	1	2
24	с этой точки	1	2
25	хотя в данном	1	1
26	о том что	2	1
27	мы не можем	1	1
28	это и есть	1	1
29	может быть речи	1	1
30	в этом смысле	3	1
31	так же как	2	1
32	только одна из	1	1
33	друг с другом	1	1
34	с одной стороны	1	1
35	прежде всего к	1	1
36	ее не только	1	1
37	что я в	1	1
38	на вопрос о	1	1
39	и пр это	1	1
40	свой смысл и	1	1
41	до сих пор	3	1
42	на первый план	1	1
43	и в этом	2	1
44	мы еще не	1	1
45	как это было	1	1
46	и прежде всего	1	1
47	и того же	1	1
48	не есть ведь	1	1
49	и может быть	2	1
50	в том смысле	1	1
51	на все лады	1	1
52	одного и того	1	1
53	в применении к	1	1
54	может быть совершенно	1	1
55	есть прежде всего	1	1
56	то что можно	1	1
57	и представить ее	1	1
58	один из моментов	1	1
59	прежде всего на	1	1
60	она может быть	1	1
61	и говорить о	1	1
62	для того чтобы	1	1
63	то что я	1	1
64	для него только	1	1
65	таким образом и	1	1
66	во всяком случае	3	1
67	и что он	1	1
68	и пр и	3	1
69	себя с другими	1	1
70	каких бы то	1	1
