N	2gram	Tiupa_Disk_2	EvropaiE
1	и в	16	37
2	в пределах	4	25
3	точки зрения	4	23
4	что в	5	21
5	не только	10	18
6	с точки	2	17
7	в то	5	16
8	то же	6	15
9	в своем	5	14
10	но в	11	14
11	же время	5	14
12	в качестве	16	14
13	но и	11	14
14	и не	15	14
15	в этом	16	12
16	в области	2	11
17	в том	8	11
18	так и	9	10
19	отнюдь не	6	9
20	в себе	19	9
21	только в	3	9
22	прежде всего	7	9
23	не может	9	9
24	в ее	1	8
25	в своей	6	8
26	к тому	1	8
27	между тем	2	8
28	с одной	4	8
29	одной стороны	4	8
30	также и	3	7
31	а также	8	7
32	того что	1	7
33	с другой	5	7
34	как и	16	7
35	по своему	1	7
36	может быть	16	6
37	и на	5	6
38	во всех	1	6
39	стороны и	2	6
40	то есть	12	6
41	том что	10	6
42	вовсе не	1	6
43	и даже	1	6
44	как бы	4	6
45	с этой	1	6
46	то что	5	6
47	же как	2	5
48	столь же	3	5
49	но не	7	5
50	не в	3	5
51	но если	1	5
52	тем самым	6	5
53	одной из	1	5
54	со стороны	10	5
55	в частности	12	5
56	в той	2	5
57	то в	1	4
58	мы не	1	4
59	вопрос о	1	4
60	в полной	1	4
61	но даже	1	4
62	в некотором	1	4
63	в ней	2	4
64	в самом	1	4
65	то ни	1	4
66	того или	1	4
67	несмотря на	1	4
68	даже в	1	4
69	в процессе	1	4
70	иными словами	1	4
71	к ней	1	4
72	той или	3	4
73	бы то	1	4
74	можно сказать	3	4
75	именно в	2	4
76	на всем	1	4
77	ни было	1	4
78	или иной	3	4
79	не на	2	4
80	мира в	3	4
81	как это	1	4
82	сказать что	1	4
83	или иного	2	4
84	в применении	1	3
85	идет о	2	3
86	и со	1	3
87	того же	2	3
88	время в	2	3
89	как в	8	3
90	когда он	1	3
91	себе не	1	3
92	представляет собой	11	3
93	но на	1	3
94	по общему	1	3
95	не дает	1	3
96	большинстве случаев	1	3
97	в них	3	3
98	во второй	1	3
99	в которых	1	3
100	дело в	2	3
101	никогда не	2	3
102	потому что	4	3
103	заключает в	2	3
104	о том	4	3
105	как было	1	3
106	от них	1	3
107	место в	2	3
108	что и	2	3
109	и только	1	3
110	существования в	1	3
111	всяком случае	1	3
112	из них	3	3
113	тем что	1	3
114	этом отношении	4	3
115	и прежде	2	3
116	там где	1	3
117	в данном	7	3
118	применении к	1	3
119	к настоящему	1	3
120	в культуре	1	3
121	не является	4	3
122	известной степени	1	3
123	и для	2	3
124	и от	1	3
