N	3gram	Bakhtin_Pr_2	Otkroven
1	у него в	1	5
2	все герои достоевского	1	4
3	из подполья и	1	3
4	в романах достоевского	2	3
5	в этом мире	1	2
6	у него не	1	2
7	и в самой	2	2
8	не может быть	4	2
9	как и все	4	2
10	в этом он	1	2
11	достоевский прежде всего	1	2
12	но и в	1	2
13	своем художественном творчестве	1	2
14	в своем художественном	1	2
15	он прежде всего	1	2
16	смысле этого слова	1	1
17	униженным и оскорбленным	1	1
18	хотя и не	2	1
19	им для своих	1	1
20	он сам и	1	1
21	а вовсе не	1	1
22	прежде всего в	1	1
23	друг к другу	2	1
24	почему же не	2	1
25	в самом деле	4	1
26	знает может быть	1	1
27	нет объективного изображения	1	1
28	как бы в	4	1
29	и в том	1	1
30	он не только	1	1
31	о том как	1	1
32	и человеческих отношений	1	1
33	между этими двумя	1	1
34	у достоевского он	1	1
35	человека он не	1	1
36	у достоевского нет	1	1
37	и не может	4	1
38	во всяком случае	1	1
39	сам по себе	5	1
40	для своих целей	2	1
41	само по себе	1	1
42	после того как	1	1
43	о том что	1	1
44	себе что он	1	1
45	и к нему	1	1
46	ивана карамазова в	1	1
47	он говорит в	1	1
48	в том что	1	1
49	самим собой в	1	1
50	на то что	2	1
51	и не в	1	1
52	он никогда не	1	1
53	в каждом из	1	1
54	друг с другом	4	1
55	не приходит в	1	1
56	вместо того чтобы	1	1
57	и все что	1	1
58	творчестве он прежде	1	1
59	как и в	3	1
60	всех произведений достоевского	1	1
61	в публицистических статьях	1	1
62	но к этому	1	1
