N	2gram	Bakhtin_KF_1	Myslijsy
1	потому что	2	52
2	то есть	1	42
3	и в	24	39
4	может быть	45	27
5	в том	6	26
6	только в	16	25
7	не может	27	22
8	что в	4	22
9	не только	5	21
10	так как	1	21
11	а не	17	21
12	в нем	28	20
13	но и	9	20
14	и не	26	18
15	что язык	1	16
16	том что	4	16
17	в этом	14	15
18	не в	12	15
19	если бы	8	14
20	по отношению	26	13
21	в себе	21	13
22	так и	2	13
23	отношению к	22	13
24	было бы	8	12
25	в душе	1	11
26	есть только	1	11
27	мы не	3	10
28	как в	2	10
29	по себе	2	10
30	то что	7	10
31	что не	3	10
32	в человеке	1	10
33	не есть	20	10
34	но в	5	9
35	как и	5	9
36	мысли в	1	9
37	тогда когда	3	9
38	могут быть	3	9
39	для нас	4	9
40	мысли и	1	9
41	тем что	3	9
42	но не	12	8
43	точки зрения	12	8
44	в одном	4	8
45	того что	3	8
46	со стороны	7	8
47	вместе с	1	8
48	в ней	3	7
49	в истории	1	7
50	же с	1	7
51	с этим	1	7
52	это не	10	7
53	в этих	1	7
54	на язык	3	7
55	должны быть	1	7
56	должно быть	6	7
57	то же	5	6
58	независимо от	3	6
59	все же	5	6
60	и как	2	6
61	бы не	3	6
62	при этом	4	6
63	и по	1	6
64	не менее	3	6
65	тем не	2	6
66	в каком	4	6
67	что и	7	6
68	еще не	4	6
69	как бы	9	6
70	в первом	1	5
71	во всех	11	5
72	только тогда	1	5
73	не имеют	1	5
74	не следует	1	5
75	с тем	2	5
76	несмотря на	1	5
77	не имеет	5	5
78	и его	17	5
79	деятельности и	2	5
80	между тем	4	5
81	во втором	1	5
82	в его	40	5
83	вовсе не	7	5
84	друг друга	1	5
85	зависит от	1	5
86	и потому	2	5
87	быть только	8	5
88	но это	6	5
89	и для	9	5
90	из себя	8	5
91	а в	4	5
92	вопрос о	2	4
93	бы ни	1	4
94	а только	1	4
95	субъекта и	1	4
96	все остальные	1	4
97	в каждом	3	4
98	этом смысле	3	4
99	том смысле	1	4
100	тем самым	4	4
101	бы быть	5	4
102	в то	3	4
103	не по	4	4
104	никогда не	5	4
105	же время	2	4
106	во всем	7	4
107	к тому	1	4
108	смысле в	2	4
109	свою очередь	1	4
110	остается только	1	4
111	каждый раз	1	4
112	в стороне	1	4
113	и других	2	4
114	для него	8	4
115	само по	1	4
116	не было	8	4
117	и даже	1	4
118	в действительности	1	4
119	прежде всего	2	4
120	притом не	1	4
121	там где	5	4
122	что мы	1	4
123	самого себя	1	4
124	быть не	2	4
125	слова и	1	4
126	в смысле	6	4
127	при таком	1	4
128	от него	3	4
129	от того	3	4
130	не более	1	4
131	мы видим	1	4
132	в свою	3	4
133	в своих	3	4
134	того же	1	3
135	противном случае	1	3
136	должна быть	4	3
137	и то	2	3
138	столь же	1	3
139	тем как	3	3
140	относится к	1	3
141	в своем	16	3
142	помнить что	1	3
143	в противном	1	3
144	хотя и	1	3
145	в самом	1	3
146	что это	3	3
147	думать что	2	3
148	он не	6	3
149	отношений между	1	3
150	не из	2	3
151	то ни	2	3
152	что все	1	3
153	в мире	6	3
154	той же	1	3
155	и с	1	3
156	и тем	3	3
157	в жизни	2	3
158	в этой	2	3
159	не мог	1	3
160	в своей	10	3
161	с точки	9	3
162	бытия и	10	3
163	тому что	2	3
164	слова мы	1	3
165	она не	1	3
166	для того	3	3
167	не могло	1	3
168	находятся в	1	3
169	этих последних	1	3
170	в сознании	2	3
171	оно не	2	3
172	для себя	5	3
173	и это	12	3
174	но при	1	3
175	с ним	5	3
176	и во	1	3
177	есть что	1	3
178	но как	5	3
179	если мы	1	3
180	только на	1	3
181	одно из	1	3
182	и их	6	3
183	никто не	1	3
184	могло бы	4	3
185	были бы	2	3
186	с другим	1	3
187	но оно	1	3
188	есть общее	1	3
189	из самого	2	3
190	только для	1	3
191	и от	1	3
192	она может	1	3
193	и все	7	3
194	мы должны	1	3
195	по поводу	1	3
196	во всяком	1	3
197	чтобы не	2	2
198	связи между	1	2
199	и есть	9	2
200	тем же	1	2
201	видеть в	1	2
202	их и	1	2
203	а как	2	2
204	его только	1	2
205	в некотором	3	2
206	есть для	1	2
207	себя а	4	2
208	бы то	2	2
209	мы будем	1	2
210	что именно	1	2
211	выйти из	1	2
212	сознания в	2	2
213	мысль в	1	2
214	его к	2	2
215	в которой	1	2
216	в целом	10	2
217	образом и	1	2
218	ни одна	2	2
219	бы только	1	2
220	предметов и	1	2
221	на то	1	2
222	теории и	3	2
223	мы можем	1	2
224	он должен	1	2
225	оно должно	1	2
226	различия в	1	2
227	в понятии	1	2
228	из него	3	2
229	но все	5	2
230	значительной степени	1	2
231	могла бы	4	2
232	на все	1	2
233	то все	1	2
234	он есть	1	2
235	именно что	1	2
236	мог бы	1	2
237	но уже	1	2
238	чем в	1	2
239	в один	1	2
240	и того	2	2
241	одного и	1	2
242	в понятия	1	2
243	может казаться	1	2
244	в их	8	2
245	слова в	2	2
246	но он	1	2
247	над всеми	1	2
248	том же	1	2
249	это будет	1	2
250	если и	1	2
251	эта мысль	1	2
252	дело в	2	2
253	того чтобы	2	2
254	только не	1	2
255	вытекает из	2	2
256	следовательно и	1	2
257	к ней	1	2
258	не потому	2	2
259	в движении	1	2
260	в живой	1	2
261	когда мы	1	2
262	его с	2	2
263	имеет место	1	2
264	ничего общего	2	2
265	не будет	2	2
266	с ее	2	2
267	только при	1	2
268	мысль о	1	2
269	уже с	1	2
270	и может	3	2
271	его самого	1	2
272	времени и	4	2
273	для этого	2	2
274	в виду	3	2
