N	2gram	Trubetskoy_1	Hudozhes
1	в мире	4	23
2	в качестве	3	19
3	то есть	1	18
4	состоит в	2	16
5	и не	19	16
6	не только	9	15
7	и в	14	15
8	в том	17	15
9	тогда как	2	13
10	может быть	9	13
11	в частности	2	13
12	при этом	5	12
13	а в	5	12
14	но не	4	11
15	в этом	17	11
16	в себе	9	11
17	то же	11	10
18	по отношению	2	10
19	как бы	4	10
20	так и	1	10
21	а не	2	10
22	отношению к	1	10
23	но и	10	10
24	точки зрения	11	9
25	в его	4	9
26	сводится к	3	8
27	себя в	4	8
28	но в	2	7
29	в принципе	1	7
30	в то	10	7
31	или иной	5	7
32	с другой	1	7
33	том что	9	6
34	не в	4	6
35	в основе	1	6
36	же время	10	6
37	по своей	1	6
38	в ее	1	6
39	приводит к	4	6
40	в состав	1	6
41	не может	22	6
42	что в	4	6
43	в их	4	5
44	более или	4	5
45	в самом	3	5
46	то что	13	5
47	ни в	2	5
48	тем самым	2	5
49	могут быть	1	5
50	той или	3	5
51	с ее	1	5
52	можно сказать	1	5
53	того что	3	5
54	только в	5	5
55	уже не	2	5
56	или менее	4	5
57	в нем	5	5
58	отношения к	2	4
59	и то	4	4
60	место в	2	4
61	говорить о	3	4
62	еще не	3	4
63	а только	1	4
64	и как	3	4
65	он не	5	4
66	в другом	3	4
67	самим собой	12	4
68	и тем	2	4
69	в этих	2	4
70	в своей	5	4
71	не столько	1	4
72	и т.д	4	4
73	входит в	1	4
74	между тем	5	4
75	для него	6	4
76	со стороны	4	4
77	к которому	1	4
78	прежде всего	8	4
79	а на	1	4
80	как это	1	4
81	к тому	7	4
82	по пути	1	4
83	того же	1	3
84	на деле	1	3
85	со своей	1	3
86	и к	6	3
87	или иного	2	3
88	в которой	1	3
89	не следует	1	3
90	он должен	5	3
91	лишь в	3	3
92	его в	4	3
93	это не	1	3
94	в единое	2	3
95	как и	4	3
96	иначе говоря	1	3
97	одного и	1	3
98	с точки	9	3
99	тем не	1	3
100	их в	2	3
101	не менее	1	3
102	однако если	1	3
103	потому что	5	3
104	не будет	7	3
105	мог бы	1	3
106	к его	1	3
107	если бы	6	3
108	и внешней	1	3
109	и что	2	3
110	того или	2	3
111	что он	6	3
112	к нему	2	3
113	и того	1	3
114	человека с	1	3
115	в области	2	3
116	не на	1	3
117	человеческой жизни	1	3
118	была бы	1	3
119	человека к	1	3
120	по своему	1	3
121	в данном	7	3
122	и для	6	3
123	таким образом	11	3
124	личности и	1	3
125	в свою	1	3
126	и состоит	2	3
127	в таком	2	3
128	и это	1	2
129	это и	1	2
130	идет о	1	2
131	противном случае	1	2
132	но она	2	2
133	на свою	1	2
134	и на	5	2
135	но как	1	2
136	сама по	2	2
137	данный момент	1	2
138	общественном сознании	1	2
139	в своем	6	2
140	в противном	1	2
141	в себя	1	2
142	все эти	2	2
143	бы не	1	2
144	в этой	4	2
145	но на	1	2
146	вследствие этого	1	2
147	однако при	1	2
148	в силу	2	2
149	значительной степени	1	2
150	могла бы	1	2
151	единое целое	1	2
152	об этом	1	2
153	по себе	2	2
154	другим и	1	2
155	несмотря на	3	2
156	жизни но	1	2
157	с другими	1	2
158	и некоторые	1	2
159	известной степени	1	2
160	к такой	1	2
161	принципиальное отличие	1	2
162	и более	2	2
163	том и	2	2
164	до известной	1	2
165	вовсе не	1	2
166	даже в	1	2
167	тому что	2	2
168	одна из	3	2
169	личности к	1	2
170	не могло	1	2
171	внутренней и	1	2
172	не является	1	2
173	числе и	1	2
174	для себя	2	2
175	и о	2	2
176	того чтобы	8	2
177	свою очередь	1	2
178	роль в	1	2
179	что может	3	2
180	или в	3	2
181	с самим	2	2
182	в порядке	2	2
183	о том	7	2
184	при котором	3	2
185	в значительной	3	2
186	именно в	3	2
187	может оказаться	1	2
188	ни к	7	2
189	тот или	1	2
190	или даже	1	2
191	и прежде	1	2
192	у него	2	2
193	случае не	1	2
194	для того	6	2
195	чем и	1	2
196	на почве	2	2
197	следует подчеркнуть	1	2
198	а с	2	2
199	себя и	5	2
200	превращается в	1	2
201	в сторону	1	2
202	о себе	1	2
203	так же	2	2
204	и потому	3	2
205	из которых	5	2
206	и по	3	2
207	жизни в	5	2
208	при условии	3	2
209	во всех	5	2
210	речь идет	2	2
211	тем более	1	2
212	с ним	2	2
213	отношении к	2	2
214	одной из	3	2
215	культуры в	3	2
216	из этого	3	2
217	том числе	1	2
218	говоря о	2	1
219	также и	1	1
