N	3gram	Vinokur_St_2	Myshleni
1	в том что	16	31
2	заключается в том	1	14
3	с точки зрения	2	11
4	в этом смысле	1	8
5	с другой стороны	3	8
6	в этом отношении	9	7
7	в самом деле	2	6
8	одно и то	1	6
9	и то же	1	6
10	так же как	3	5
11	не только не	2	5
12	для того чтобы	5	5
13	и тому же	1	4
14	в первую очередь	1	4
15	на то что	2	4
16	одному и тому	1	4
17	в обоих случаях	1	3
18	в этом случае	1	3
19	вместе с тем	5	3
20	с тем что	2	3
21	точно так же	1	3
22	одним и тем	1	3
23	и тем же	1	3
24	по сравнению с	1	3
25	во всяком случае	3	3
26	в связи с	1	3
27	то обстоятельство что	4	3
28	о том что	11	3
29	и те же	1	3
30	речь идет о	3	3
31	одни и те	1	3
32	в качестве средства	1	2
33	в настоящее время	1	2
34	в том числе	1	2
35	в отличие от	2	2
36	в данном случае	1	2
37	в том чтобы	1	2
38	в высшей степени	1	2
39	но вместе с	1	2
40	в свое время	1	2
41	в свою очередь	1	2
42	к выводу что	1	2
43	и в результате	1	2
44	в том смысле	2	2
45	как мы видели	1	2
46	том что в	2	1
47	сомневаться в том	2	1
48	что в этом	1	1
49	формам но и	1	1
50	виде в каком	1	1
51	не говоря уже	1	1
52	на самом деле	1	1
53	внимание на то	1	1
54	то что с	1	1
55	принять во внимание	2	1
56	в зависимости от	1	1
57	в той же	1	1
58	что он не	4	1
59	бы то ни	2	1
60	вместо того чтобы	1	1
61	до сих пор	5	1
62	свидетельствуют о том	2	1
63	говоря уже о	1	1
64	и я не	1	1
65	к тому что	5	1
66	то ни было	2	1
67	имел в виду	1	1
68	который в своем	1	1
69	в конце концов	1	1
70	так и на	1	1
71	мы видели выше	1	1
72	во внимание что	1	1
73	имея в виду	1	1
74	не только к	1	1
75	к тому же	2	1
76	друг к другу	1	1
77	в сущности говоря	1	1
78	не имеет ничего	1	1
79	на вопрос о	1	1
80	мы и сейчас	1	1
81	не имеет никакого	1	1
82	в то время	1	1
83	нельзя было бы	1	1
84	по отношению к	1	1
85	то что в	2	1
86	тем что в	1	1
87	том смысле что	1	1
88	ничего общего с	1	1
89	и что следовательно	1	1
90	с самого начала	3	1
91	вопрос о том	3	1
92	но все же	2	1
93	если принять во	2	1
94	в силе и	1	1
95	после того как	4	1
96	с которыми он	1	1
97	и что он	1	1
98	тем не менее	2	1
99	том что он	5	1
100	или лучше сказать	2	1
101	но и с	2	1
102	а затем уже	1	1
103	в том же	2	1
104	тот факт что	4	1
