N	2gram	Berdyaev_V_1	Psycholo
1	то что	9	37
2	и в	16	30
3	в том	3	27
4	что в	3	24
5	потому что	4	23
6	и что	3	23
7	том что	2	21
8	того чтобы	2	20
9	для того	1	20
10	как бы	5	19
11	что он	4	17
12	и мы	3	16
13	не только	2	16
14	в этом	4	14
15	в самом	1	14
16	так же	1	13
17	то есть	1	13
18	вместе с	1	12
19	что мы	4	11
20	может быть	1	11
21	никогда не	3	9
22	мы увидим	1	9
23	с другой	1	9
24	и то	2	9
25	так как	9	9
26	что это	1	8
27	не в	3	8
28	с тем	2	8
29	а не	7	8
30	к тому	3	8
31	и это	2	8
32	могут быть	2	8
33	того что	5	8
34	тому что	3	8
35	мы видим	1	8
36	все же	1	7
37	в нем	4	7
38	как это	1	7
39	и т	2	7
40	зависимости от	1	7
41	то же	1	7
42	но не	2	7
43	в искусстве	1	6
44	как и	4	6
45	жизни и	3	6
46	и для	3	6
47	но и	5	6
48	и не	20	6
49	тем что	2	6
50	и тем	1	6
51	и если	1	6
52	на этом	1	6
53	говорит что	1	6
54	уже в	1	6
55	что все	4	6
56	что оно	1	6
57	мы все	1	6
58	в своем	1	6
59	бы в	1	5
60	еще не	8	5
61	в двух	1	5
62	что они	7	5
63	по этому	3	5
64	как мы	1	5
65	в целом	1	5
66	один из	2	5
67	и потому	7	5
68	а с	2	5
69	только в	2	5
70	другой стороны	1	5
71	в этой	1	5
72	в своих	1	5
73	но в	3	5
74	и есть	4	5
75	по сравнению	1	4
76	сравнению с	1	4
77	говорит о	1	4
78	прежде всего	2	4
79	есть не	1	4
80	и все	4	4
81	в конце	3	4
82	от него	2	4
83	в своей	3	4
84	а в	2	4
85	и именно	1	4
86	в его	4	4
87	у нас	1	4
88	как она	1	4
89	о чем	1	4
90	то это	3	4
91	не могли	2	4
92	в них	3	4
93	не есть	6	4
94	в результате	1	4
95	в ней	4	4
96	с такой	1	4
97	в виду	1	4
98	могли бы	1	4
99	для нас	2	3
100	вопрос о	1	3
101	т д	2	3
102	вовсе не	1	3
103	хотя бы	3	3
104	и другие	1	3
105	в этих	3	3
106	что на	1	3
107	в их	1	3
108	так и	4	3
109	к этому	1	3
110	для него	2	3
111	мы не	2	3
112	видим что	1	3
113	это только	1	3
114	это не	2	3
115	с которым	1	3
116	тот же	3	3
117	ни в	3	3
118	в состоянии	1	3
119	в ее	1	3
120	это в	1	3
121	одна из	2	3
122	у него	1	3
123	не существует	1	3
124	чем у	1	3
125	что и	3	3
126	в которой	1	3
127	он говорит	1	3
128	не могут	2	3
129	и на	1	3
130	человека в	1	3
131	в трех	1	3
132	и говорит	1	3
133	и уже	1	3
134	как в	1	3
135	можно было	2	3
136	все эти	3	2
137	в словах	1	2
138	но она	1	2
139	в форме	2	2
140	и с	1	2
141	и вот	1	2
142	его на	1	2
143	что их	2	2
144	конце концов	1	2
145	в противоположность	1	2
146	мы станем	1	2
147	его с	1	2
148	на том	2	2
149	есть одна	1	2
150	все равно	2	2
151	должна быть	3	2
152	над ним	1	2
153	все это	5	2
154	в образах	1	2
155	мы хотим	4	2
156	и так	1	2
157	но мы	2	2
158	в сердце	1	2
159	давно уже	2	2
160	во всех	3	2
161	в последних	1	2
162	это значит	1	2
163	в одном	1	2
164	на которых	1	2
165	каким образом	1	2
166	и другое	1	2
167	но все	1	2
168	это очень	1	2
169	в которых	1	2
170	с этой	1	2
171	со словами	1	2
172	в себя	2	2
173	и можно	1	2
174	не с	2	2
175	я переживаю	1	2
176	что есть	5	2
177	есть то	1	2
178	нас и	3	2
179	во всем	1	2
180	находится в	1	2
181	что от	2	2
182	должно быть	3	2
183	ничего не	1	2
184	он был	1	2
185	любви и	1	2
186	себе и	1	2
187	и нам	1	2
188	в котором	4	2
189	того как	1	2
190	от этой	1	2
191	никогда еще	2	2
192	себя и	1	2
193	и эта	1	2
194	с его	3	2
195	и хотя	1	2
196	что тот	1	2
197	когда в	2	2
198	для чего	1	2
199	и до	1	2
200	в глазах	1	2
201	такой силой	1	2
202	является в	2	2
203	их не	1	2
204	только до	1	1
205	и два	1	1
206	любовь к	3	1
207	действии и	1	1
208	мы слышим	2	1
209	своей сущности	1	1
210	и свою	1	1
211	во всяком	2	1
212	если они	1	1
213	это мы	2	1
214	в одно	1	1
215	чего хочет	1	1
216	мы и	2	1
217	но что	1	1
218	что нет	1	1
219	от этого	3	1
220	только мы	1	1
221	жизни с	1	1
222	и пусть	1	1
223	может и	1	1
224	к ее	1	1
225	любви в	1	1
226	словах и	1	1
227	не к	2	1
228	которая в	1	1
229	и ее	1	1
230	сама она	1	1
231	крайней мере	1	1
232	пути и	1	1
233	души и	1	1
234	существует и	1	1
235	конечно это	1	1
236	не было	3	1
237	после того	1	1
238	себя с	1	1
239	отказаться от	1	1
240	из нас	1	1
241	последних словах	1	1
242	в виде	1	1
243	и которые	1	1
244	в жизни	3	1
245	к нему	1	1
246	в сознании	1	1
247	так часто	1	1
248	только это	1	1
249	это еще	4	1
250	и во	2	1
251	и вообще	1	1
252	его и	2	1
253	не так	2	1
254	человечество и	1	1
255	себе оправдание	1	1
256	вслед за	2	1
257	людям и	1	1
258	будто бы	1	1
259	в понимании	1	1
260	если в	1	1
261	какая же	1	1
262	гораздо шире	1	1
263	существует как	1	1
264	не были	1	1
265	ни для	1	1
266	если не	3	1
267	нет никакого	1	1
268	ней и	1	1
269	вместо того	2	1
270	составные части	1	1
271	равно не	1	1
272	или даже	1	1
273	и всех	1	1
274	общественной жизни	1	1
275	карамазова и	1	1
276	все чего	1	1
277	на котором	1	1
278	превращается в	3	1
279	я в	1	1
280	это имеет	1	1
281	претендующего быть	1	1
282	к полному	1	1
283	как не	3	1
284	нас как	1	1
285	мы дадим	1	1
286	о которой	1	1
287	важный для	1	1
288	важное для	1	1
289	нет и	2	1
290	между тем	2	1
291	но как	1	1
292	у них	1	1
293	и теперь	2	1
294	всегда в	1	1
295	бы передать	1	1
296	хотя и	5	1
297	не хотим	1	1
298	на что-нибудь	1	1
299	по смыслу	1	1
300	и очень	1	1
301	вот что	1	1
302	тогда мы	1	1
303	и высшего	1	1
304	на него	1	1
305	он делает	1	1
306	не имеет	3	1
307	отказ от	1	1
308	нам уже	1	1
309	ко всем	1	1
310	смерть но	1	1
311	способ выражения	1	1
312	чтобы сделать	2	1
313	что не	4	1
314	где есть	1	1
315	победы над	1	1
316	но под	1	1
317	заключается что	1	1
318	в заслугу	1	1
319	в чем	3	1
320	мы указывали	1	1
321	и от	1	1
322	есть знак	1	1
323	себя за	1	1
324	с которыми	1	1
325	но к	1	1
326	задача которая	1	1
327	основана на	1	1
328	для нашего	1	1
329	которые не	2	1
330	нем нет	2	1
331	главах мы	1	1
332	же за	1	1
333	небесного и	1	1
334	с пути	2	1
335	и за	2	1
336	уже не	2	1
337	самого ощущения	1	1
338	утверждают что	1	1
339	в известном	1	1
340	и трагический	1	1
341	с тремя	1	1
342	мы в	1	1
343	с ними	1	1
344	между собою	1	1
345	тогда уже	2	1
346	слово это	1	1
347	застывшее в	1	1
348	этого слова	1	1
349	по крайней	1	1
350	царства и	1	1
351	ее на	1	1
352	значение в	1	1
353	который он	1	1
354	сделать их	1	1
355	в руки	1	1
356	в разных	1	1
357	стало возможно	1	1
358	им не	1	1
359	и смерти	1	1
360	есть еще	1	1
361	в процессе	1	1
362	быть может	1	1
363	она не	1	1
364	для раскрытия	1	1
365	мы будем	1	1
366	я был	1	1
367	не просто	1	1
368	их в	3	1
369	этой новой	1	1
370	на земле	7	1
371	что всякий	1	1
372	нет ничего	3	1
373	значит быть	1	1
374	от любви	1	1
375	если за	1	1
376	указать на	1	1
377	еще и	1	1
378	и нет	1	1
379	свое особое	1	1
380	за ним	3	1
381	сознании и	1	1
382	все что	4	1
383	всего в	2	1
384	тогда это	1	1
385	в вопросе	3	1
386	в русском	1	1
387	сделать это	1	1
388	хотели бы	1	1
389	ненависть к	1	1
390	под этим	2	1
391	да и	2	1
392	этих трех	3	1
393	конечно не	2	1
394	его нужно	1	1
395	спасают человечество	1	1
396	отношение к	1	1
397	но это	3	1
398	и могут	1	1
399	чтобы заставить	1	1
400	тот последний	1	1
401	жизни но	1	1
402	жизнь как	1	1
