N	2gram	Bakhtin_KF_1	Morfolog
1	может быть	45	52
2	и пр	3	40
3	не может	27	17
4	в этих	1	16
5	могут быть	3	15
6	этих случаях	1	14
7	с этим	1	14
8	и в	24	13
9	в этом	14	13
10	так как	1	12
11	и др	1	12
12	мы видим	1	11
13	то же	5	9
14	мы имеем	5	9
15	так и	2	9
16	прежде всего	2	9
17	а не	17	9
18	и не	26	9
19	а затем	1	8
20	что и	7	8
21	в результате	1	8
22	вопрос о	2	7
23	имеем в	2	7
24	и этим	3	7
25	трудная задача	1	7
26	в качестве	2	7
27	все же	5	7
28	но не	12	6
29	это не	10	6
30	и здесь	7	6
31	в том	6	6
32	а в	4	6
33	мы не	3	5
34	во всех	11	5
35	то что	7	5
36	не менее	3	5
37	потому что	2	5
38	или в	1	5
39	этот момент	6	5
40	один из	2	5
41	если мы	1	5
42	как бы	9	5
43	также и	1	4
44	показать что	1	4
45	эта функция	1	4
46	как в	2	4
47	хотя и	1	4
48	и как	2	4
49	ни одна	2	4
50	не только	5	4
51	на его	1	4
52	на этом	1	4
53	об этом	1	4
54	его в	5	4
55	было бы	8	4
56	вовсе не	7	4
57	как и	5	4
58	несмотря на	1	4
59	точки зрения	12	4
60	с точки	9	4
61	тем не	2	4
62	ничего не	3	4
63	тем что	3	4
64	могла бы	4	4
65	его самого	1	4
66	по отношению	26	4
67	герой и	1	4
68	и затем	1	4
69	там где	5	4
70	оно может	1	4
71	отношению к	22	4
72	что в	4	4
73	самом деле	3	3
74	на самом	3	3
75	в первом	1	3
76	и для	9	3
77	независимо от	3	3
78	но в	5	3
79	к чему	3	3
80	в целом	10	3
81	в нашем	1	3
82	он должен	1	3
83	и по	1	3
84	но все	5	3
85	а по	2	3
86	входит в	3	3
87	ни в	12	3
88	в один	1	3
89	том что	4	3
90	в то	3	3
91	и отсюда	2	3
92	того чтобы	2	3
93	здесь же	1	3
94	от того	3	3
95	для героя	1	3
96	на нем	2	3
97	должен знать	1	3
98	с собой	1	3
99	если бы	8	3
100	но и	9	3
101	он не	6	3
102	во втором	1	3
103	значит что	1	3
104	к нему	12	3
105	в какой	1	3
106	и ее	2	3
107	а то	1	3
108	друг друга	1	3
109	мы можем	1	3
110	не является	1	3
111	пр и	1	3
112	для этой	3	3
113	этого момента	1	3
114	из которых	2	3
115	но это	6	3
116	это уже	2	3
117	мы должны	1	3
118	только что	1	3
119	же в	1	3
120	требует чтобы	1	3
121	в последнем	1	3
122	первом случае	1	3
123	смысле слова	1	2
124	как это	1	2
125	относятся к	1	2
126	тем же	1	2
127	что эти	1	2
128	не умеем	1	2
129	как таковая	1	2
130	совсем не	2	2
131	а с	2	2
132	и таким	1	2
133	себя за	2	2
134	и к	1	2
135	та же	2	2
136	из его	3	2
137	не значит	6	2
138	и за	2	2
139	в другом	3	2
140	мы уже	1	2
141	где оно	1	2
142	большинстве случаев	1	2
143	это было	2	2
144	и иных	1	2
145	этого не	1	2
146	с тем	2	2
147	для него	8	2
148	настоящее время	1	2
149	при различных	1	2
150	все эти	10	2
151	что эта	2	2
152	не имеет	5	2
153	одна из	1	2
154	знать что	2	2
155	и его	17	2
156	можно взять	1	2
157	в каком	4	2
158	к себе	2	2
159	они даны	1	2
160	для того	3	2
161	оно не	2	2
162	утверждать что	1	2
163	здесь не	3	2
164	можно сделать	1	2
165	не с	1	2
166	ясно что	3	2
167	с этого	2	2
168	но здесь	3	2
169	о том	3	2
170	нашей работы	1	2
171	можно сказать	1	2
172	в различных	1	2
173	может не	2	2
174	ни к	2	2
175	и только	6	2
176	того что	3	2
177	быть и	3	2
178	хотя бы	4	2
179	что он	2	2
180	только в	16	2
181	себя в	8	2
182	можно установить	1	2
183	уже не	7	2
184	в большинстве	1	2
185	или не	1	2
186	в виде	2	2
187	или просто	1	2
188	его и	2	2
189	никто не	1	2
190	момент в	7	2
191	чему не	2	2
192	а эта	3	2
193	себя и	2	2
194	но есть	2	2
195	не знает	5	2
196	что мы	1	2
197	самого себя	1	2
198	но для	2	2
199	стороны ее	1	2
200	не существует	1	2
201	в настоящее	1	2
202	от него	3	2
203	или нет	1	2
204	не от	1	2
205	одной из	1	2
206	а во	1	2
207	но эти	1	2
208	к этому	2	2
209	нужно помнить	1	1
210	функции в	1	1
211	и то	2	1
212	утверждение что	1	1
213	он может	2	1
214	возможны и	1	1
215	противном случае	1	1
216	где я	4	1
217	их и	1	1
218	то для	1	1
219	она в	1	1
220	на первом	2	1
221	но никто	1	1
222	к моему	1	1
223	положения в	3	1
224	он как	1	1
225	имеет смысла	1	1
226	религии в	1	1
227	так чтобы	1	1
228	что это	3	1
229	целом не	2	1
230	вместо того	1	1
231	при разных	1	1
232	ему в	2	1
233	конечно и	1	1
234	в виду	3	1
235	может дать	3	1
236	нему в	4	1
237	тем как	3	1
238	имеем здесь	1	1
239	мы будем	1	1
240	но как	5	1
241	нет не	1	1
242	а он	1	1
243	отношение к	5	1
244	или иное	2	1
245	и выдает	1	1
246	более чем	1	1
247	вследствие чего	1	1
248	его не	1	1
249	данный момент	3	1
250	определить в	2	1
251	что ее	1	1
252	в противном	1	1
253	мысль о	1	1
254	и наконец	1	1
255	но эта	5	1
256	его к	2	1
257	в этот	1	1
258	другом случае	1	1
259	хотя эта	1	1
260	в которой	1	1
261	это утверждение	1	1
262	предметов и	1	1
263	одном случае	1	1
264	не в	12	1
265	думать что	2	1
266	в этой	2	1
267	нами в	1	1
268	и тот	1	1
269	но во	1	1
270	но ведь	5	1
271	на то	1	1
272	его но	1	1
273	зрения его	1	1
274	но прежде	1	1
275	что она	1	1
276	главным образом	1	1
277	время и	5	1
278	всех этих	3	1
279	момента в	1	1
280	прочим и	1	1
281	и этот	3	1
282	лишь с	2	1
283	в каждом	3	1
284	здесь мы	4	1
285	то ни	2	1
286	и может	3	1
287	конечно в	2	1
288	его определение	1	1
289	может возникнуть	1	1
290	а их	1	1
291	на все	1	1
292	то все	1	1
293	все другие	1	1
294	и тем	3	1
295	кажется что	2	1
296	в это	2	1
297	из нее	1	1
298	нет в	4	1
299	чем в	1	1
300	как таковой	1	1
301	нисколько не	4	1
302	и их	6	1
303	как все	1	1
304	лежат в	1	1
305	в их	8	1
306	могло бы	4	1
307	что я	5	1
308	значение для	1	1
309	отсюда для	1	1
310	а есть	1	1
311	при этом	4	1
312	но он	1	1
313	все это	10	1
314	не должно	3	1
315	бы быть	5	1
316	для нее	7	1
317	есть всегда	1	1
318	тому что	2	1
319	и очень	1	1
320	она не	1	1
321	принципов и	1	1
322	быть дано	1	1
