N	3gram	Losev_Vlad_2	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	3	9
4	в том что	9	7
5	во всяком случае	6	6
6	для того чтобы	1	6
7	до сих пор	1	5
8	в последние дни	1	5
9	более или менее	3	4
10	на то что	2	4
11	бы то ни	1	4
12	не может быть	1	4
13	не может не	1	3
14	то ни стало	1	3
15	во что бы	1	3
16	в этом случае	1	3
17	вместе с тем	1	3
18	можно было бы	2	3
19	и то что	5	3
20	что бы то	1	3
21	в данном случае	2	3
22	в конце концов	3	3
23	жизни и деятельности	1	2
24	точно так же	3	2
25	в настоящее время	2	2
26	и в том	1	2
27	и во всяком	1	2
28	о том что	3	2
29	ни к чему	1	2
30	к богу а	1	1
31	для нас важно	1	1
32	что же это	1	1
33	при этом надо	1	1
34	заключается не в	1	1
35	прежде всего на	1	1
36	дело в том	3	1
37	в свою очередь	2	1
38	на том же	1	1
39	так же и	1	1
40	между прочим и	2	1
41	что для этого	1	1
42	в самом деле	1	1
43	но как бы	1	1
44	но даже и	1	1
45	в такой обстановке	1	1
46	в том числе	1	1
47	в том же	2	1
48	все же у	1	1
49	он не может	1	1
50	для россии и	1	1
51	до известной степени	1	1
52	с ним в	1	1
53	только то что	1	1
54	в этом отношении	1	1
55	ко всему этому	2	1
56	от того чтобы	1	1
57	за то что	1	1
58	на этот вопрос	1	1
59	что все это	1	1
60	по крайней мере	4	1
61	и в частности	1	1
62	и в своем	1	1
63	никогда не был	2	1
64	в том чтобы	2	1
65	как и следовало	1	1
66	но в то	1	1
67	к чему не	1	1
68	не был и	1	1
69	если только не	1	1
70	и как бы	1	1
71	к одному из	1	1
72	в связи с	8	1
73	также и то	1	1
74	это конечно не	1	1
75	ничего подобного не	1	1
76	а в том	2	1
77	само собой разумеется	3	1
78	и все же	2	1
79	мы прежде всего	1	1
80	собой разумеется что	2	1
81	последнее время в	1	1
82	человека с богом	1	1
83	заключается в том	2	1
84	содержат в себе	1	1
85	речь шла о	1	1
86	но из этого	2	1
87	так как это	2	1
88	с самого начала	1	1
89	но все же	1	1
90	несмотря на все	2	1
91	том что только	1	1
92	в прежнее время	1	1
93	тем не менее	6	1
94	во многих случаях	1	1
95	и прежде всего	1	1
96	к тому же	1	1
97	себе представить как	1	1
98	которую можно назвать	1	1
99	может остановиться на	1	1
100	и следовало ожидать	1	1
