N	3gram	Bakhtin_KF_1	Komedia
1	в том что	2	5
2	вместе с тем	1	4
3	для того чтобы	1	4
4	по отношению к	22	3
5	то же время	2	3
6	в то же	2	3
7	в этом смысле	3	2
8	бы то ни	2	2
9	то ни было	2	2
10	во всяком случае	1	2
11	независимо от того	1	2
12	к тому что	1	2
13	что и в	1	2
14	ни в один	1	1
15	потому что в	1	1
16	содержания и его	1	1
17	в соответствии с	2	1
18	в том же	1	1
19	с точки зрения	9	1
20	только в том	1	1
21	как это было	1	1
22	и во всех	1	1
23	и в то	1	1
24	и та же	1	1
25	но и здесь	3	1
26	могла бы быть	3	1
27	отступает на задний	1	1
28	в том случае	1	1
29	той или иной	2	1
30	в первом случае	1	1
31	на задний план	1	1
32	всю свою жизнь	1	1
33	само по себе	1	1
34	одна и та	1	1
35	вместо того чтобы	1	1
36	не может быть	11	1
37	к отказу от	1	1
38	не было бы	3	1
39	она могла бы	2	1
40	того или иного	3	1
41	может быть таким	1	1
42	в свою очередь	1	1
43	но в этом	1	1
44	во второй половине	1	1
45	но все эти	3	1
46	в большинстве случаев	1	1
47	тем не менее	2	1
48	признать что в	1	1
49	ясно что это	1	1
50	независимо от его	1	1
