N	2gram	Propp_Morf_1	VelikijI
1	и не	12	20
2	и в	13	16
3	так как	16	9
4	то что	8	9
5	еще не	3	8
6	что они	2	7
7	а не	11	7
8	не есть	1	6
9	но и	4	5
10	по пути	1	5
11	того что	3	5
12	хотя и	3	5
13	как бы	3	5
14	и есть	2	4
15	в образе	4	4
16	говорить о	3	4
17	в его	1	4
18	в этом	14	4
19	что он	4	4
20	потому что	3	4
21	так и	6	4
22	что не	1	4
23	как и	3	4
24	что мы	2	4
25	и все	1	4
26	это еще	1	4
27	и что	2	3
28	должна быть	1	3
29	хотя бы	4	3
30	то это	3	3
31	как не	1	3
32	в чем	1	3
33	с его	2	3
34	во всех	4	3
35	что и	7	3
36	в том	6	3
37	но в	2	3
38	все эти	2	3
39	за ним	1	3
40	их в	1	3
41	тех которые	1	3
42	в своей	1	3
43	ни в	1	3
44	в них	1	3
45	должно быть	1	3
46	если не	1	3
47	в этих	13	3
48	всех людей	1	3
49	не в	3	3
50	к чему	3	3
51	тому что	4	3
52	но это	6	3
53	не имеет	2	3
54	и для	2	3
55	к тому	4	3
56	что в	8	3
57	людей в	1	3
58	оно не	2	3
59	того чтобы	3	2
60	и то	1	2
61	но мы	3	2
62	это мы	1	2
63	и т	41	2
64	можно было	2	2
65	и за	2	2
66	его не	1	2
67	мы не	8	2
68	когда в	1	2
69	что от	1	2
70	в последнем	2	2
71	вместо того	1	2
72	под этим	1	2
73	между тем	5	2
74	вслед за	5	2
75	которые не	1	2
76	не с	2	2
77	только в	2	2
78	уже не	2	2
79	не только	4	2
80	чтобы овладеть	1	2
81	его и	2	2
82	превращаются в	1	2
83	не так	1	2
84	для него	1	2
85	и никогда	1	2
86	тем что	4	2
87	а остальные	1	2
88	не будет	1	2
89	это не	6	2
90	т д	39	2
91	а с	2	2
92	прежде всего	9	2
93	с тем	2	2
94	один из	5	2
95	и тогда	1	2
96	более чем	1	2
97	не могут	4	2
98	а есть	1	2
99	самого себя	2	2
100	одна из	4	2
101	том что	4	2
102	для нас	2	2
103	от него	1	2
104	в форме	6	2
105	они и	3	2
106	ее в	1	2
107	а в	7	2
108	но не	4	2
109	могут быть	16	2
110	во всяком	2	2
111	прибавить к	1	1
112	как мы	6	1
113	в виду	1	1
114	ни стало	1	1
115	и говорит	1	1
116	и до	1	1
117	свое место	1	1
118	на новый	1	1
119	мы будем	3	1
120	если они	2	1
121	которое может	2	1
122	то же	7	1
123	в результате	7	1
124	вопрос о	7	1
125	и свободе	1	1
126	составные части	7	1
127	находится в	1	1
128	о возможности	1	1
129	и ее	3	1
130	кто же	1	1
131	и на	1	1
132	он был	1	1
133	после того	1	1
134	бы то	3	1
135	и царство	1	1
136	к нему	3	1
137	на составные	1	1
138	но как	2	1
139	если в	5	1
140	а потому	1	1
141	тогда как	2	1
142	если за	2	1
143	что бы	1	1
144	во что	1	1
145	и уж	1	1
146	как в	3	1
147	я был	1	1
148	все же	7	1
149	но с	1	1
150	д и	1	1
151	что очень	1	1
152	могли бы	1	1
153	идет по	2	1
154	мы видим	13	1
155	с ними	1	1
156	царства и	1	1
157	мы увидим	8	1
158	ли он	1	1
159	царство и	1	1
160	духа в	1	1
161	в которой	3	1
162	что это	1	1
163	в целом	3	1
164	средство для	1	1
165	в этой	2	1
166	им в	1	1
167	не нужны	1	1
168	в виде	2	1
169	но прежде	1	1
170	по законам	1	1
171	слова не	1	1
172	каким образом	1	1
173	говорит что	1	1
174	же они	2	1
175	но путь	1	1
176	его если	1	1
177	и вот	1	1
178	вовсе не	4	1
179	отношение к	1	1
180	у него	1	1
181	и по	2	1
182	на этом	3	1
183	в руки	3	1
184	наука не	1	1
185	лишь к	1	1
186	для того	2	1
187	без такого	2	1
188	то ни	3	1
189	этом нет	1	1
190	в состоянии	1	1
191	по мотивам	3	1
192	конечно в	1	1
193	и с	1	1
194	этой новой	1	1
195	от неба	1	1
196	с другой	8	1
197	результатом этого	1	1
198	лишь на	2	1
199	еще и	1	1
200	и тем	2	1
201	и своего	1	1
202	формах в	1	1
203	может ли	1	1
204	мы скажем	1	1
205	на которых	1	1
206	не всегда	9	1
207	между собою	2	1
208	о чем	1	1
209	он сжигает	1	1
210	новый лад	1	1
211	их на	1	1
212	где есть	1	1
213	себя за	2	1
214	так же	3	1
215	как это	3	1
216	за которым	2	1
217	в лице	1	1
218	этому же	1	1
219	у нас	2	1
220	в которых	2	1
221	с такой	1	1
222	ведет к	1	1
223	по иным	1	1
224	в одном	1	1
225	в тот	1	1
226	говорят уже	1	1
227	это значит	1	1
228	сама она	1	1
229	с этой	1	1
230	на пути	4	1
231	с любовью	1	1
232	и нет	1	1
233	можно ли	1	1
234	иногда может	3	1
235	на котором	3	1
236	не по	2	1
237	указать на	1	1
238	но она	1	1
239	есть путь	1	1
240	того кому	1	1
241	не существует	3	1
242	ничего не	4	1
243	того как	2	1
244	лишь как	1	1
245	может быть	52	1
246	освобождению и	1	1
247	видим что	10	1
248	будем говорить	1	1
249	во всем	1	1
250	они нам	1	1
251	на него	3	1
252	наших дней	2	1
253	но вот	2	1
254	на части	1	1
255	может и	1	1
256	другой стороны	4	1
257	но все	3	1
258	есть и	4	1
259	есть то	1	1
260	к этому	3	1
261	дух в	1	1
262	еще недостаточно	1	1
263	и другие	6	1
264	но к	1	1
265	себя и	2	1
266	она не	2	1
267	они не	1	1
