N	2gram	Vinokur_Vv_1	Poddanst
1	не только	21	17
2	и в	27	14
3	и не	13	12
4	в области	4	11
5	в этом	34	10
6	в отношении	2	10
7	в качестве	7	9
8	но в	10	9
9	то же	8	9
10	в том	31	9
11	хотя бы	5	8
12	только в	13	7
13	в обстановке	1	7
14	в то	5	7
15	же время	5	7
16	в ней	3	6
17	было бы	5	6
18	е с	1	6
19	но и	5	6
20	отношении к	2	5
21	в которых	6	5
22	с другой	8	5
23	может быть	24	5
24	не в	8	5
25	и о	1	5
26	первой половины	1	4
27	если бы	2	4
28	а также	3	4
29	в своем	3	4
30	и к	1	4
31	как бы	5	4
32	европейской культуры	1	4
33	гораздо большей	1	4
34	но также	14	4
35	том что	26	4
36	не может	13	4
37	в котором	4	4
38	большей степени	2	4
39	по себе	9	4
40	в гораздо	1	4
41	что в	11	4
42	мы должны	1	4
43	же в	1	4
44	а в	5	4
45	то что	17	4
46	в с	1	4
47	и т	43	3
48	мы не	2	3
49	д а	2	3
50	между тем	8	3
51	это не	8	3
52	хотя и	3	3
53	и как	9	3
54	тот же	1	3
55	с ними	1	3
56	с одной	4	3
57	в себе	4	3
58	в нем	13	3
59	в россии	1	3
60	е и	1	3
61	для того	21	3
62	заключается в	4	3
63	прежде всего	8	3
64	одной стороны	4	3
65	с тем	6	3
66	что мы	2	3
67	и без	2	3
68	с точки	2	3
69	но не	7	3
70	она есть	5	3
71	наряду с	2	3
72	могут быть	4	3
73	т е	38	3
74	потому что	14	3
75	точки зрения	7	3
76	в сравнении	1	3
77	сравнении с	1	3
78	я и	1	3
79	и это	6	2
80	отношения к	1	2
81	например в	2	2
82	значительной мере	1	2
83	в ее	11	2
84	и есть	3	2
85	есть не	3	2
86	осуществляется в	1	2
87	по сравнению	3	2
88	есть нечто	1	2
89	которое в	2	2
90	никак не	1	2
91	в xix	1	2
92	не нужно	2	2
93	время в	2	2
94	в значительной	2	2
95	во всех	2	2
96	говорить о	3	2
97	в общем	12	2
98	во всей	1	2
99	со стороны	12	2
100	из важнейших	1	2
101	в русском	1	2
102	с этим	2	2
103	того что	12	2
104	стороны и	3	2
105	помнить что	1	2
106	есть в	1	2
107	в сопоставлении	2	2
108	в начале	3	2
109	главным образом	1	2
110	г и	1	2
111	и других	3	2
112	в его	10	2
113	из них	3	2
114	в виде	4	2
115	не к	2	2
116	в силу	3	2
117	и вот	3	2
118	как раз	4	2
119	в статье	1	2
120	именно как	3	2
121	и с	2	2
122	может ли	1	2
123	именно в	8	2
124	здесь нужно	1	2
125	и тем	5	2
126	сказывается в	1	2
127	в жизни	1	2
128	для них	1	2
129	в них	4	2
130	не было	1	2
131	а не	3	2
132	в ряду	1	2
133	должно быть	2	2
134	нужно было	1	2
135	в эту	1	2
136	эта идея	1	2
137	историческом и	1	2
138	в европе	1	2
139	не столько	2	2
140	знать что	1	2
141	в а	1	2
142	культуры в	5	2
143	что из	1	2
144	не менее	8	2
145	все это	6	2
146	одна из	2	2
147	слова но	1	2
148	да и	4	2
149	в полной	1	2
150	еще более	1	2
151	тем более	2	2
152	заключает в	1	2
153	может и	1	2
154	в частности	3	2
155	взгляда на	4	2
156	так называемые	1	2
157	как на	11	2
158	которых не	3	1
159	в применении	6	1
160	от этой	1	1
161	также что	1	1
162	также и	16	1
163	же как	3	1
164	связана с	4	1
165	применительно к	2	1
166	и то	5	1
167	века но	1	1
168	но новая	1	1
169	и этим	1	1
170	в себя	1	1
171	культуры и	1	1
172	идет речь	2	1
173	на две	1	1
174	второй хотя	1	1
175	что изменения	1	1
176	выражается в	1	1
177	первой половине	1	1
178	применении к	6	1
179	уяснить себе	1	1
180	должна быть	2	1
181	собственном смысле	2	1
182	был и	1	1
183	на нее	2	1
184	не с	2	1
185	в и	4	1
186	сказалось в	2	1
187	очень далеко	1	1
188	как подлинное	1	1
189	еще в	1	1
190	какой она	1	1
191	что уже	3	1
192	в эпоху	1	1
193	для этого	3	1
194	в собственном	2	1
195	определенном смысле	1	1
196	не вполне	4	1
197	пор пока	1	1
198	и ее	4	1
199	том виде	3	1
200	слова о	1	1
201	в некотором	1	1
202	но нужно	1	1
203	не означает	1	1
204	настоящее время	1	1
205	с разных	1	1
206	и что	4	1
207	литературы и	1	1
208	могут дать	1	1
209	как таковые	1	1
210	еще не	4	1
211	были бы	1	1
212	и на	3	1
213	он был	1	1
214	ответа на	2	1
215	в различных	2	1
216	вопросу о	2	1
217	различия между	1	1
218	связь между	4	1
219	образом тем	1	1
220	смысле не	1	1
221	что и	3	1
222	отличие от	3	1
223	не просто	4	1
224	и чем	1	1
225	них в	1	1
226	ее представители	1	1
227	также в	1	1
228	в истории	9	1
229	тем больше	1	1
230	которой в	2	1
231	не входят	1	1
232	государства и	2	1
233	тех пор	1	1
234	известном смысле	3	1
235	все же	8	1
236	обе эти	2	1
237	культурного развития	3	1
238	мы видим	1	1
239	и критика	1	1
240	в какой	4	1
241	должен быть	4	1
242	понимать что	1	1
243	может оказаться	3	1
244	духа в	1	1
245	в самом	12	1
246	только то	1	1
247	но как	2	1
248	в которой	1	1
249	бы и	2	1
250	что это	3	1
251	вопрос об	1	1
252	представляет собой	12	1
253	у каждого	1	1
254	из этих	5	1
255	именно на	2	1
256	история и	3	1
257	себя в	2	1
258	в известном	3	1
259	xx в	3	1
260	что его	1	1
261	только один	1	1
262	уже в	5	1
263	во многих	1	1
264	только на	3	1
265	на то	1	1
266	если он	1	1
267	положение что	1	1
268	как оно	3	1
269	не могла	1	1
270	в определенном	1	1
271	этого процесса	1	1
272	т д	37	1
273	соприкасается с	1	1
274	мы знаем	1	1
275	одно из	5	1
276	есть та	1	1
277	не как	3	1
278	свои собственные	1	1
279	иначе как	1	1
280	и должна	1	1
281	что каждая	2	1
282	к ним	1	1
283	чтобы в	1	1
284	мы можем	2	1
285	само по	3	1
286	какой бы	2	1
287	каждый из	2	1
288	следует понимать	1	1
289	одно и	1	1
290	в каждом	4	1
291	представляют собой	6	1
292	а затем	1	1
293	общий вопрос	2	1
294	из двух	2	1
295	без того	1	1
296	в число	2	1
297	или иной	1	1
298	на этой	3	1
299	ясно что	9	1
300	его в	6	1
301	и тех	1	1
302	совершенно ясно	1	1
303	из числа	2	1
304	бы нас	1	1
305	были в	1	1
306	русской истории	1	1
307	русской культуры	1	1
308	что не	5	1
309	но есть	1	1
310	обратиться к	1	1
311	на свои	2	1
312	может отличаться	1	1
313	них и	2	1
314	к науке	1	1
315	в этой	3	1
316	в реальной	1	1
317	на основании	5	1
318	как и	5	1
319	и судьбами	1	1
320	и уже	3	1
321	в свете	1	1
322	собой совокупность	1	1
323	говорится о	1	1
