N	3gram	Tiupa_Lite_1	RusskieA
1	в том что	11	18
2	состоит в том	5	13
3	в данном случае	4	6
4	о том что	2	4
5	в отличие от	5	3
6	не может быть	1	3
7	подобно тому как	2	3
8	тем не менее	2	2
9	во многих случаях	1	2
10	для этой цели	1	2
11	в этом и	1	2
12	по этому поводу	1	2
13	с одной стороны	2	2
14	пока еще не	1	2
15	в другом месте	1	1
16	как например в	1	1
17	иметь в виду	1	1
18	в том же	3	1
19	может быть назван	1	1
20	между тем как	1	1
21	в этом отношении	2	1
22	по аналогии с	3	1
23	из того что	2	1
24	можно было бы	1	1
25	все же в	2	1
26	в это время	1	1
27	в этой связи	1	1
28	во всяком случае	2	1
29	на первый взгляд	1	1
30	и в этом	1	1
31	но может быть	1	1
32	дело в том	2	1
33	с другой стороны	1	1
34	это еще не	1	1
35	к себе в	1	1
36	в свою очередь	1	1
37	не только на	1	1
38	на то что	1	1
39	был уверен что	1	1
40	тем более что	1	1
